"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","80"
"broadleaved_indigenous_hardwood","deciduous_hardwood","30"
"broadleaved_indigenous_hardwood","grose_broom","21"
"broadleaved_indigenous_hardwood","harvested_forest","21"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","9"
"broadleaved_indigenous_hardwood","high_producing_grassland","11"
"broadleaved_indigenous_hardwood","indigenous_forest","73"
"broadleaved_indigenous_hardwood","lake_pond","6"
"broadleaved_indigenous_hardwood","low_producing_grassland","20"
"broadleaved_indigenous_hardwood","manuka_kanuka","52"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","3"
"deciduous_hardwood","broadleaved_indigenous_hardwood","13"
"deciduous_hardwood","deciduous_hardwood","195"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","5"
"deciduous_hardwood","herbaceous_freshwater_vege","24"
"deciduous_hardwood","high_producing_grassland","14"
"deciduous_hardwood","indigenous_forest","23"
"deciduous_hardwood","lake_pond","16"
"deciduous_hardwood","low_producing_grassland","7"
"deciduous_hardwood","manuka_kanuka","12"
"deciduous_hardwood","shortrotation_cropland","7"
"deciduous_hardwood","urban_build_up","6"
"deciduous_hardwood","urban_parkland","6"
"grose_broom","broadleaved_indigenous_hardwood","38"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","101"
"grose_broom","harvested_forest","12"
"grose_broom","herbaceous_freshwater_vege","23"
"grose_broom","high_producing_grassland","27"
"grose_broom","indigenous_forest","20"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","38"
"grose_broom","manuka_kanuka","35"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","5"
"harvested_forest","grose_broom","3"
"harvested_forest","harvested_forest","288"
"harvested_forest","herbaceous_freshwater_vege","5"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","13"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","0"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","11"
"herbaceous_freshwater_vege","deciduous_hardwood","49"
"herbaceous_freshwater_vege","grose_broom","16"
"herbaceous_freshwater_vege","harvested_forest","19"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","148"
"herbaceous_freshwater_vege","high_producing_grassland","11"
"herbaceous_freshwater_vege","indigenous_forest","8"
"herbaceous_freshwater_vege","lake_pond","37"
"herbaceous_freshwater_vege","low_producing_grassland","8"
"herbaceous_freshwater_vege","manuka_kanuka","16"
"herbaceous_freshwater_vege","shortrotation_cropland","8"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","11"
"high_producing_grassland","deciduous_hardwood","28"
"high_producing_grassland","grose_broom","17"
"high_producing_grassland","harvested_forest","45"
"high_producing_grassland","herbaceous_freshwater_vege","12"
"high_producing_grassland","high_producing_grassland","120"
"high_producing_grassland","indigenous_forest","11"
"high_producing_grassland","lake_pond","5"
"high_producing_grassland","low_producing_grassland","21"
"high_producing_grassland","manuka_kanuka","14"
"high_producing_grassland","shortrotation_cropland","33"
"high_producing_grassland","urban_build_up","13"
"high_producing_grassland","urban_parkland","4"
"indigenous_forest","broadleaved_indigenous_hardwood","32"
"indigenous_forest","deciduous_hardwood","27"
"indigenous_forest","grose_broom","6"
"indigenous_forest","harvested_forest","8"
"indigenous_forest","herbaceous_freshwater_vege","3"
"indigenous_forest","high_producing_grassland","9"
"indigenous_forest","indigenous_forest","191"
"indigenous_forest","lake_pond","6"
"indigenous_forest","low_producing_grassland","10"
"indigenous_forest","manuka_kanuka","35"
"indigenous_forest","shortrotation_cropland","2"
"indigenous_forest","urban_build_up","2"
"indigenous_forest","urban_parkland","3"
"lake_pond","broadleaved_indigenous_hardwood","1"
"lake_pond","deciduous_hardwood","23"
"lake_pond","grose_broom","1"
"lake_pond","harvested_forest","9"
"lake_pond","herbaceous_freshwater_vege","16"
"lake_pond","high_producing_grassland","2"
"lake_pond","indigenous_forest","7"
"lake_pond","lake_pond","249"
"lake_pond","low_producing_grassland","4"
"lake_pond","manuka_kanuka","7"
"lake_pond","shortrotation_cropland","5"
"lake_pond","urban_build_up","7"
"lake_pond","urban_parkland","3"
"low_producing_grassland","broadleaved_indigenous_hardwood","14"
"low_producing_grassland","deciduous_hardwood","20"
"low_producing_grassland","grose_broom","45"
"low_producing_grassland","harvested_forest","56"
"low_producing_grassland","herbaceous_freshwater_vege","24"
"low_producing_grassland","high_producing_grassland","53"
"low_producing_grassland","indigenous_forest","10"
"low_producing_grassland","lake_pond","8"
"low_producing_grassland","low_producing_grassland","62"
"low_producing_grassland","manuka_kanuka","25"
"low_producing_grassland","shortrotation_cropland","9"
"low_producing_grassland","urban_build_up","2"
"low_producing_grassland","urban_parkland","6"
"manuka_kanuka","broadleaved_indigenous_hardwood","42"
"manuka_kanuka","deciduous_hardwood","22"
"manuka_kanuka","grose_broom","21"
"manuka_kanuka","harvested_forest","12"
"manuka_kanuka","herbaceous_freshwater_vege","13"
"manuka_kanuka","high_producing_grassland","26"
"manuka_kanuka","indigenous_forest","45"
"manuka_kanuka","lake_pond","5"
"manuka_kanuka","low_producing_grassland","27"
"manuka_kanuka","manuka_kanuka","116"
"manuka_kanuka","shortrotation_cropland","3"
"manuka_kanuka","urban_build_up","2"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","10"
"shortrotation_cropland","grose_broom","4"
"shortrotation_cropland","harvested_forest","7"
"shortrotation_cropland","herbaceous_freshwater_vege","4"
"shortrotation_cropland","high_producing_grassland","27"
"shortrotation_cropland","indigenous_forest","1"
"shortrotation_cropland","lake_pond","6"
"shortrotation_cropland","low_producing_grassland","2"
"shortrotation_cropland","manuka_kanuka","2"
"shortrotation_cropland","shortrotation_cropland","261"
"shortrotation_cropland","urban_build_up","7"
"shortrotation_cropland","urban_parkland","3"
"urban_build_up","broadleaved_indigenous_hardwood","1"
"urban_build_up","deciduous_hardwood","3"
"urban_build_up","grose_broom","1"
"urban_build_up","harvested_forest","2"
"urban_build_up","herbaceous_freshwater_vege","0"
"urban_build_up","high_producing_grassland","6"
"urban_build_up","indigenous_forest","2"
"urban_build_up","lake_pond","5"
"urban_build_up","low_producing_grassland","4"
"urban_build_up","manuka_kanuka","1"
"urban_build_up","shortrotation_cropland","11"
"urban_build_up","urban_build_up","266"
"urban_build_up","urban_parkland","32"
"urban_parkland","broadleaved_indigenous_hardwood","2"
"urban_parkland","deciduous_hardwood","8"
"urban_parkland","grose_broom","2"
"urban_parkland","harvested_forest","0"
"urban_parkland","herbaceous_freshwater_vege","6"
"urban_parkland","high_producing_grassland","10"
"urban_parkland","indigenous_forest","0"
"urban_parkland","lake_pond","5"
"urban_parkland","low_producing_grassland","6"
"urban_parkland","manuka_kanuka","3"
"urban_parkland","shortrotation_cropland","14"
"urban_parkland","urban_build_up","65"
"urban_parkland","urban_parkland","213"
