"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","92"
"broadleaved_indigenous_hardwood","deciduous_hardwood","25"
"broadleaved_indigenous_hardwood","grose_broom","18"
"broadleaved_indigenous_hardwood","harvested_forest","21"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","11"
"broadleaved_indigenous_hardwood","high_producing_grassland","21"
"broadleaved_indigenous_hardwood","indigenous_forest","64"
"broadleaved_indigenous_hardwood","lake_pond","11"
"broadleaved_indigenous_hardwood","low_producing_grassland","24"
"broadleaved_indigenous_hardwood","manuka_kanuka","33"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","5"
"deciduous_hardwood","broadleaved_indigenous_hardwood","12"
"deciduous_hardwood","deciduous_hardwood","157"
"deciduous_hardwood","grose_broom","11"
"deciduous_hardwood","harvested_forest","5"
"deciduous_hardwood","herbaceous_freshwater_vege","30"
"deciduous_hardwood","high_producing_grassland","16"
"deciduous_hardwood","indigenous_forest","29"
"deciduous_hardwood","lake_pond","20"
"deciduous_hardwood","low_producing_grassland","20"
"deciduous_hardwood","manuka_kanuka","10"
"deciduous_hardwood","shortrotation_cropland","13"
"deciduous_hardwood","urban_build_up","7"
"deciduous_hardwood","urban_parkland","4"
"grose_broom","broadleaved_indigenous_hardwood","40"
"grose_broom","deciduous_hardwood","23"
"grose_broom","grose_broom","101"
"grose_broom","harvested_forest","8"
"grose_broom","herbaceous_freshwater_vege","31"
"grose_broom","high_producing_grassland","21"
"grose_broom","indigenous_forest","18"
"grose_broom","lake_pond","8"
"grose_broom","low_producing_grassland","40"
"grose_broom","manuka_kanuka","32"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","7"
"grose_broom","urban_parkland","0"
"harvested_forest","broadleaved_indigenous_hardwood","1"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","8"
"harvested_forest","harvested_forest","277"
"harvested_forest","herbaceous_freshwater_vege","9"
"harvested_forest","high_producing_grassland","12"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","15"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","1"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","8"
"herbaceous_freshwater_vege","deciduous_hardwood","35"
"herbaceous_freshwater_vege","grose_broom","26"
"herbaceous_freshwater_vege","harvested_forest","19"
