"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","85"
"broadleaved_indigenous_hardwood","deciduous_hardwood","14"
"broadleaved_indigenous_hardwood","grose_broom","38"
"broadleaved_indigenous_hardwood","harvested_forest","31"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","13"
"broadleaved_indigenous_hardwood","high_producing_grassland","6"
"broadleaved_indigenous_hardwood","indigenous_forest","55"
"broadleaved_indigenous_hardwood","lake_pond","11"
"broadleaved_indigenous_hardwood","low_producing_grassland","25"
"broadleaved_indigenous_hardwood","manuka_kanuka","44"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","5"
"deciduous_hardwood","broadleaved_indigenous_hardwood","22"
"deciduous_hardwood","deciduous_hardwood","158"
"deciduous_hardwood","grose_broom","9"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","31"
"deciduous_hardwood","high_producing_grassland","12"
"deciduous_hardwood","indigenous_forest","22"
"deciduous_hardwood","lake_pond","13"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","11"
"deciduous_hardwood","shortrotation_cropland","12"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","22"
"grose_broom","broadleaved_indigenous_hardwood","33"
"grose_broom","deciduous_hardwood","19"
"grose_broom","grose_broom","112"
"grose_broom","harvested_forest","16"
"grose_broom","herbaceous_freshwater_vege","31"
"grose_broom","high_producing_grassland","7"
"grose_broom","indigenous_forest","15"
"grose_broom","lake_pond","8"
"grose_broom","low_producing_grassland","55"
"grose_broom","manuka_kanuka","30"
"grose_broom","shortrotation_cropland","1"
"grose_broom","urban_build_up","1"
"grose_broom","urban_parkland","6"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","5"
"harvested_forest","harvested_forest","286"
"harvested_forest","herbaceous_freshwater_vege","11"
"harvested_forest","high_producing_grassland","7"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","14"
"harvested_forest","manuka_kanuka","1"
"harvested_forest","shortrotation_cropland","1"
