"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","97"
"broadleaved_indigenous_hardwood","deciduous_hardwood","27"
"broadleaved_indigenous_hardwood","grose_broom","25"
"broadleaved_indigenous_hardwood","harvested_forest","19"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","11"
"broadleaved_indigenous_hardwood","high_producing_grassland","12"
"broadleaved_indigenous_hardwood","indigenous_forest","68"
"broadleaved_indigenous_hardwood","lake_pond","8"
"broadleaved_indigenous_hardwood","low_producing_grassland","20"
"broadleaved_indigenous_hardwood","manuka_kanuka","39"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","23"
"deciduous_hardwood","deciduous_hardwood","162"
"deciduous_hardwood","grose_broom","8"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","26"
"deciduous_hardwood","high_producing_grassland","16"
"deciduous_hardwood","indigenous_forest","24"
"deciduous_hardwood","lake_pond","20"
"deciduous_hardwood","low_producing_grassland","13"
"deciduous_hardwood","manuka_kanuka","13"
"deciduous_hardwood","shortrotation_cropland","8"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","38"
"grose_broom","deciduous_hardwood","24"
"grose_broom","grose_broom","89"
"grose_broom","harvested_forest","12"
"grose_broom","herbaceous_freshwater_vege","36"
"grose_broom","high_producing_grassland","16"
"grose_broom","indigenous_forest","15"
"grose_broom","lake_pond","6"
"grose_broom","low_producing_grassland","45"
"grose_broom","manuka_kanuka","40"
"grose_broom","shortrotation_cropland","6"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","7"
"harvested_forest","harvested_forest","279"
"harvested_forest","herbaceous_freshwater_vege","5"
"harvested_forest","high_producing_grassland","11"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","3"
"harvested_forest","low_producing_grassland","18"
"harvested_forest","manuka_kanuka","2"
"harvested_forest","shortrotation_cropland","0"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","14"
"herbaceous_freshwater_vege","deciduous_hardwood","38"
"herbaceous_freshwater_vege","grose_broom","18"
"herbaceous_freshwater_vege","harvested_forest","15"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","154"
"herbaceous_freshwater_vege","high_producing_grassland","7"
"herbaceous_freshwater_vege","indigenous_forest","7"
"herbaceous_freshwater_vege","lake_pond","42"
"herbaceous_freshwater_vege","low_producing_grassland","15"
"herbaceous_freshwater_vege","manuka_kanuka","12"
"herbaceous_freshwater_vege","shortrotation_cropland","9"
"herbaceous_freshwater_vege","urban_build_up","1"
"herbaceous_freshwater_vege","urban_parkland","2"
"high_producing_grassland","broadleaved_indigenous_hardwood","9"
"high_producing_grassland","deciduous_hardwood","16"
"high_producing_grassland","grose_broom","15"
"high_producing_grassland","harvested_forest","42"
"high_producing_grassland","herbaceous_freshwater_vege","9"
"high_producing_grassland","high_producing_grassland","102"
"high_producing_grassland","indigenous_forest","12"
"high_producing_grassland","lake_pond","9"
"high_producing_grassland","low_producing_grassland","32"
"high_producing_grassland","manuka_kanuka","22"
"high_producing_grassland","shortrotation_cropland","43"
"high_producing_grassland","urban_build_up","13"
"high_producing_grassland","urban_parkland","10"
"indigenous_forest","broadleaved_indigenous_hardwood","45"
"indigenous_forest","deciduous_hardwood","20"
"indigenous_forest","grose_broom","7"
"indigenous_forest","harvested_forest","4"
"indigenous_forest","herbaceous_freshwater_vege","10"
"indigenous_forest","high_producing_grassland","4"
"indigenous_forest","indigenous_forest","172"
"indigenous_forest","lake_pond","9"
"indigenous_forest","low_producing_grassland","18"
"indigenous_forest","manuka_kanuka","33"
"indigenous_forest","shortrotation_cropland","3"
"indigenous_forest","urban_build_up","3"
"indigenous_forest","urban_parkland","6"
"lake_pond","broadleaved_indigenous_hardwood","1"
"lake_pond","deciduous_hardwood","20"
"lake_pond","grose_broom","2"
"lake_pond","harvested_forest","10"
"lake_pond","herbaceous_freshwater_vege","23"
"lake_pond","high_producing_grassland","2"
"lake_pond","indigenous_forest","2"
"lake_pond","lake_pond","245"
"lake_pond","low_producing_grassland","4"
"lake_pond","manuka_kanuka","5"
"lake_pond","shortrotation_cropland","8"
"lake_pond","urban_build_up","7"
"lake_pond","urban_parkland","5"
