"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","86"
"broadleaved_indigenous_hardwood","deciduous_hardwood","22"
"broadleaved_indigenous_hardwood","grose_broom","14"
"broadleaved_indigenous_hardwood","harvested_forest","26"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","14"
"broadleaved_indigenous_hardwood","high_producing_grassland","24"
"broadleaved_indigenous_hardwood","indigenous_forest","65"
"broadleaved_indigenous_hardwood","lake_pond","6"
"broadleaved_indigenous_hardwood","low_producing_grassland","23"
"broadleaved_indigenous_hardwood","manuka_kanuka","41"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","4"
"broadleaved_indigenous_hardwood","urban_parkland","6"
"deciduous_hardwood","broadleaved_indigenous_hardwood","19"
"deciduous_hardwood","deciduous_hardwood","158"
"deciduous_hardwood","grose_broom","7"
"deciduous_hardwood","harvested_forest","6"
"deciduous_hardwood","herbaceous_freshwater_vege","22"
"deciduous_hardwood","high_producing_grassland","26"
"deciduous_hardwood","indigenous_forest","31"
"deciduous_hardwood","lake_pond","24"
"deciduous_hardwood","low_producing_grassland","7"
"deciduous_hardwood","manuka_kanuka","8"
"deciduous_hardwood","shortrotation_cropland","9"
"deciduous_hardwood","urban_build_up","10"
"deciduous_hardwood","urban_parkland","7"
"grose_broom","broadleaved_indigenous_hardwood","41"
"grose_broom","deciduous_hardwood","22"
"grose_broom","grose_broom","76"
"grose_broom","harvested_forest","13"
"grose_broom","herbaceous_freshwater_vege","26"
"grose_broom","high_producing_grassland","33"
"grose_broom","indigenous_forest","33"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","41"
"grose_broom","manuka_kanuka","29"
"grose_broom","shortrotation_cropland","3"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","1"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","4"
"harvested_forest","harvested_forest","276"
"harvested_forest","herbaceous_freshwater_vege","10"
"harvested_forest","high_producing_grassland","11"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","3"
"harvested_forest","low_producing_grassland","12"
"harvested_forest","manuka_kanuka","6"
"harvested_forest","shortrotation_cropland","5"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","9"
"herbaceous_freshwater_vege","deciduous_hardwood","41"
"herbaceous_freshwater_vege","grose_broom","19"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","116"
"herbaceous_freshwater_vege","high_producing_grassland","21"
"herbaceous_freshwater_vege","indigenous_forest","13"
"herbaceous_freshwater_vege","lake_pond","48"
"herbaceous_freshwater_vege","low_producing_grassland","11"
"herbaceous_freshwater_vege","manuka_kanuka","22"
"herbaceous_freshwater_vege","shortrotation_cropland","14"
"herbaceous_freshwater_vege","urban_build_up","2"
"herbaceous_freshwater_vege","urban_parkland","4"
"high_producing_grassland","broadleaved_indigenous_hardwood","16"
"high_producing_grassland","deciduous_hardwood","20"
"high_producing_grassland","grose_broom","11"
"high_producing_grassland","harvested_forest","46"
"high_producing_grassland","herbaceous_freshwater_vege","10"
"high_producing_grassland","high_producing_grassland","106"
"high_producing_grassland","indigenous_forest","18"
"high_producing_grassland","lake_pond","9"
"high_producing_grassland","low_producing_grassland","26"
"high_producing_grassland","manuka_kanuka","11"
"high_producing_grassland","shortrotation_cropland","41"
"high_producing_grassland","urban_build_up","8"
"high_producing_grassland","urban_parkland","12"
"indigenous_forest","broadleaved_indigenous_hardwood","45"
"indigenous_forest","deciduous_hardwood","24"
"indigenous_forest","grose_broom","4"
"indigenous_forest","harvested_forest","9"
"indigenous_forest","herbaceous_freshwater_vege","4"
"indigenous_forest","high_producing_grassland","22"
"indigenous_forest","indigenous_forest","174"
"indigenous_forest","lake_pond","6"
"indigenous_forest","low_producing_grassland","9"
"indigenous_forest","manuka_kanuka","24"
"indigenous_forest","shortrotation_cropland","4"
"indigenous_forest","urban_build_up","3"
"indigenous_forest","urban_parkland","6"
"lake_pond","broadleaved_indigenous_hardwood","4"
"lake_pond","deciduous_hardwood","19"
"lake_pond","grose_broom","5"
"lake_pond","harvested_forest","8"
"lake_pond","herbaceous_freshwater_vege","13"
"lake_pond","high_producing_grassland","5"
"lake_pond","indigenous_forest","6"
"lake_pond","lake_pond","250"
"lake_pond","low_producing_grassland","7"
"lake_pond","manuka_kanuka","2"
"lake_pond","shortrotation_cropland","8"
"lake_pond","urban_build_up","4"
"lake_pond","urban_parkland","3"
"low_producing_grassland","broadleaved_indigenous_hardwood","19"
"low_producing_grassland","deciduous_hardwood","11"
"low_producing_grassland","grose_broom","39"
"low_producing_grassland","harvested_forest","64"
"low_producing_grassland","herbaceous_freshwater_vege","27"
"low_producing_grassland","high_producing_grassland","61"
"low_producing_grassland","indigenous_forest","7"
"low_producing_grassland","lake_pond","10"
"low_producing_grassland","low_producing_grassland","52"
"low_producing_grassland","manuka_kanuka","22"
"low_producing_grassland","shortrotation_cropland","10"
"low_producing_grassland","urban_build_up","6"
"low_producing_grassland","urban_parkland","6"
"manuka_kanuka","broadleaved_indigenous_hardwood","60"
"manuka_kanuka","deciduous_hardwood","15"
"manuka_kanuka","grose_broom","26"
"manuka_kanuka","harvested_forest","16"
"manuka_kanuka","herbaceous_freshwater_vege","11"
"manuka_kanuka","high_producing_grassland","22"
"manuka_kanuka","indigenous_forest","52"
"manuka_kanuka","lake_pond","9"
"manuka_kanuka","low_producing_grassland","25"
"manuka_kanuka","manuka_kanuka","94"
"manuka_kanuka","shortrotation_cropland","2"
"manuka_kanuka","urban_build_up","2"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","8"
"shortrotation_cropland","grose_broom","4"
"shortrotation_cropland","harvested_forest","8"
"shortrotation_cropland","herbaceous_freshwater_vege","3"
"shortrotation_cropland","high_producing_grassland","22"
"shortrotation_cropland","indigenous_forest","4"
"shortrotation_cropland","lake_pond","8"
"shortrotation_cropland","low_producing_grassland","1"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","261"
"shortrotation_cropland","urban_build_up","9"
"shortrotation_cropland","urban_parkland","6"
"urban_build_up","broadleaved_indigenous_hardwood","3"
"urban_build_up","deciduous_hardwood","1"
"urban_build_up","grose_broom","0"
"urban_build_up","harvested_forest","2"
"urban_build_up","herbaceous_freshwater_vege","1"
"urban_build_up","high_producing_grassland","2"
"urban_build_up","indigenous_forest","1"
"urban_build_up","lake_pond","1"
"urban_build_up","low_producing_grassland","3"
"urban_build_up","manuka_kanuka","1"
"urban_build_up","shortrotation_cropland","17"
"urban_build_up","urban_build_up","261"
"urban_build_up","urban_parkland","41"
"urban_parkland","broadleaved_indigenous_hardwood","3"
"urban_parkland","deciduous_hardwood","5"
"urban_parkland","grose_broom","2"
"urban_parkland","harvested_forest","4"
