"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","93"
"broadleaved_indigenous_hardwood","deciduous_hardwood","21"
"broadleaved_indigenous_hardwood","grose_broom","16"
"broadleaved_indigenous_hardwood","harvested_forest","18"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","15"
"broadleaved_indigenous_hardwood","high_producing_grassland","13"
"broadleaved_indigenous_hardwood","indigenous_forest","64"
"broadleaved_indigenous_hardwood","lake_pond","7"
"broadleaved_indigenous_hardwood","low_producing_grassland","31"
"broadleaved_indigenous_hardwood","manuka_kanuka","46"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","4"
"deciduous_hardwood","broadleaved_indigenous_hardwood","15"
"deciduous_hardwood","deciduous_hardwood","168"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","27"
"deciduous_hardwood","high_producing_grassland","19"
"deciduous_hardwood","indigenous_forest","25"
"deciduous_hardwood","lake_pond","13"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","16"
"deciduous_hardwood","shortrotation_cropland","17"
"deciduous_hardwood","urban_build_up","7"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","42"
"grose_broom","deciduous_hardwood","20"
"grose_broom","grose_broom","83"
"grose_broom","harvested_forest","6"
"grose_broom","herbaceous_freshwater_vege","33"
"grose_broom","high_producing_grassland","24"
"grose_broom","indigenous_forest","17"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","52"
"grose_broom","manuka_kanuka","37"
"grose_broom","shortrotation_cropland","4"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","2"
"harvested_forest","broadleaved_indigenous_hardwood","5"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","8"
"harvested_forest","harvested_forest","271"
"harvested_forest","herbaceous_freshwater_vege","10"
"harvested_forest","high_producing_grassland","9"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","19"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","1"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","12"
"herbaceous_freshwater_vege","deciduous_hardwood","38"
"herbaceous_freshwater_vege","grose_broom","17"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","124"
"herbaceous_freshwater_vege","high_producing_grassland","17"
"herbaceous_freshwater_vege","indigenous_forest","6"
