"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","102"
"broadleaved_indigenous_hardwood","deciduous_hardwood","23"
"broadleaved_indigenous_hardwood","grose_broom","34"
"broadleaved_indigenous_hardwood","harvested_forest","13"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","19"
"broadleaved_indigenous_hardwood","high_producing_grassland","4"
"broadleaved_indigenous_hardwood","indigenous_forest","55"
"broadleaved_indigenous_hardwood","lake_pond","6"
"broadleaved_indigenous_hardwood","low_producing_grassland","25"
"broadleaved_indigenous_hardwood","manuka_kanuka","46"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","22"
"deciduous_hardwood","deciduous_hardwood","169"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","30"
"deciduous_hardwood","high_producing_grassland","16"
"deciduous_hardwood","indigenous_forest","17"
"deciduous_hardwood","lake_pond","19"
"deciduous_hardwood","low_producing_grassland","17"
"deciduous_hardwood","manuka_kanuka","16"
"deciduous_hardwood","shortrotation_cropland","9"
"deciduous_hardwood","urban_build_up","2"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","42"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","108"
"grose_broom","harvested_forest","8"
"grose_broom","herbaceous_freshwater_vege","35"
"grose_broom","high_producing_grassland","18"
"grose_broom","indigenous_forest","15"
"grose_broom","lake_pond","7"
"grose_broom","low_producing_grassland","45"
"grose_broom","manuka_kanuka","28"
"grose_broom","shortrotation_cropland","4"
"grose_broom","urban_build_up","2"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","10"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","12"
"harvested_forest","harvested_forest","258"
"harvested_forest","herbaceous_freshwater_vege","9"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","26"
"harvested_forest","manuka_kanuka","1"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","5"
"herbaceous_freshwater_vege","deciduous_hardwood","30"
"herbaceous_freshwater_vege","grose_broom","22"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","167"
"herbaceous_freshwater_vege","high_producing_grassland","17"
"herbaceous_freshwater_vege","indigenous_forest","9"
"herbaceous_freshwater_vege","lake_pond","33"
"herbaceous_freshwater_vege","low_producing_grassland","13"
"herbaceous_freshwater_vege","manuka_kanuka","14"
"herbaceous_freshwater_vege","shortrotation_cropland","8"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","2"
"high_producing_grassland","broadleaved_indigenous_hardwood","7"
"high_producing_grassland","deciduous_hardwood","14"
"high_producing_grassland","grose_broom","24"
"high_producing_grassland","harvested_forest","31"
"high_producing_grassland","herbaceous_freshwater_vege","12"
"high_producing_grassland","high_producing_grassland","136"
"high_producing_grassland","indigenous_forest","8"
"high_producing_grassland","lake_pond","5"
"high_producing_grassland","low_producing_grassland","39"
"high_producing_grassland","manuka_kanuka","14"
"high_producing_grassland","shortrotation_cropland","30"
"high_producing_grassland","urban_build_up","9"
"high_producing_grassland","urban_parkland","5"
"indigenous_forest","broadleaved_indigenous_hardwood","60"
"indigenous_forest","deciduous_hardwood","21"
"indigenous_forest","grose_broom","10"
"indigenous_forest","harvested_forest","6"
"indigenous_forest","herbaceous_freshwater_vege","4"
"indigenous_forest","high_producing_grassland","8"
"indigenous_forest","indigenous_forest","170"
"indigenous_forest","lake_pond","3"
"indigenous_forest","low_producing_grassland","16"
"indigenous_forest","manuka_kanuka","31"
"indigenous_forest","shortrotation_cropland","2"
"indigenous_forest","urban_build_up","2"
"indigenous_forest","urban_parkland","1"
"lake_pond","broadleaved_indigenous_hardwood","1"
"lake_pond","deciduous_hardwood","9"
"lake_pond","grose_broom","6"
"lake_pond","harvested_forest","5"
"lake_pond","herbaceous_freshwater_vege","26"
"lake_pond","high_producing_grassland","2"
"lake_pond","indigenous_forest","2"
"lake_pond","lake_pond","257"
"lake_pond","low_producing_grassland","6"
"lake_pond","manuka_kanuka","3"
"lake_pond","shortrotation_cropland","8"
"lake_pond","urban_build_up","5"
"lake_pond","urban_parkland","4"
"low_producing_grassland","broadleaved_indigenous_hardwood","18"
"low_producing_grassland","deciduous_hardwood","14"
"low_producing_grassland","grose_broom","62"
"low_producing_grassland","harvested_forest","36"
"low_producing_grassland","herbaceous_freshwater_vege","24"
"low_producing_grassland","high_producing_grassland","52"
"low_producing_grassland","indigenous_forest","6"
"low_producing_grassland","lake_pond","9"
"low_producing_grassland","low_producing_grassland","85"
"low_producing_grassland","manuka_kanuka","14"
"low_producing_grassland","shortrotation_cropland","4"
"low_producing_grassland","urban_build_up","4"
"low_producing_grassland","urban_parkland","6"
"manuka_kanuka","broadleaved_indigenous_hardwood","50"
"manuka_kanuka","deciduous_hardwood","11"
"manuka_kanuka","grose_broom","50"
"manuka_kanuka","harvested_forest","5"
"manuka_kanuka","herbaceous_freshwater_vege","30"
"manuka_kanuka","high_producing_grassland","7"
"manuka_kanuka","indigenous_forest","40"
"manuka_kanuka","lake_pond","3"
"manuka_kanuka","low_producing_grassland","33"
"manuka_kanuka","manuka_kanuka","103"
"manuka_kanuka","shortrotation_cropland","1"
"manuka_kanuka","urban_build_up","1"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","2"
"shortrotation_cropland","deciduous_hardwood","12"
"shortrotation_cropland","grose_broom","3"
"shortrotation_cropland","harvested_forest","6"
"shortrotation_cropland","herbaceous_freshwater_vege","5"
"shortrotation_cropland","high_producing_grassland","35"
"shortrotation_cropland","indigenous_forest","2"
"shortrotation_cropland","lake_pond","5"
"shortrotation_cropland","low_producing_grassland","1"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","256"
"shortrotation_cropland","urban_build_up","4"
"shortrotation_cropland","urban_parkland","3"
"urban_build_up","broadleaved_indigenous_hardwood","2"
"urban_build_up","deciduous_hardwood","0"
"urban_build_up","grose_broom","2"
"urban_build_up","harvested_forest","1"
"urban_build_up","herbaceous_freshwater_vege","0"
"urban_build_up","high_producing_grassland","3"
"urban_build_up","indigenous_forest","1"
"urban_build_up","lake_pond","0"
"urban_build_up","low_producing_grassland","8"
"urban_build_up","manuka_kanuka","0"
"urban_build_up","shortrotation_cropland","25"
"urban_build_up","urban_build_up","255"
"urban_build_up","urban_parkland","37"
"urban_parkland","broadleaved_indigenous_hardwood","4"
"urban_parkland","deciduous_hardwood","10"
"urban_parkland","grose_broom","3"
"urban_parkland","harvested_forest","0"
"urban_parkland","herbaceous_freshwater_vege","11"
