"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","84"
"broadleaved_indigenous_hardwood","deciduous_hardwood","26"
"broadleaved_indigenous_hardwood","grose_broom","30"
"broadleaved_indigenous_hardwood","harvested_forest","29"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","19"
"broadleaved_indigenous_hardwood","high_producing_grassland","18"
"broadleaved_indigenous_hardwood","indigenous_forest","59"
"broadleaved_indigenous_hardwood","lake_pond","14"
"broadleaved_indigenous_hardwood","low_producing_grassland","24"
"broadleaved_indigenous_hardwood","manuka_kanuka","18"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","5"
"deciduous_hardwood","broadleaved_indigenous_hardwood","20"
"deciduous_hardwood","deciduous_hardwood","134"
"deciduous_hardwood","grose_broom","7"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","16"
"deciduous_hardwood","high_producing_grassland","42"
"deciduous_hardwood","indigenous_forest","28"
"deciduous_hardwood","lake_pond","31"
"deciduous_hardwood","low_producing_grassland","13"
"deciduous_hardwood","manuka_kanuka","5"
"deciduous_hardwood","shortrotation_cropland","14"
"deciduous_hardwood","urban_build_up","13"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","40"
"grose_broom","deciduous_hardwood","30"
"grose_broom","grose_broom","92"
"grose_broom","harvested_forest","15"
"grose_broom","herbaceous_freshwater_vege","28"
"grose_broom","high_producing_grassland","26"
"grose_broom","indigenous_forest","27"
"grose_broom","lake_pond","17"
"grose_broom","low_producing_grassland","30"
"grose_broom","manuka_kanuka","17"
"grose_broom","shortrotation_cropland","2"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","6"
"harvested_forest","broadleaved_indigenous_hardwood","11"
"harvested_forest","deciduous_hardwood","8"
"harvested_forest","grose_broom","9"
"harvested_forest","harvested_forest","258"
"harvested_forest","herbaceous_freshwater_vege","9"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","4"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","16"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","1"
"harvested_forest","urban_build_up","2"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","18"
"herbaceous_freshwater_vege","deciduous_hardwood","28"
"herbaceous_freshwater_vege","grose_broom","22"
"herbaceous_freshwater_vege","harvested_forest","31"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","100"
"herbaceous_freshwater_vege","high_producing_grassland","34"
"herbaceous_freshwater_vege","indigenous_forest","13"
"herbaceous_freshwater_vege","lake_pond","49"
"herbaceous_freshwater_vege","low_producing_grassland","8"
"herbaceous_freshwater_vege","manuka_kanuka","10"
"herbaceous_freshwater_vege","shortrotation_cropland","14"
"herbaceous_freshwater_vege","urban_build_up","2"
"herbaceous_freshwater_vege","urban_parkland","5"
"high_producing_grassland","broadleaved_indigenous_hardwood","15"
"high_producing_grassland","deciduous_hardwood","26"
"high_producing_grassland","grose_broom","21"
"high_producing_grassland","harvested_forest","43"
"high_producing_grassland","herbaceous_freshwater_vege","7"
"high_producing_grassland","high_producing_grassland","99"
"high_producing_grassland","indigenous_forest","9"
"high_producing_grassland","lake_pond","18"
"high_producing_grassland","low_producing_grassland","29"
