"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","60"
"broadleaved_indigenous_hardwood","deciduous_hardwood","19"
"broadleaved_indigenous_hardwood","grose_broom","27"
"broadleaved_indigenous_hardwood","harvested_forest","22"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","18"
"broadleaved_indigenous_hardwood","high_producing_grassland","9"
"broadleaved_indigenous_hardwood","indigenous_forest","74"
"broadleaved_indigenous_hardwood","lake_pond","12"
"broadleaved_indigenous_hardwood","low_producing_grassland","29"
"broadleaved_indigenous_hardwood","manuka_kanuka","51"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","4"
"deciduous_hardwood","broadleaved_indigenous_hardwood","6"
"deciduous_hardwood","deciduous_hardwood","127"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","24"
"deciduous_hardwood","high_producing_grassland","28"
"deciduous_hardwood","indigenous_forest","37"
"deciduous_hardwood","lake_pond","32"
"deciduous_hardwood","low_producing_grassland","11"
"deciduous_hardwood","manuka_kanuka","17"
"deciduous_hardwood","shortrotation_cropland","23"
"deciduous_hardwood","urban_build_up","12"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","28"
"grose_broom","deciduous_hardwood","14"
"grose_broom","grose_broom","87"
"grose_broom","harvested_forest","8"
"grose_broom","herbaceous_freshwater_vege","28"
"grose_broom","high_producing_grassland","21"
"grose_broom","indigenous_forest","31"
"grose_broom","lake_pond","18"
"grose_broom","low_producing_grassland","37"
"grose_broom","manuka_kanuka","49"
"grose_broom","shortrotation_cropland","4"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","4"
"harvested_forest","broadleaved_indigenous_hardwood","5"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","4"
"harvested_forest","harvested_forest","254"
"harvested_forest","herbaceous_freshwater_vege","15"
"harvested_forest","high_producing_grassland","14"
"harvested_forest","indigenous_forest","6"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","21"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","3"
"harvested_forest","urban_build_up","2"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","9"
"herbaceous_freshwater_vege","deciduous_hardwood","26"
"herbaceous_freshwater_vege","grose_broom","22"
"herbaceous_freshwater_vege","harvested_forest","20"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","119"
"herbaceous_freshwater_vege","high_producing_grassland","15"
"herbaceous_freshwater_vege","indigenous_forest","11"
"herbaceous_freshwater_vege","lake_pond","54"
"herbaceous_freshwater_vege","low_producing_grassland","17"
"herbaceous_freshwater_vege","manuka_kanuka","19"
"herbaceous_freshwater_vege","shortrotation_cropland","15"
"herbaceous_freshwater_vege","urban_build_up","2"
"herbaceous_freshwater_vege","urban_parkland","5"
"high_producing_grassland","broadleaved_indigenous_hardwood","5"
"high_producing_grassland","deciduous_hardwood","22"
"high_producing_grassland","grose_broom","30"
"high_producing_grassland","harvested_forest","42"
"high_producing_grassland","herbaceous_freshwater_vege","12"
"high_producing_grassland","high_producing_grassland","77"
"high_producing_grassland","indigenous_forest","16"
"high_producing_grassland","lake_pond","15"
"high_producing_grassland","low_producing_grassland","27"
"high_producing_grassland","manuka_kanuka","22"
"high_producing_grassland","shortrotation_cropland","44"
"high_producing_grassland","urban_build_up","14"
"high_producing_grassland","urban_parkland","8"
"indigenous_forest","broadleaved_indigenous_hardwood","20"
"indigenous_forest","deciduous_hardwood","23"
"indigenous_forest","grose_broom","12"
"indigenous_forest","harvested_forest","6"
"indigenous_forest","herbaceous_freshwater_vege","10"
"indigenous_forest","high_producing_grassland","12"
"indigenous_forest","indigenous_forest","178"
"indigenous_forest","lake_pond","11"
"indigenous_forest","low_producing_grassland","11"
"indigenous_forest","manuka_kanuka","35"
"indigenous_forest","shortrotation_cropland","6"
"indigenous_forest","urban_build_up","4"
"indigenous_forest","urban_parkland","6"
"lake_pond","broadleaved_indigenous_hardwood","3"
"lake_pond","deciduous_hardwood","29"
"lake_pond","grose_broom","8"
"lake_pond","harvested_forest","9"
"lake_pond","herbaceous_freshwater_vege","19"
"lake_pond","high_producing_grassland","2"
"lake_pond","indigenous_forest","5"
"lake_pond","lake_pond","226"
"lake_pond","low_producing_grassland","6"
"lake_pond","manuka_kanuka","3"
"lake_pond","shortrotation_cropland","9"
"lake_pond","urban_build_up","10"
"lake_pond","urban_parkland","5"
"low_producing_grassland","broadleaved_indigenous_hardwood","8"
"low_producing_grassland","deciduous_hardwood","9"
"low_producing_grassland","grose_broom","55"
"low_producing_grassland","harvested_forest","43"
"low_producing_grassland","herbaceous_freshwater_vege","28"
"low_producing_grassland","high_producing_grassland","42"
"low_producing_grassland","indigenous_forest","11"
"low_producing_grassland","lake_pond","16"
"low_producing_grassland","low_producing_grassland","61"
"low_producing_grassland","manuka_kanuka","35"
"low_producing_grassland","shortrotation_cropland","11"
"low_producing_grassland","urban_build_up","6"
"low_producing_grassland","urban_parkland","9"
"manuka_kanuka","broadleaved_indigenous_hardwood","24"
"manuka_kanuka","deciduous_hardwood","9"
"manuka_kanuka","grose_broom","39"
"manuka_kanuka","harvested_forest","13"
"manuka_kanuka","herbaceous_freshwater_vege","16"
"manuka_kanuka","high_producing_grassland","12"
"manuka_kanuka","indigenous_forest","60"
"manuka_kanuka","lake_pond","9"
"manuka_kanuka","low_producing_grassland","33"
"manuka_kanuka","manuka_kanuka","109"
"manuka_kanuka","shortrotation_cropland","4"
"manuka_kanuka","urban_build_up","3"
"manuka_kanuka","urban_parkland","3"
"shortrotation_cropland","broadleaved_indigenous_hardwood","2"
"shortrotation_cropland","deciduous_hardwood","13"
"shortrotation_cropland","grose_broom","3"
"shortrotation_cropland","harvested_forest","3"
"shortrotation_cropland","herbaceous_freshwater_vege","5"
"shortrotation_cropland","high_producing_grassland","15"
"shortrotation_cropland","indigenous_forest","5"
"shortrotation_cropland","lake_pond","15"
"shortrotation_cropland","low_producing_grassland","0"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","256"
"shortrotation_cropland","urban_build_up","11"
"shortrotation_cropland","urban_parkland","6"
"urban_build_up","broadleaved_indigenous_hardwood","2"
"urban_build_up","deciduous_hardwood","3"
"urban_build_up","grose_broom","2"
"urban_build_up","harvested_forest","1"
"urban_build_up","herbaceous_freshwater_vege","0"
"urban_build_up","high_producing_grassland","2"
"urban_build_up","indigenous_forest","0"
"urban_build_up","lake_pond","3"
"urban_build_up","low_producing_grassland","5"
"urban_build_up","manuka_kanuka","3"
"urban_build_up","shortrotation_cropland","16"
"urban_build_up","urban_build_up","260"
"urban_build_up","urban_parkland","37"
"urban_parkland","broadleaved_indigenous_hardwood","3"
"urban_parkland","deciduous_hardwood","3"
"urban_parkland","grose_broom","2"
"urban_parkland","harvested_forest","3"
"urban_parkland","herbaceous_freshwater_vege","5"
"urban_parkland","high_producing_grassland","9"
"urban_parkland","indigenous_forest","1"
"urban_parkland","lake_pond","4"
"urban_parkland","low_producing_grassland","7"
"urban_parkland","manuka_kanuka","3"
"urban_parkland","shortrotation_cropland","23"
"urban_parkland","urban_build_up","80"
"urban_parkland","urban_parkland","191"
