"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","90"
"broadleaved_indigenous_hardwood","deciduous_hardwood","19"
"broadleaved_indigenous_hardwood","grose_broom","18"
"broadleaved_indigenous_hardwood","harvested_forest","20"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","12"
"broadleaved_indigenous_hardwood","high_producing_grassland","19"
"broadleaved_indigenous_hardwood","indigenous_forest","66"
"broadleaved_indigenous_hardwood","lake_pond","7"
"broadleaved_indigenous_hardwood","low_producing_grassland","28"
"broadleaved_indigenous_hardwood","manuka_kanuka","44"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","21"
"deciduous_hardwood","deciduous_hardwood","174"
"deciduous_hardwood","grose_broom","7"
"deciduous_hardwood","harvested_forest","4"
"deciduous_hardwood","herbaceous_freshwater_vege","26"
"deciduous_hardwood","high_producing_grassland","14"
"deciduous_hardwood","indigenous_forest","15"
"deciduous_hardwood","lake_pond","20"
"deciduous_hardwood","low_producing_grassland","19"
"deciduous_hardwood","manuka_kanuka","8"
"deciduous_hardwood","shortrotation_cropland","12"
"deciduous_hardwood","urban_build_up","6"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","40"
"grose_broom","deciduous_hardwood","24"
"grose_broom","grose_broom","94"
"grose_broom","harvested_forest","16"
"grose_broom","herbaceous_freshwater_vege","21"
"grose_broom","high_producing_grassland","25"
"grose_broom","indigenous_forest","21"
"grose_broom","lake_pond","6"
"grose_broom","low_producing_grassland","57"
"grose_broom","manuka_kanuka","21"
"grose_broom","shortrotation_cropland","3"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","2"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","3"
"harvested_forest","harvested_forest","271"
"harvested_forest","herbaceous_freshwater_vege","8"
"harvested_forest","high_producing_grassland","15"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","3"
"harvested_forest","low_producing_grassland","18"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","21"
"herbaceous_freshwater_vege","deciduous_hardwood","26"
"herbaceous_freshwater_vege","grose_broom","16"
"herbaceous_freshwater_vege","harvested_forest","17"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","132"
"herbaceous_freshwater_vege","high_producing_grassland","20"
"herbaceous_freshwater_vege","indigenous_forest","8"
"herbaceous_freshwater_vege","lake_pond","45"
"herbaceous_freshwater_vege","low_producing_grassland","22"
"herbaceous_freshwater_vege","manuka_kanuka","15"
"herbaceous_freshwater_vege","shortrotation_cropland","8"
"herbaceous_freshwater_vege","urban_build_up","1"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","17"
"high_producing_grassland","deciduous_hardwood","17"
"high_producing_grassland","grose_broom","16"
"high_producing_grassland","harvested_forest","40"
"high_producing_grassland","herbaceous_freshwater_vege","8"
"high_producing_grassland","high_producing_grassland","104"
"high_producing_grassland","indigenous_forest","5"
"high_producing_grassland","lake_pond","7"
"high_producing_grassland","low_producing_grassland","32"
"high_producing_grassland","manuka_kanuka","13"
"high_producing_grassland","shortrotation_cropland","58"
"high_producing_grassland","urban_build_up","10"
"high_producing_grassland","urban_parkland","7"
"indigenous_forest","broadleaved_indigenous_hardwood","48"
"indigenous_forest","deciduous_hardwood","30"
"indigenous_forest","grose_broom","9"
"indigenous_forest","harvested_forest","5"
"indigenous_forest","herbaceous_freshwater_vege","9"
"indigenous_forest","high_producing_grassland","10"
"indigenous_forest","indigenous_forest","164"
"indigenous_forest","lake_pond","8"
"indigenous_forest","low_producing_grassland","15"
"indigenous_forest","manuka_kanuka","27"
"indigenous_forest","shortrotation_cropland","2"
"indigenous_forest","urban_build_up","2"
"indigenous_forest","urban_parkland","5"
"lake_pond","broadleaved_indigenous_hardwood","1"
"lake_pond","deciduous_hardwood","17"
"lake_pond","grose_broom","5"
"lake_pond","harvested_forest","10"
"lake_pond","herbaceous_freshwater_vege","18"
"lake_pond","high_producing_grassland","4"
"lake_pond","indigenous_forest","3"
"lake_pond","lake_pond","253"
"lake_pond","low_producing_grassland","3"
"lake_pond","manuka_kanuka","1"
"lake_pond","shortrotation_cropland","8"
"lake_pond","urban_build_up","6"
"lake_pond","urban_parkland","5"
"low_producing_grassland","broadleaved_indigenous_hardwood","11"
"low_producing_grassland","deciduous_hardwood","15"
"low_producing_grassland","grose_broom","46"
"low_producing_grassland","harvested_forest","57"
"low_producing_grassland","herbaceous_freshwater_vege","19"
"low_producing_grassland","high_producing_grassland","50"
"low_producing_grassland","indigenous_forest","4"
"low_producing_grassland","lake_pond","13"
"low_producing_grassland","low_producing_grassland","78"
"low_producing_grassland","manuka_kanuka","18"
"low_producing_grassland","shortrotation_cropland","12"
"low_producing_grassland","urban_build_up","5"
"low_producing_grassland","urban_parkland","6"
"manuka_kanuka","broadleaved_indigenous_hardwood","40"
"manuka_kanuka","deciduous_hardwood","22"
"manuka_kanuka","grose_broom","25"
"manuka_kanuka","harvested_forest","13"
"manuka_kanuka","herbaceous_freshwater_vege","10"
"manuka_kanuka","high_producing_grassland","20"
"manuka_kanuka","indigenous_forest","42"
"manuka_kanuka","lake_pond","8"
"manuka_kanuka","low_producing_grassland","40"
"manuka_kanuka","manuka_kanuka","108"
"manuka_kanuka","shortrotation_cropland","2"
"manuka_kanuka","urban_build_up","4"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","6"
"shortrotation_cropland","grose_broom","1"
"shortrotation_cropland","harvested_forest","3"
"shortrotation_cropland","herbaceous_freshwater_vege","4"
"shortrotation_cropland","high_producing_grassland","25"
"shortrotation_cropland","indigenous_forest","1"
"shortrotation_cropland","lake_pond","8"
"shortrotation_cropland","low_producing_grassland","7"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","270"
"shortrotation_cropland","urban_build_up","7"
"shortrotation_cropland","urban_parkland","2"
"urban_build_up","broadleaved_indigenous_hardwood","0"
"urban_build_up","deciduous_hardwood","1"
"urban_build_up","grose_broom","1"
"urban_build_up","harvested_forest","1"
"urban_build_up","herbaceous_freshwater_vege","1"
"urban_build_up","high_producing_grassland","5"
"urban_build_up","indigenous_forest","1"
"urban_build_up","lake_pond","1"
"urban_build_up","low_producing_grassland","1"
"urban_build_up","manuka_kanuka","1"
"urban_build_up","shortrotation_cropland","20"
"urban_build_up","urban_build_up","261"
"urban_build_up","urban_parkland","40"
"urban_parkland","broadleaved_indigenous_hardwood","4"
"urban_parkland","deciduous_hardwood","5"
"urban_parkland","grose_broom","2"
"urban_parkland","harvested_forest","2"
"urban_parkland","herbaceous_freshwater_vege","4"
"urban_parkland","high_producing_grassland","17"
"urban_parkland","indigenous_forest","0"
"urban_parkland","lake_pond","8"
"urban_parkland","low_producing_grassland","9"
"urban_parkland","manuka_kanuka","0"
"urban_parkland","shortrotation_cropland","21"
"urban_parkland","urban_build_up","60"
"urban_parkland","urban_parkland","202"
