"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","101"
"broadleaved_indigenous_hardwood","deciduous_hardwood","30"
"broadleaved_indigenous_hardwood","grose_broom","14"
"broadleaved_indigenous_hardwood","harvested_forest","25"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","13"
"broadleaved_indigenous_hardwood","high_producing_grassland","14"
"broadleaved_indigenous_hardwood","indigenous_forest","53"
"broadleaved_indigenous_hardwood","lake_pond","9"
"broadleaved_indigenous_hardwood","low_producing_grassland","27"
"broadleaved_indigenous_hardwood","manuka_kanuka","38"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","7"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","25"
"deciduous_hardwood","deciduous_hardwood","176"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","7"
"deciduous_hardwood","herbaceous_freshwater_vege","29"
"deciduous_hardwood","high_producing_grassland","20"
"deciduous_hardwood","indigenous_forest","21"
"deciduous_hardwood","lake_pond","11"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","7"
"deciduous_hardwood","shortrotation_cropland","9"
"deciduous_hardwood","urban_build_up","6"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","44"
"grose_broom","deciduous_hardwood","22"
"grose_broom","grose_broom","83"
"grose_broom","harvested_forest","10"
"grose_broom","herbaceous_freshwater_vege","33"
"grose_broom","high_producing_grassland","19"
"grose_broom","indigenous_forest","23"
"grose_broom","lake_pond","7"
"grose_broom","low_producing_grassland","47"
"grose_broom","manuka_kanuka","37"
"grose_broom","shortrotation_cropland","1"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","1"
"harvested_forest","deciduous_hardwood","1"
"harvested_forest","grose_broom","2"
"harvested_forest","harvested_forest","284"
"harvested_forest","herbaceous_freshwater_vege","11"
