"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","67"
"broadleaved_indigenous_hardwood","deciduous_hardwood","12"
"broadleaved_indigenous_hardwood","grose_broom","16"
"broadleaved_indigenous_hardwood","harvested_forest","31"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","14"
"broadleaved_indigenous_hardwood","high_producing_grassland","26"
"broadleaved_indigenous_hardwood","indigenous_forest","60"
"broadleaved_indigenous_hardwood","lake_pond","18"
"broadleaved_indigenous_hardwood","low_producing_grassland","33"
"broadleaved_indigenous_hardwood","manuka_kanuka","39"
"broadleaved_indigenous_hardwood","shortrotation_cropland","8"
"broadleaved_indigenous_hardwood","urban_build_up","10"
"broadleaved_indigenous_hardwood","urban_parkland","0"
"deciduous_hardwood","broadleaved_indigenous_hardwood","13"
"deciduous_hardwood","deciduous_hardwood","117"
"deciduous_hardwood","grose_broom","4"
"deciduous_hardwood","harvested_forest","9"
"deciduous_hardwood","herbaceous_freshwater_vege","17"
"deciduous_hardwood","high_producing_grassland","39"
"deciduous_hardwood","indigenous_forest","30"
"deciduous_hardwood","lake_pond","36"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","13"
"deciduous_hardwood","shortrotation_cropland","25"
"deciduous_hardwood","urban_build_up","11"
"deciduous_hardwood","urban_parkland","10"
"grose_broom","broadleaved_indigenous_hardwood","39"
"grose_broom","deciduous_hardwood","15"
"grose_broom","grose_broom","74"
"grose_broom","harvested_forest","17"
"grose_broom","herbaceous_freshwater_vege","27"
"grose_broom","high_producing_grassland","34"
"grose_broom","indigenous_forest","29"
"grose_broom","lake_pond","10"
"grose_broom","low_producing_grassland","40"
"grose_broom","manuka_kanuka","29"
"grose_broom","shortrotation_cropland","7"
"grose_broom","urban_build_up","8"
"grose_broom","urban_parkland","5"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","8"
"harvested_forest","harvested_forest","275"
"harvested_forest","herbaceous_freshwater_vege","4"
"harvested_forest","high_producing_grassland","12"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","3"
"harvested_forest","low_producing_grassland","13"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","15"
"herbaceous_freshwater_vege","deciduous_hardwood","24"
"herbaceous_freshwater_vege","grose_broom","14"
"herbaceous_freshwater_vege","harvested_forest","27"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","96"
"herbaceous_freshwater_vege","high_producing_grassland","21"
"herbaceous_freshwater_vege","indigenous_forest","15"
"herbaceous_freshwater_vege","lake_pond","64"
"herbaceous_freshwater_vege","low_producing_grassland","12"
"herbaceous_freshwater_vege","manuka_kanuka","21"
"herbaceous_freshwater_vege","shortrotation_cropland","18"
"herbaceous_freshwater_vege","urban_build_up","4"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","8"
"high_producing_grassland","deciduous_hardwood","18"
"high_producing_grassland","grose_broom","12"
"high_producing_grassland","harvested_forest","44"
"high_producing_grassland","herbaceous_freshwater_vege","4"
"high_producing_grassland","high_producing_grassland","96"
"high_producing_grassland","indigenous_forest","18"
"high_producing_grassland","lake_pond","19"
"high_producing_grassland","low_producing_grassland","16"
"high_producing_grassland","manuka_kanuka","19"
"high_producing_grassland","shortrotation_cropland","50"
"high_producing_grassland","urban_build_up","16"
"high_producing_grassland","urban_parkland","14"
"indigenous_forest","broadleaved_indigenous_hardwood","39"
"indigenous_forest","deciduous_hardwood","24"
"indigenous_forest","grose_broom","7"
"indigenous_forest","harvested_forest","7"
"indigenous_forest","herbaceous_freshwater_vege","5"
"indigenous_forest","high_producing_grassland","32"
"indigenous_forest","indigenous_forest","145"
"indigenous_forest","lake_pond","18"
"indigenous_forest","low_producing_grassland","20"
"indigenous_forest","manuka_kanuka","26"
"indigenous_forest","shortrotation_cropland","2"
"indigenous_forest","urban_build_up","3"
"indigenous_forest","urban_parkland","6"
"lake_pond","broadleaved_indigenous_hardwood","5"
"lake_pond","deciduous_hardwood","23"
"lake_pond","grose_broom","6"
"lake_pond","harvested_forest","16"
"lake_pond","herbaceous_freshwater_vege","13"
"lake_pond","high_producing_grassland","10"
"lake_pond","indigenous_forest","8"
"lake_pond","lake_pond","202"
"lake_pond","low_producing_grassland","8"
"lake_pond","manuka_kanuka","2"
"lake_pond","shortrotation_cropland","11"
"lake_pond","urban_build_up","15"
"lake_pond","urban_parkland","15"
"low_producing_grassland","broadleaved_indigenous_hardwood","13"
"low_producing_grassland","deciduous_hardwood","7"
"low_producing_grassland","grose_broom","35"
"low_producing_grassland","harvested_forest","69"
"low_producing_grassland","herbaceous_freshwater_vege","25"
"low_producing_grassland","high_producing_grassland","51"
"low_producing_grassland","indigenous_forest","17"
"low_producing_grassland","lake_pond","10"
"low_producing_grassland","low_producing_grassland","46"
"low_producing_grassland","manuka_kanuka","28"
"low_producing_grassland","shortrotation_cropland","13"
"low_producing_grassland","urban_build_up","12"
"low_producing_grassland","urban_parkland","8"
"manuka_kanuka","broadleaved_indigenous_hardwood","48"
"manuka_kanuka","deciduous_hardwood","19"
"manuka_kanuka","grose_broom","19"
"manuka_kanuka","harvested_forest","18"
"manuka_kanuka","herbaceous_freshwater_vege","16"
"manuka_kanuka","high_producing_grassland","30"
"manuka_kanuka","indigenous_forest","61"
"manuka_kanuka","lake_pond","12"
"manuka_kanuka","low_producing_grassland","33"
"manuka_kanuka","manuka_kanuka","72"
"manuka_kanuka","shortrotation_cropland","3"
"manuka_kanuka","urban_build_up","3"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","7"
"shortrotation_cropland","grose_broom","1"
"shortrotation_cropland","harvested_forest","9"
"shortrotation_cropland","herbaceous_freshwater_vege","2"
"shortrotation_cropland","high_producing_grassland","27"
"shortrotation_cropland","indigenous_forest","4"
"shortrotation_cropland","lake_pond","18"
"shortrotation_cropland","low_producing_grassland","1"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","242"
"shortrotation_cropland","urban_build_up","13"
"shortrotation_cropland","urban_parkland","10"
"urban_build_up","broadleaved_indigenous_hardwood","2"
"urban_build_up","deciduous_hardwood","0"
"urban_build_up","grose_broom","0"
"urban_build_up","harvested_forest","6"
"urban_build_up","herbaceous_freshwater_vege","1"
"urban_build_up","high_producing_grassland","0"
"urban_build_up","indigenous_forest","0"
"urban_build_up","lake_pond","2"
"urban_build_up","low_producing_grassland","3"
"urban_build_up","manuka_kanuka","0"
"urban_build_up","shortrotation_cropland","16"
"urban_build_up","urban_build_up","266"
"urban_build_up","urban_parkland","38"
"urban_parkland","broadleaved_indigenous_hardwood","2"
"urban_parkland","deciduous_hardwood","6"
"urban_parkland","grose_broom","0"
"urban_parkland","harvested_forest","2"
"urban_parkland","herbaceous_freshwater_vege","3"
"urban_parkland","high_producing_grassland","14"
"urban_parkland","indigenous_forest","5"
"urban_parkland","lake_pond","11"
"urban_parkland","low_producing_grassland","8"
"urban_parkland","manuka_kanuka","1"
"urban_parkland","shortrotation_cropland","22"
"urban_parkland","urban_build_up","118"
"urban_parkland","urban_parkland","142"
