"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","92"
"broadleaved_indigenous_hardwood","deciduous_hardwood","28"
"broadleaved_indigenous_hardwood","grose_broom","29"
"broadleaved_indigenous_hardwood","harvested_forest","12"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","10"
"broadleaved_indigenous_hardwood","high_producing_grassland","14"
"broadleaved_indigenous_hardwood","indigenous_forest","46"
"broadleaved_indigenous_hardwood","lake_pond","10"
"broadleaved_indigenous_hardwood","low_producing_grassland","19"
"broadleaved_indigenous_hardwood","manuka_kanuka","68"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","16"
"deciduous_hardwood","deciduous_hardwood","201"
"deciduous_hardwood","grose_broom","7"
"deciduous_hardwood","harvested_forest","1"
"deciduous_hardwood","herbaceous_freshwater_vege","18"
"deciduous_hardwood","high_producing_grassland","21"
"deciduous_hardwood","indigenous_forest","12"
"deciduous_hardwood","lake_pond","16"
"deciduous_hardwood","low_producing_grassland","12"
"deciduous_hardwood","manuka_kanuka","14"
"deciduous_hardwood","shortrotation_cropland","10"
"deciduous_hardwood","urban_build_up","1"
"deciduous_hardwood","urban_parkland","5"
"grose_broom","broadleaved_indigenous_hardwood","36"
"grose_broom","deciduous_hardwood","23"
"grose_broom","grose_broom","126"
"grose_broom","harvested_forest","5"
"grose_broom","herbaceous_freshwater_vege","25"
"grose_broom","high_producing_grassland","24"
"grose_broom","indigenous_forest","5"
"grose_broom","lake_pond","6"
"grose_broom","low_producing_grassland","31"
"grose_broom","manuka_kanuka","46"
"grose_broom","shortrotation_cropland","2"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","2"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","12"
"harvested_forest","harvested_forest","254"
"harvested_forest","herbaceous_freshwater_vege","9"
"harvested_forest","high_producing_grassland","12"
"harvested_forest","indigenous_forest","3"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","27"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","4"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","7"
"herbaceous_freshwater_vege","deciduous_hardwood","38"
"herbaceous_freshwater_vege","grose_broom","36"
"herbaceous_freshwater_vege","harvested_forest","13"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","127"
"herbaceous_freshwater_vege","high_producing_grassland","16"
"herbaceous_freshwater_vege","indigenous_forest","7"
"herbaceous_freshwater_vege","lake_pond","48"
"herbaceous_freshwater_vege","low_producing_grassland","8"
"herbaceous_freshwater_vege","manuka_kanuka","20"
"herbaceous_freshwater_vege","shortrotation_cropland","11"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","5"
"high_producing_grassland","deciduous_hardwood","20"
