"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","80"
"broadleaved_indigenous_hardwood","deciduous_hardwood","22"
"broadleaved_indigenous_hardwood","grose_broom","20"
"broadleaved_indigenous_hardwood","harvested_forest","31"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","18"
"broadleaved_indigenous_hardwood","high_producing_grassland","16"
"broadleaved_indigenous_hardwood","indigenous_forest","74"
"broadleaved_indigenous_hardwood","lake_pond","8"
"broadleaved_indigenous_hardwood","low_producing_grassland","19"
"broadleaved_indigenous_hardwood","manuka_kanuka","37"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","25"
"deciduous_hardwood","deciduous_hardwood","91"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","14"
"deciduous_hardwood","herbaceous_freshwater_vege","14"
"deciduous_hardwood","high_producing_grassland","26"
"deciduous_hardwood","indigenous_forest","60"
"deciduous_hardwood","lake_pond","37"
"deciduous_hardwood","low_producing_grassland","15"
"deciduous_hardwood","manuka_kanuka","12"
"deciduous_hardwood","shortrotation_cropland","19"
"deciduous_hardwood","urban_build_up","8"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","47"
"grose_broom","deciduous_hardwood","30"
"grose_broom","grose_broom","59"
"grose_broom","harvested_forest","23"
"grose_broom","herbaceous_freshwater_vege","26"
"grose_broom","high_producing_grassland","23"
"grose_broom","indigenous_forest","30"
"grose_broom","lake_pond","18"
"grose_broom","low_producing_grassland","29"
"grose_broom","manuka_kanuka","33"
"grose_broom","shortrotation_cropland","7"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","13"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","17"
"harvested_forest","harvested_forest","245"
"harvested_forest","herbaceous_freshwater_vege","8"
"harvested_forest","high_producing_grassland","8"
"harvested_forest","indigenous_forest","7"
"harvested_forest","lake_pond","7"
"harvested_forest","low_producing_grassland","14"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","4"
"harvested_forest","urban_build_up","3"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","29"
"herbaceous_freshwater_vege","deciduous_hardwood","28"
"herbaceous_freshwater_vege","grose_broom","23"
"herbaceous_freshwater_vege","harvested_forest","28"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","77"
"herbaceous_freshwater_vege","high_producing_grassland","29"
"herbaceous_freshwater_vege","indigenous_forest","23"
"herbaceous_freshwater_vege","lake_pond","49"
"herbaceous_freshwater_vege","low_producing_grassland","14"
"herbaceous_freshwater_vege","manuka_kanuka","15"
"herbaceous_freshwater_vege","shortrotation_cropland","12"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","7"
"high_producing_grassland","broadleaved_indigenous_hardwood","28"
"high_producing_grassland","deciduous_hardwood","25"
"high_producing_grassland","grose_broom","13"
"high_producing_grassland","harvested_forest","63"
"high_producing_grassland","herbaceous_freshwater_vege","13"
"high_producing_grassland","high_producing_grassland","64"
"high_producing_grassland","indigenous_forest","20"
"high_producing_grassland","lake_pond","31"
"high_producing_grassland","low_producing_grassland","18"
"high_producing_grassland","manuka_kanuka","15"
"high_producing_grassland","shortrotation_cropland","31"
"high_producing_grassland","urban_build_up","9"
"high_producing_grassland","urban_parkland","4"
"indigenous_forest","broadleaved_indigenous_hardwood","48"
"indigenous_forest","deciduous_hardwood","13"
"indigenous_forest","grose_broom","6"
"indigenous_forest","harvested_forest","20"
"indigenous_forest","herbaceous_freshwater_vege","9"
"indigenous_forest","high_producing_grassland","16"
"indigenous_forest","indigenous_forest","158"
"indigenous_forest","lake_pond","13"
"indigenous_forest","low_producing_grassland","12"
"indigenous_forest","manuka_kanuka","24"
"indigenous_forest","shortrotation_cropland","4"
"indigenous_forest","urban_build_up","1"
"indigenous_forest","urban_parkland","10"
"lake_pond","broadleaved_indigenous_hardwood","8"
"lake_pond","deciduous_hardwood","32"
"lake_pond","grose_broom","9"
"lake_pond","harvested_forest","18"
"lake_pond","herbaceous_freshwater_vege","22"
"lake_pond","high_producing_grassland","25"
"lake_pond","indigenous_forest","16"
"lake_pond","lake_pond","150"
"lake_pond","low_producing_grassland","5"
"lake_pond","manuka_kanuka","13"
"lake_pond","shortrotation_cropland","16"
"lake_pond","urban_build_up","16"
"lake_pond","urban_parkland","4"
"low_producing_grassland","broadleaved_indigenous_hardwood","29"
"low_producing_grassland","deciduous_hardwood","20"
"low_producing_grassland","grose_broom","40"
"low_producing_grassland","harvested_forest","64"
"low_producing_grassland","herbaceous_freshwater_vege","22"
"low_producing_grassland","high_producing_grassland","35"
"low_producing_grassland","indigenous_forest","12"
"low_producing_grassland","lake_pond","20"
"low_producing_grassland","low_producing_grassland","38"
"low_producing_grassland","manuka_kanuka","34"
"low_producing_grassland","shortrotation_cropland","10"
"low_producing_grassland","urban_build_up","3"
"low_producing_grassland","urban_parkland","7"
"manuka_kanuka","broadleaved_indigenous_hardwood","57"
"manuka_kanuka","deciduous_hardwood","21"
"manuka_kanuka","grose_broom","29"
"manuka_kanuka","harvested_forest","28"
"manuka_kanuka","herbaceous_freshwater_vege","20"
"manuka_kanuka","high_producing_grassland","16"
"manuka_kanuka","indigenous_forest","58"
"manuka_kanuka","lake_pond","9"
"manuka_kanuka","low_producing_grassland","25"
"manuka_kanuka","manuka_kanuka","66"
"manuka_kanuka","shortrotation_cropland","1"
"manuka_kanuka","urban_build_up","3"
"manuka_kanuka","urban_parkland","1"
"shortrotation_cropland","broadleaved_indigenous_hardwood","5"
"shortrotation_cropland","deciduous_hardwood","16"
"shortrotation_cropland","grose_broom","6"
"shortrotation_cropland","harvested_forest","14"
"shortrotation_cropland","herbaceous_freshwater_vege","4"
"shortrotation_cropland","high_producing_grassland","35"
"shortrotation_cropland","indigenous_forest","7"
"shortrotation_cropland","lake_pond","23"
"shortrotation_cropland","low_producing_grassland","8"
"shortrotation_cropland","manuka_kanuka","1"
"shortrotation_cropland","shortrotation_cropland","200"
"shortrotation_cropland","urban_build_up","7"
"shortrotation_cropland","urban_parkland","8"
"urban_build_up","broadleaved_indigenous_hardwood","2"
"urban_build_up","deciduous_hardwood","4"
"urban_build_up","grose_broom","1"
"urban_build_up","harvested_forest","2"
"urban_build_up","herbaceous_freshwater_vege","4"
"urban_build_up","high_producing_grassland","5"
"urban_build_up","indigenous_forest","3"
"urban_build_up","lake_pond","4"
"urban_build_up","low_producing_grassland","8"
"urban_build_up","manuka_kanuka","2"
"urban_build_up","shortrotation_cropland","14"
"urban_build_up","urban_build_up","235"
"urban_build_up","urban_parkland","50"
"urban_parkland","broadleaved_indigenous_hardwood","6"
"urban_parkland","deciduous_hardwood","8"
"urban_parkland","grose_broom","3"
"urban_parkland","harvested_forest","6"
"urban_parkland","herbaceous_freshwater_vege","7"
"urban_parkland","high_producing_grassland","13"
"urban_parkland","indigenous_forest","5"
"urban_parkland","lake_pond","14"
"urban_parkland","low_producing_grassland","13"
"urban_parkland","manuka_kanuka","1"
"urban_parkland","shortrotation_cropland","26"
"urban_parkland","urban_build_up","97"
"urban_parkland","urban_parkland","135"
