"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","91"
"broadleaved_indigenous_hardwood","deciduous_hardwood","22"
"broadleaved_indigenous_hardwood","grose_broom","23"
"broadleaved_indigenous_hardwood","harvested_forest","20"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","14"
"broadleaved_indigenous_hardwood","high_producing_grassland","9"
"broadleaved_indigenous_hardwood","indigenous_forest","63"
"broadleaved_indigenous_hardwood","lake_pond","7"
"broadleaved_indigenous_hardwood","low_producing_grassland","20"
"broadleaved_indigenous_hardwood","manuka_kanuka","57"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","18"
"deciduous_hardwood","deciduous_hardwood","169"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","4"
"deciduous_hardwood","herbaceous_freshwater_vege","28"
"deciduous_hardwood","high_producing_grassland","13"
"deciduous_hardwood","indigenous_forest","24"
"deciduous_hardwood","lake_pond","17"
"deciduous_hardwood","low_producing_grassland","6"
"deciduous_hardwood","manuka_kanuka","19"
"deciduous_hardwood","shortrotation_cropland","14"
"deciduous_hardwood","urban_build_up","7"
"deciduous_hardwood","urban_parkland","9"
"grose_broom","broadleaved_indigenous_hardwood","45"
"grose_broom","deciduous_hardwood","19"
"grose_broom","grose_broom","92"
"grose_broom","harvested_forest","12"
"grose_broom","herbaceous_freshwater_vege","31"
"grose_broom","high_producing_grassland","31"
"grose_broom","indigenous_forest","19"
"grose_broom","lake_pond","8"
"grose_broom","low_producing_grassland","32"
"grose_broom","manuka_kanuka","36"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","0"
"harvested_forest","deciduous_hardwood","1"
"harvested_forest","grose_broom","3"
"harvested_forest","harvested_forest","281"
"harvested_forest","herbaceous_freshwater_vege","8"
"harvested_forest","high_producing_grassland","14"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","18"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","12"
"herbaceous_freshwater_vege","deciduous_hardwood","31"
"herbaceous_freshwater_vege","grose_broom","15"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","162"
"herbaceous_freshwater_vege","high_producing_grassland","13"
"herbaceous_freshwater_vege","indigenous_forest","7"
"herbaceous_freshwater_vege","lake_pond","45"
"herbaceous_freshwater_vege","low_producing_grassland","10"
"herbaceous_freshwater_vege","manuka_kanuka","16"
"herbaceous_freshwater_vege","shortrotation_cropland","7"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","2"
"high_producing_grassland","broadleaved_indigenous_hardwood","11"
"high_producing_grassland","deciduous_hardwood","16"
"high_producing_grassland","grose_broom","19"
"high_producing_grassland","harvested_forest","38"
"high_producing_grassland","herbaceous_freshwater_vege","10"
"high_producing_grassland","high_producing_grassland","115"
"high_producing_grassland","indigenous_forest","11"
"high_producing_grassland","lake_pond","9"
"high_producing_grassland","low_producing_grassland","24"
"high_producing_grassland","manuka_kanuka","16"
"high_producing_grassland","shortrotation_cropland","48"
"high_producing_grassland","urban_build_up","12"
"high_producing_grassland","urban_parkland","5"
"indigenous_forest","broadleaved_indigenous_hardwood","37"
"indigenous_forest","deciduous_hardwood","27"
"indigenous_forest","grose_broom","10"
"indigenous_forest","harvested_forest","6"
"indigenous_forest","herbaceous_freshwater_vege","5"
"indigenous_forest","high_producing_grassland","8"
"indigenous_forest","indigenous_forest","182"
"indigenous_forest","lake_pond","9"
"indigenous_forest","low_producing_grassland","11"
"indigenous_forest","manuka_kanuka","30"
"indigenous_forest","shortrotation_cropland","2"
"indigenous_forest","urban_build_up","2"
"indigenous_forest","urban_parkland","5"
"lake_pond","broadleaved_indigenous_hardwood","1"
"lake_pond","deciduous_hardwood","17"
"lake_pond","grose_broom","2"
"lake_pond","harvested_forest","10"
"lake_pond","herbaceous_freshwater_vege","15"
"lake_pond","high_producing_grassland","3"
"lake_pond","indigenous_forest","6"
"lake_pond","lake_pond","263"
"lake_pond","low_producing_grassland","3"
"lake_pond","manuka_kanuka","1"
"lake_pond","shortrotation_cropland","5"
"lake_pond","urban_build_up","6"
"lake_pond","urban_parkland","2"
"low_producing_grassland","broadleaved_indigenous_hardwood","8"
"low_producing_grassland","deciduous_hardwood","13"
"low_producing_grassland","grose_broom","41"
"low_producing_grassland","harvested_forest","48"
"low_producing_grassland","herbaceous_freshwater_vege","22"
"low_producing_grassland","high_producing_grassland","52"
"low_producing_grassland","indigenous_forest","11"
"low_producing_grassland","lake_pond","14"
"low_producing_grassland","low_producing_grassland","77"
"low_producing_grassland","manuka_kanuka","32"
"low_producing_grassland","shortrotation_cropland","10"
"low_producing_grassland","urban_build_up","2"
"low_producing_grassland","urban_parkland","4"
"manuka_kanuka","broadleaved_indigenous_hardwood","37"
"manuka_kanuka","deciduous_hardwood","15"
"manuka_kanuka","grose_broom","27"
"manuka_kanuka","harvested_forest","9"
"manuka_kanuka","herbaceous_freshwater_vege","20"
"manuka_kanuka","high_producing_grassland","13"
"manuka_kanuka","indigenous_forest","45"
"manuka_kanuka","lake_pond","8"
"manuka_kanuka","low_producing_grassland","26"
"manuka_kanuka","manuka_kanuka","128"
"manuka_kanuka","shortrotation_cropland","4"
"manuka_kanuka","urban_build_up","2"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","7"
"shortrotation_cropland","grose_broom","3"
"shortrotation_cropland","harvested_forest","6"
"shortrotation_cropland","herbaceous_freshwater_vege","4"
"shortrotation_cropland","high_producing_grassland","29"
"shortrotation_cropland","indigenous_forest","3"
"shortrotation_cropland","lake_pond","11"
"shortrotation_cropland","low_producing_grassland","3"
"shortrotation_cropland","manuka_kanuka","1"
"shortrotation_cropland","shortrotation_cropland","258"
"shortrotation_cropland","urban_build_up","6"
"shortrotation_cropland","urban_parkland","3"
"urban_build_up","broadleaved_indigenous_hardwood","2"
"urban_build_up","deciduous_hardwood","2"
"urban_build_up","grose_broom","1"
"urban_build_up","harvested_forest","2"
"urban_build_up","herbaceous_freshwater_vege","2"
"urban_build_up","high_producing_grassland","3"
"urban_build_up","indigenous_forest","1"
"urban_build_up","lake_pond","5"
"urban_build_up","low_producing_grassland","2"
"urban_build_up","manuka_kanuka","2"
"urban_build_up","shortrotation_cropland","16"
"urban_build_up","urban_build_up","262"
"urban_build_up","urban_parkland","34"
"urban_parkland","broadleaved_indigenous_hardwood","0"
"urban_parkland","deciduous_hardwood","3"
"urban_parkland","grose_broom","0"
"urban_parkland","harvested_forest","1"
"urban_parkland","herbaceous_freshwater_vege","6"
"urban_parkland","high_producing_grassland","16"
"urban_parkland","indigenous_forest","1"
"urban_parkland","lake_pond","12"
"urban_parkland","low_producing_grassland","5"
"urban_parkland","manuka_kanuka","1"
"urban_parkland","shortrotation_cropland","20"
"urban_parkland","urban_build_up","76"
"urban_parkland","urban_parkland","193"
