"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","72"
"broadleaved_indigenous_hardwood","deciduous_hardwood","26"
"broadleaved_indigenous_hardwood","grose_broom","24"
"broadleaved_indigenous_hardwood","harvested_forest","41"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","20"
"broadleaved_indigenous_hardwood","high_producing_grassland","18"
"broadleaved_indigenous_hardwood","indigenous_forest","57"
"broadleaved_indigenous_hardwood","lake_pond","15"
"broadleaved_indigenous_hardwood","low_producing_grassland","19"
"broadleaved_indigenous_hardwood","manuka_kanuka","27"
"broadleaved_indigenous_hardwood","shortrotation_cropland","5"
"broadleaved_indigenous_hardwood","urban_build_up","7"
"broadleaved_indigenous_hardwood","urban_parkland","3"
"deciduous_hardwood","broadleaved_indigenous_hardwood","12"
"deciduous_hardwood","deciduous_hardwood","120"
"deciduous_hardwood","grose_broom","4"
"deciduous_hardwood","harvested_forest","13"
"deciduous_hardwood","herbaceous_freshwater_vege","23"
"deciduous_hardwood","high_producing_grassland","19"
"deciduous_hardwood","indigenous_forest","36"
"deciduous_hardwood","lake_pond","42"
"deciduous_hardwood","low_producing_grassland","9"
"deciduous_hardwood","manuka_kanuka","11"
"deciduous_hardwood","shortrotation_cropland","24"
"deciduous_hardwood","urban_build_up","10"
"deciduous_hardwood","urban_parkland","11"
"grose_broom","broadleaved_indigenous_hardwood","22"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","82"
"grose_broom","harvested_forest","32"
"grose_broom","herbaceous_freshwater_vege","30"
"grose_broom","high_producing_grassland","17"
"grose_broom","indigenous_forest","32"
"grose_broom","lake_pond","27"
"grose_broom","low_producing_grassland","25"
"grose_broom","manuka_kanuka","30"
"grose_broom","shortrotation_cropland","7"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","11"
"harvested_forest","harvested_forest","272"
"harvested_forest","herbaceous_freshwater_vege","8"
"harvested_forest","high_producing_grassland","6"
"harvested_forest","indigenous_forest","4"
"harvested_forest","lake_pond","7"
"harvested_forest","low_producing_grassland","10"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","5"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","11"
"herbaceous_freshwater_vege","deciduous_hardwood","19"
"herbaceous_freshwater_vege","grose_broom","18"
"herbaceous_freshwater_vege","harvested_forest","36"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","105"
"herbaceous_freshwater_vege","high_producing_grassland","17"
"herbaceous_freshwater_vege","indigenous_forest","14"
"herbaceous_freshwater_vege","lake_pond","69"
"herbaceous_freshwater_vege","low_producing_grassland","8"
"herbaceous_freshwater_vege","manuka_kanuka","12"
"herbaceous_freshwater_vege","shortrotation_cropland","20"
"herbaceous_freshwater_vege","urban_build_up","1"
"herbaceous_freshwater_vege","urban_parkland","4"
"high_producing_grassland","broadleaved_indigenous_hardwood","5"
"high_producing_grassland","deciduous_hardwood","17"
"high_producing_grassland","grose_broom","18"
"high_producing_grassland","harvested_forest","62"
"high_producing_grassland","herbaceous_freshwater_vege","13"
"high_producing_grassland","high_producing_grassland","62"
"high_producing_grassland","indigenous_forest","21"
"high_producing_grassland","lake_pond","22"
"high_producing_grassland","low_producing_grassland","15"
"high_producing_grassland","manuka_kanuka","21"
"high_producing_grassland","shortrotation_cropland","58"
"high_producing_grassland","urban_build_up","16"
"high_producing_grassland","urban_parkland","4"
"indigenous_forest","broadleaved_indigenous_hardwood","27"
"indigenous_forest","deciduous_hardwood","22"
"indigenous_forest","grose_broom","13"
"indigenous_forest","harvested_forest","20"
"indigenous_forest","herbaceous_freshwater_vege","14"
"indigenous_forest","high_producing_grassland","20"
"indigenous_forest","indigenous_forest","144"
"indigenous_forest","lake_pond","16"
"indigenous_forest","low_producing_grassland","11"
"indigenous_forest","manuka_kanuka","22"
"indigenous_forest","shortrotation_cropland","10"
"indigenous_forest","urban_build_up","9"
"indigenous_forest","urban_parkland","6"
"lake_pond","broadleaved_indigenous_hardwood","4"
"lake_pond","deciduous_hardwood","26"
"lake_pond","grose_broom","11"
"lake_pond","harvested_forest","20"
"lake_pond","herbaceous_freshwater_vege","24"
"lake_pond","high_producing_grassland","8"
"lake_pond","indigenous_forest","11"
"lake_pond","lake_pond","173"
"lake_pond","low_producing_grassland","3"
"lake_pond","manuka_kanuka","3"
"lake_pond","shortrotation_cropland","25"
"lake_pond","urban_build_up","17"
"lake_pond","urban_parkland","9"
"low_producing_grassland","broadleaved_indigenous_hardwood","11"
"low_producing_grassland","deciduous_hardwood","11"
"low_producing_grassland","grose_broom","48"
"low_producing_grassland","harvested_forest","82"
"low_producing_grassland","herbaceous_freshwater_vege","31"
"low_producing_grassland","high_producing_grassland","36"
"low_producing_grassland","indigenous_forest","12"
"low_producing_grassland","lake_pond","25"
"low_producing_grassland","low_producing_grassland","32"
"low_producing_grassland","manuka_kanuka","20"
"low_producing_grassland","shortrotation_cropland","13"
"low_producing_grassland","urban_build_up","1"
"low_producing_grassland","urban_parkland","12"
"manuka_kanuka","broadleaved_indigenous_hardwood","38"
