"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","63"
"broadleaved_indigenous_hardwood","deciduous_hardwood","21"
"broadleaved_indigenous_hardwood","grose_broom","14"
"broadleaved_indigenous_hardwood","harvested_forest","33"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","17"
"broadleaved_indigenous_hardwood","high_producing_grassland","10"
"broadleaved_indigenous_hardwood","indigenous_forest","67"
"broadleaved_indigenous_hardwood","lake_pond","17"
"broadleaved_indigenous_hardwood","low_producing_grassland","29"
"broadleaved_indigenous_hardwood","manuka_kanuka","44"
"broadleaved_indigenous_hardwood","shortrotation_cropland","4"
"broadleaved_indigenous_hardwood","urban_build_up","8"
"broadleaved_indigenous_hardwood","urban_parkland","7"
"deciduous_hardwood","broadleaved_indigenous_hardwood","13"
"deciduous_hardwood","deciduous_hardwood","121"
"deciduous_hardwood","grose_broom","3"
"deciduous_hardwood","harvested_forest","10"
"deciduous_hardwood","herbaceous_freshwater_vege","22"
"deciduous_hardwood","high_producing_grassland","26"
"deciduous_hardwood","indigenous_forest","35"
"deciduous_hardwood","lake_pond","27"
"deciduous_hardwood","low_producing_grassland","12"
"deciduous_hardwood","manuka_kanuka","11"
"deciduous_hardwood","shortrotation_cropland","30"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","15"
"grose_broom","broadleaved_indigenous_hardwood","38"
"grose_broom","deciduous_hardwood","28"
"grose_broom","grose_broom","60"
"grose_broom","harvested_forest","20"
"grose_broom","herbaceous_freshwater_vege","44"
"grose_broom","high_producing_grassland","18"
"grose_broom","indigenous_forest","26"
"grose_broom","lake_pond","11"
"grose_broom","low_producing_grassland","34"
"grose_broom","manuka_kanuka","34"
"grose_broom","shortrotation_cropland","7"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","8"
"harvested_forest","broadleaved_indigenous_hardwood","10"
"harvested_forest","deciduous_hardwood","9"
"harvested_forest","grose_broom","9"
"harvested_forest","harvested_forest","256"
"harvested_forest","herbaceous_freshwater_vege","10"
"harvested_forest","high_producing_grassland","5"
"harvested_forest","indigenous_forest","6"
"harvested_forest","lake_pond","7"
"harvested_forest","low_producing_grassland","16"
"harvested_forest","manuka_kanuka","2"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","14"
"herbaceous_freshwater_vege","deciduous_hardwood","27"
"herbaceous_freshwater_vege","grose_broom","10"
"herbaceous_freshwater_vege","harvested_forest","22"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","108"
"herbaceous_freshwater_vege","high_producing_grassland","17"
"herbaceous_freshwater_vege","indigenous_forest","14"
"herbaceous_freshwater_vege","lake_pond","59"
"herbaceous_freshwater_vege","low_producing_grassland","16"
"herbaceous_freshwater_vege","manuka_kanuka","17"
"herbaceous_freshwater_vege","shortrotation_cropland","21"
"herbaceous_freshwater_vege","urban_build_up","6"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","10"
"high_producing_grassland","deciduous_hardwood","27"
"high_producing_grassland","grose_broom","8"
"high_producing_grassland","harvested_forest","51"
"high_producing_grassland","herbaceous_freshwater_vege","10"
"high_producing_grassland","high_producing_grassland","68"
"high_producing_grassland","indigenous_forest","19"
"high_producing_grassland","lake_pond","18"
"high_producing_grassland","low_producing_grassland","26"
"high_producing_grassland","manuka_kanuka","19"
"high_producing_grassland","shortrotation_cropland","49"
"high_producing_grassland","urban_build_up","13"
"high_producing_grassland","urban_parkland","16"
"indigenous_forest","broadleaved_indigenous_hardwood","42"
"indigenous_forest","deciduous_hardwood","44"
"indigenous_forest","grose_broom","9"
"indigenous_forest","harvested_forest","12"
"indigenous_forest","herbaceous_freshwater_vege","15"
"indigenous_forest","high_producing_grassland","16"
"indigenous_forest","indigenous_forest","129"
"indigenous_forest","lake_pond","14"
"indigenous_forest","low_producing_grassland","10"
"indigenous_forest","manuka_kanuka","25"
"indigenous_forest","shortrotation_cropland","5"
"indigenous_forest","urban_build_up","3"
"indigenous_forest","urban_parkland","10"
"lake_pond","broadleaved_indigenous_hardwood","6"
"lake_pond","deciduous_hardwood","32"
"lake_pond","grose_broom","4"
"lake_pond","harvested_forest","14"
"lake_pond","herbaceous_freshwater_vege","19"
"lake_pond","high_producing_grassland","6"
"lake_pond","indigenous_forest","11"
"lake_pond","lake_pond","183"
"lake_pond","low_producing_grassland","5"
"lake_pond","manuka_kanuka","9"
"lake_pond","shortrotation_cropland","17"
"lake_pond","urban_build_up","14"
"lake_pond","urban_parkland","14"
"low_producing_grassland","broadleaved_indigenous_hardwood","21"
"low_producing_grassland","deciduous_hardwood","12"
"low_producing_grassland","grose_broom","29"
"low_producing_grassland","harvested_forest","65"
"low_producing_grassland","herbaceous_freshwater_vege","37"
"low_producing_grassland","high_producing_grassland","33"
"low_producing_grassland","indigenous_forest","19"
"low_producing_grassland","lake_pond","12"
"low_producing_grassland","low_producing_grassland","50"
"low_producing_grassland","manuka_kanuka","19"
"low_producing_grassland","shortrotation_cropland","13"
"low_producing_grassland","urban_build_up","9"
"low_producing_grassland","urban_parkland","15"
"manuka_kanuka","broadleaved_indigenous_hardwood","42"
"manuka_kanuka","deciduous_hardwood","23"
"manuka_kanuka","grose_broom","24"
"manuka_kanuka","harvested_forest","15"
"manuka_kanuka","herbaceous_freshwater_vege","30"
"manuka_kanuka","high_producing_grassland","17"
"manuka_kanuka","indigenous_forest","76"
"manuka_kanuka","lake_pond","12"
