"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","96"
"broadleaved_indigenous_hardwood","deciduous_hardwood","40"
"broadleaved_indigenous_hardwood","grose_broom","11"
"broadleaved_indigenous_hardwood","harvested_forest","12"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","20"
"broadleaved_indigenous_hardwood","high_producing_grassland","13"
"broadleaved_indigenous_hardwood","indigenous_forest","72"
"broadleaved_indigenous_hardwood","lake_pond","11"
"broadleaved_indigenous_hardwood","low_producing_grassland","20"
"broadleaved_indigenous_hardwood","manuka_kanuka","31"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","5"
"deciduous_hardwood","deciduous_hardwood","203"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","1"
"deciduous_hardwood","herbaceous_freshwater_vege","39"
"deciduous_hardwood","high_producing_grassland","16"
"deciduous_hardwood","indigenous_forest","12"
"deciduous_hardwood","lake_pond","16"
"deciduous_hardwood","low_producing_grassland","8"
"deciduous_hardwood","manuka_kanuka","5"
"deciduous_hardwood","shortrotation_cropland","16"
"deciduous_hardwood","urban_build_up","4"
"deciduous_hardwood","urban_parkland","4"
"grose_broom","broadleaved_indigenous_hardwood","53"
"grose_broom","deciduous_hardwood","28"
"grose_broom","grose_broom","78"
"grose_broom","harvested_forest","8"
"grose_broom","herbaceous_freshwater_vege","41"
"grose_broom","high_producing_grassland","27"
"grose_broom","indigenous_forest","10"
"grose_broom","lake_pond","11"
"grose_broom","low_producing_grassland","45"
"grose_broom","manuka_kanuka","24"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","5"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","6"
"harvested_forest","harvested_forest","258"
"harvested_forest","herbaceous_freshwater_vege","13"
"harvested_forest","high_producing_grassland","13"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","26"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","6"
"herbaceous_freshwater_vege","deciduous_hardwood","32"
"herbaceous_freshwater_vege","grose_broom","8"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","178"
"herbaceous_freshwater_vege","high_producing_grassland","10"
"herbaceous_freshwater_vege","indigenous_forest","7"
"herbaceous_freshwater_vege","lake_pond","42"
"herbaceous_freshwater_vege","low_producing_grassland","16"
"herbaceous_freshwater_vege","manuka_kanuka","8"
"herbaceous_freshwater_vege","shortrotation_cropland","11"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","2"
"high_producing_grassland","broadleaved_indigenous_hardwood","11"
"high_producing_grassland","deciduous_hardwood","30"
"high_producing_grassland","grose_broom","13"
"high_producing_grassland","harvested_forest","27"
"high_producing_grassland","herbaceous_freshwater_vege","16"
"high_producing_grassland","high_producing_grassland","127"
"high_producing_grassland","indigenous_forest","9"
"high_producing_grassland","lake_pond","4"
"high_producing_grassland","low_producing_grassland","34"
"high_producing_grassland","manuka_kanuka","13"
"high_producing_grassland","shortrotation_cropland","38"
"high_producing_grassland","urban_build_up","7"
