"epoch","brisk-armadillo-1 - _step","brisk-armadillo-1 - _step__MIN","brisk-armadillo-1 - _step__MAX","brisk-armadillo-1 - loss/train","brisk-armadillo-1 - loss/train__MIN","brisk-armadillo-1 - loss/train__MAX","brisk-armadillo-1 - loss/val","brisk-armadillo-1 - loss/val__MIN","brisk-armadillo-1 - loss/val__MAX"
"0","0","0","0","2.535640078565061","2.535640078565061","2.535640078565061","2.449008210910075","2.449008210910075","2.449008210910075"
"1","1","1","1","2.4336258448087253","2.4336258448087253","2.4336258448087253","2.3202989851478497","2.3202989851478497","2.3202989851478497"
"2","2","2","2","2.343918365909052","2.343918365909052","2.343918365909052","2.221776139950324","2.221776139950324","2.221776139950324"
"3","3","3","3","2.263198135178748","2.263198135178748","2.263198135178748","2.1460746376265143","2.1460746376265143","2.1460746376265143"
"4","4","4","4","2.229762327676062","2.229762327676062","2.229762327676062","2.091854103805282","2.091854103805282","2.091854103805282"
"5","5","5","5","2.1666917668615584","2.1666917668615584","2.1666917668615584","2.0539193514688177","2.0539193514688177","2.0539193514688177"
"6","6","6","6","2.1454282784071124","2.1454282784071124","2.1454282784071124","2.029794050657711","2.029794050657711","2.029794050657711"
"7","7","7","7","2.128465443711764","2.128465443711764","2.128465443711764","2.004470467951813","2.004470467951813","2.004470467951813"
"8","8","8","8","2.1003846176134635","2.1003846176134635","2.1003846176134635","1.9807461077911082","1.9807461077911082","1.9807461077911082"
"9","9","9","9","2.060353193728049","2.060353193728049","2.060353193728049","1.9753635134470733","1.9753635134470733","1.9753635134470733"
"10","10","10","10","2.0756776118388744","2.0756776118388744","2.0756776118388744","1.9534189723044264","1.9534189723044264","1.9534189723044264"
"11","11","11","11","2.055729417652581","2.055729417652581","2.055729417652581","1.9417958867983685","1.9417958867983685","1.9417958867983685"
"12","12","12","12","2.029098982368011","2.029098982368011","2.029098982368011","1.9351400177031823","1.9351400177031823","1.9351400177031823"
"13","13","13","13","2.0361422696700866","2.0361422696700866","2.0361422696700866","1.9286299280063834","1.9286299280063834","1.9286299280063834"
"14","14","14","14","2.023122849059536","2.023122849059536","2.023122849059536","1.9237074968947732","1.9237074968947732","1.9237074968947732"
"15","15","15","15","1.99462384975172","1.99462384975172","1.99462384975172","1.921565168961464","1.921565168961464","1.921565168961464"
"16","16","16","16","1.9818663373119745","1.9818663373119745","1.9818663373119745","1.9053985175313295","1.9053985175313295","1.9053985175313295"
"17","17","17","17","1.9746620916628748","1.9746620916628748","1.9746620916628748","1.9127793901804568","1.9127793901804568","1.9127793901804568"
"18","18","18","18","1.973142286768076","1.973142286768076","1.973142286768076","1.8997467529493672","1.8997467529493672","1.8997467529493672"
"19","19","19","19","1.9599645138789046","1.9599645138789046","1.9599645138789046","1.9073719704881456","1.9073719704881456","1.9073719704881456"
"20","20","20","20","1.9400857999676564","1.9400857999676564","1.9400857999676564","1.8956404860148173","1.8956404860148173","1.8956404860148173"
"21","21","21","21","1.918503154972713","1.918503154972713","1.918503154972713","1.8884960610105497","1.8884960610105497","1.8884960610105497"
"22","22","22","22","1.9434875291453133","1.9434875291453133","1.9434875291453133","1.8976895923386077","1.8976895923386077","1.8976895923386077"
"23","23","23","23","1.9342102416176012","1.9342102416176012","1.9342102416176012","1.8937128840476782","1.8937128840476782","1.8937128840476782"
"24","24","24","24","1.9258152832249325","1.9258152832249325","1.9258152832249325","1.8911192957457723","1.8911192957457723","1.8911192957457723"
"25","25","25","25","1.9208622686298717","1.9208622686298717","1.9208622686298717","1.8853874149436722","1.8853874149436722","1.8853874149436722"
"26","26","26","26","1.9000055157572044","1.9000055157572044","1.9000055157572044","1.8868550090183591","1.8868550090183591","1.8868550090183591"
"27","27","27","27","1.8910700783302625","1.8910700783302625","1.8910700783302625","1.889219544165588","1.889219544165588","1.889219544165588"
"28","28","28","28","1.912056342450046","1.912056342450046","1.912056342450046","1.8760055640171003","1.8760055640171003","1.8760055640171003"
"29","29","29","29","1.8650411416022104","1.8650411416022104","1.8650411416022104","1.8821177234412447","1.8821177234412447","1.8821177234412447"
"30","30","30","30","1.867532040602823","1.867532040602823","1.867532040602823","1.8910044879201697","1.8910044879201697","1.8910044879201697"
"31","31","31","31","1.8767846357226121","1.8767846357226121","1.8767846357226121","1.8956557855469902","1.8956557855469902","1.8956557855469902"
"32","32","32","32","1.8598004445753062","1.8598004445753062","1.8598004445753062","1.881488005063985","1.881488005063985","1.881488005063985"
"33","33","33","33","1.836215063823076","1.836215063823076","1.836215063823076","1.8819977869256088","1.8819977869256088","1.8819977869256088"
"34","34","34","34","1.8673104334398698","1.8673104334398698","1.8673104334398698","1.873428160778557","1.873428160778557","1.873428160778557"
"35","35","35","35","1.8469140877890056","1.8469140877890056","1.8469140877890056","1.8759211696056328","1.8759211696056328","1.8759211696056328"
"36","36","36","36","1.8376449141596585","1.8376449141596585","1.8376449141596585","1.8858518116158969","1.8858518116158969","1.8858518116158969"
"37","37","37","37","1.8139832269348684","1.8139832269348684","1.8139832269348684","1.8855936331224024","1.8855936331224024","1.8855936331224024"
"38","38","38","38","1.8094911922071601","1.8094911922071601","1.8094911922071601","1.8940551339179785","1.8940551339179785","1.8940551339179785"
"39","39","39","39","1.820674977116146","1.820674977116146","1.820674977116146","1.890377666806362","1.890377666806362","1.890377666806362"
"40","40","40","40","1.8007403827605502","1.8007403827605502","1.8007403827605502","1.8771123738949993","1.8771123738949993","1.8771123738949993"
"41","41","41","41","1.8074993169222524","1.8074993169222524","1.8074993169222524","1.8958953638221745","1.8958953638221745","1.8958953638221745"
"42","42","42","42","1.7812524357479427","1.7812524357479427","1.7812524357479427","1.8818909665067753","1.8818909665067753","1.8818909665067753"
"43","43","43","43","1.798447897876196","1.798447897876196","1.798447897876196","1.8813747633222828","1.8813747633222828","1.8813747633222828"
"44","44","44","44","1.801954201661824","1.801954201661824","1.801954201661824","1.8800373738507201","1.8800373738507201","1.8800373738507201"
"45","45","45","45","1.7623933555198947","1.7623933555198947","1.7623933555198947","1.8799830978227507","1.8799830978227507","1.8799830978227507"
"46","46","46","46","1.7647894514163236","1.7647894514163236","1.7647894514163236","1.899495445710072","1.899495445710072","1.899495445710072"
"47","47","47","47","1.7668148568820032","1.7668148568820032","1.7668148568820032","1.8983997906039576","1.8983997906039576","1.8983997906039576"
"48","48","48","48","1.7602633796553995","1.7602633796553995","1.7602633796553995","1.8877876470957633","1.8877876470957633","1.8877876470957633"
"49","49","49","49","1.7592953275662102","1.7592953275662102","1.7592953275662102","1.8888065806186347","1.8888065806186347","1.8888065806186347"
