"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","80"
"broadleaved_indigenous_hardwood","deciduous_hardwood","23"
"broadleaved_indigenous_hardwood","grose_broom","26"
"broadleaved_indigenous_hardwood","harvested_forest","19"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","15"
"broadleaved_indigenous_hardwood","high_producing_grassland","11"
"broadleaved_indigenous_hardwood","indigenous_forest","84"
"broadleaved_indigenous_hardwood","lake_pond","4"
"broadleaved_indigenous_hardwood","low_producing_grassland","23"
"broadleaved_indigenous_hardwood","manuka_kanuka","41"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","7"
"broadleaved_indigenous_hardwood","urban_parkland","0"
"deciduous_hardwood","broadleaved_indigenous_hardwood","16"
"deciduous_hardwood","deciduous_hardwood","186"
"deciduous_hardwood","grose_broom","3"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","23"
"deciduous_hardwood","high_producing_grassland","13"
"deciduous_hardwood","indigenous_forest","26"
"deciduous_hardwood","lake_pond","16"
"deciduous_hardwood","low_producing_grassland","12"
"deciduous_hardwood","manuka_kanuka","11"
"deciduous_hardwood","shortrotation_cropland","13"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","3"
"grose_broom","broadleaved_indigenous_hardwood","40"
"grose_broom","deciduous_hardwood","25"
"grose_broom","grose_broom","117"
"grose_broom","harvested_forest","7"
"grose_broom","herbaceous_freshwater_vege","17"
"grose_broom","high_producing_grassland","27"
"grose_broom","indigenous_forest","25"
"grose_broom","lake_pond","7"
"grose_broom","low_producing_grassland","33"
"grose_broom","manuka_kanuka","28"
"grose_broom","shortrotation_cropland","3"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","6"
"harvested_forest","grose_broom","5"
"harvested_forest","harvested_forest","275"
"harvested_forest","herbaceous_freshwater_vege","5"
"harvested_forest","high_producing_grassland","16"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","18"
"harvested_forest","manuka_kanuka","1"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","16"
"herbaceous_freshwater_vege","deciduous_hardwood","39"
"herbaceous_freshwater_vege","grose_broom","26"
"herbaceous_freshwater_vege","harvested_forest","14"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","160"
"herbaceous_freshwater_vege","high_producing_grassland","12"
"herbaceous_freshwater_vege","indigenous_forest","8"
"herbaceous_freshwater_vege","lake_pond","33"
"herbaceous_freshwater_vege","low_producing_grassland","7"
"herbaceous_freshwater_vege","manuka_kanuka","9"
"herbaceous_freshwater_vege","shortrotation_cropland","9"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","1"
"high_producing_grassland","broadleaved_indigenous_hardwood","10"
"high_producing_grassland","deciduous_hardwood","23"
"high_producing_grassland","grose_broom","21"
"high_producing_grassland","harvested_forest","34"
"high_producing_grassland","herbaceous_freshwater_vege","9"
"high_producing_grassland","high_producing_grassland","116"
"high_producing_grassland","indigenous_forest","10"
"high_producing_grassland","lake_pond","2"
"high_producing_grassland","low_producing_grassland","29"
"high_producing_grassland","manuka_kanuka","15"
"high_producing_grassland","shortrotation_cropland","47"
"high_producing_grassland","urban_build_up","14"
"high_producing_grassland","urban_parkland","4"
"indigenous_forest","broadleaved_indigenous_hardwood","41"
"indigenous_forest","deciduous_hardwood","22"
"indigenous_forest","grose_broom","11"
"indigenous_forest","harvested_forest","4"
