"epoch","woven-armadillo-1 - _step","woven-armadillo-1 - _step__MIN","woven-armadillo-1 - _step__MAX","woven-armadillo-1 - loss/train","woven-armadillo-1 - loss/train__MIN","woven-armadillo-1 - loss/train__MAX","woven-armadillo-1 - loss/val","woven-armadillo-1 - loss/val__MIN","woven-armadillo-1 - loss/val__MAX"
"0","0","0","0","2.166759629975458","2.166759629975458","2.166759629975458","2.1401262606195126","2.1401262606195126","2.1401262606195126"
"1","1","1","1","1.8414130567210076","1.8414130567210076","1.8414130567210076","2.069605352635869","2.069605352635869","2.069605352635869"
"2","2","2","2","1.7525469652635448","1.7525469652635448","1.7525469652635448","2.0193644996504254","2.0193644996504254","2.0193644996504254"
"3","3","3","3","1.7203232034245715","1.7203232034245715","1.7203232034245715","2.004107531288811","2.004107531288811","2.004107531288811"
"4","4","4","4","1.7044438163632194","1.7044438163632194","1.7044438163632194","1.9713664568826823","1.9713664568826823","1.9713664568826823"
"5","5","5","5","1.6748444815104981","1.6748444815104981","1.6748444815104981","1.9738779689572694","1.9738779689572694","1.9738779689572694"
"6","6","6","6","1.6454905315865322","1.6454905315865322","1.6454905315865322","1.9640422979844214","1.9640422979844214","1.9640422979844214"
"7","7","7","7","1.6516988054382578","1.6516988054382578","1.6516988054382578","1.957332194922213","1.957332194922213","1.957332194922213"
"8","8","8","8","1.6451234406096524","1.6451234406096524","1.6451234406096524","1.9597089249985606","1.9597089249985606","1.9597089249985606"
"9","9","9","9","1.645446946368148","1.645446946368148","1.645446946368148","1.9432617988744567","1.9432617988744567","1.9432617988744567"
"10","10","10","10","1.6304935700735337","1.6304935700735337","1.6304935700735337","1.93181842930687","1.93181842930687","1.93181842930687"
"11","11","11","11","1.6235961941049126","1.6235961941049126","1.6235961941049126","1.9225118103141556","1.9225118103141556","1.9225118103141556"
"12","12","12","12","1.614894653143192","1.614894653143192","1.614894653143192","1.9358664307381248","1.9358664307381248","1.9358664307381248"
"13","13","13","13","1.6057531793168742","1.6057531793168742","1.6057531793168742","1.9161918041399688","1.9161918041399688","1.9161918041399688"
"14","14","14","14","1.6083411458569052","1.6083411458569052","1.6083411458569052","1.9205730848738478","1.9205730848738478","1.9205730848738478"
"15","15","15","15","1.6183930145562397","1.6183930145562397","1.6183930145562397","1.917272313900776","1.917272313900776","1.917272313900776"
"16","16","16","16","1.599099692143973","1.599099692143973","1.599099692143973","1.9137759020887504","1.9137759020887504","1.9137759020887504"
"17","17","17","17","1.603658664802063","1.603658664802063","1.603658664802063","1.913546576087017","1.913546576087017","1.913546576087017"
"18","18","18","18","1.612161756470562","1.612161756470562","1.612161756470562","1.9300436635876186","1.9300436635876186","1.9300436635876186"
"19","19","19","19","1.6003601094486257","1.6003601094486257","1.6003601094486257","1.9121980423863612","1.9121980423863612","1.9121980423863612"
"20","20","20","20","1.5836532892765585","1.5836532892765585","1.5836532892765585","1.9016244239600668","1.9016244239600668","1.9016244239600668"
"21","21","21","21","1.5892821075900319","1.5892821075900319","1.5892821075900319","1.9254441190457794","1.9254441190457794","1.9254441190457794"
"22","22","22","22","1.5979849397241175","1.5979849397241175","1.5979849397241175","1.9022409975775811","1.9022409975775811","1.9022409975775811"
"23","23","23","23","1.5918519902818609","1.5918519902818609","1.5918519902818609","1.9116615039969522","1.9116615039969522","1.9116615039969522"
"24","24","24","24","1.6133833181557906","1.6133833181557906","1.6133833181557906","1.913630759315192","1.913630759315192","1.913630759315192"
"25","25","25","25","1.55516735997699","1.55516735997699","1.55516735997699","1.9066106831626592","1.9066106831626592","1.9066106831626592"
"26","26","26","26","1.571999730400743","1.571999730400743","1.571999730400743","1.8966418922578943","1.8966418922578943","1.8966418922578943"
"27","27","27","27","1.5850789959614093","1.5850789959614093","1.5850789959614093","1.8984482850088387","1.8984482850088387","1.8984482850088387"
"28","28","28","28","1.6173984871144163","1.6173984871144163","1.6173984871144163","1.9069030301903647","1.9069030301903647","1.9069030301903647"
"29","29","29","29","1.5686222988123375","1.5686222988123375","1.5686222988123375","1.895901409836202","1.895901409836202","1.895901409836202"
"30","30","30","30","1.571987131501654","1.571987131501654","1.571987131501654","1.9006325497379066","1.9006325497379066","1.9006325497379066"
