"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","68"
"broadleaved_indigenous_hardwood","deciduous_hardwood","19"
"broadleaved_indigenous_hardwood","grose_broom","14"
"broadleaved_indigenous_hardwood","harvested_forest","33"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","15"
"broadleaved_indigenous_hardwood","high_producing_grassland","23"
"broadleaved_indigenous_hardwood","indigenous_forest","72"
"broadleaved_indigenous_hardwood","lake_pond","9"
"broadleaved_indigenous_hardwood","low_producing_grassland","27"
"broadleaved_indigenous_hardwood","manuka_kanuka","40"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","7"
"broadleaved_indigenous_hardwood","urban_parkland","6"
"deciduous_hardwood","broadleaved_indigenous_hardwood","11"
"deciduous_hardwood","deciduous_hardwood","92"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","13"
"deciduous_hardwood","herbaceous_freshwater_vege","20"
"deciduous_hardwood","high_producing_grassland","29"
"deciduous_hardwood","indigenous_forest","51"
"deciduous_hardwood","lake_pond","36"
"deciduous_hardwood","low_producing_grassland","20"
"deciduous_hardwood","manuka_kanuka","14"
"deciduous_hardwood","shortrotation_cropland","13"
"deciduous_hardwood","urban_build_up","10"
"deciduous_hardwood","urban_parkland","19"
"grose_broom","broadleaved_indigenous_hardwood","33"
"grose_broom","deciduous_hardwood","19"
"grose_broom","grose_broom","53"
"grose_broom","harvested_forest","26"
"grose_broom","herbaceous_freshwater_vege","29"
"grose_broom","high_producing_grassland","30"
"grose_broom","indigenous_forest","30"
"grose_broom","lake_pond","15"
"grose_broom","low_producing_grassland","43"
"grose_broom","manuka_kanuka","37"
"grose_broom","shortrotation_cropland","6"
"grose_broom","urban_build_up","8"
"grose_broom","urban_parkland","5"
"harvested_forest","broadleaved_indigenous_hardwood","10"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","12"
"harvested_forest","harvested_forest","246"
"harvested_forest","herbaceous_freshwater_vege","8"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","5"
"harvested_forest","lake_pond","5"
"harvested_forest","low_producing_grassland","21"
"harvested_forest","manuka_kanuka","6"
"harvested_forest","shortrotation_cropland","3"
"harvested_forest","urban_build_up","3"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","18"
"herbaceous_freshwater_vege","deciduous_hardwood","17"
"herbaceous_freshwater_vege","grose_broom","20"
"herbaceous_freshwater_vege","harvested_forest","28"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","88"
"herbaceous_freshwater_vege","high_producing_grassland","27"
"herbaceous_freshwater_vege","indigenous_forest","21"
"herbaceous_freshwater_vege","lake_pond","51"
"herbaceous_freshwater_vege","low_producing_grassland","22"
"herbaceous_freshwater_vege","manuka_kanuka","16"
"herbaceous_freshwater_vege","shortrotation_cropland","14"
"herbaceous_freshwater_vege","urban_build_up","4"
"herbaceous_freshwater_vege","urban_parkland","8"
"high_producing_grassland","broadleaved_indigenous_hardwood","15"
"high_producing_grassland","deciduous_hardwood","21"
"high_producing_grassland","grose_broom","12"
"high_producing_grassland","harvested_forest","52"
"high_producing_grassland","herbaceous_freshwater_vege","15"
"high_producing_grassland","high_producing_grassland","74"
"high_producing_grassland","indigenous_forest","20"
"high_producing_grassland","lake_pond","25"
"high_producing_grassland","low_producing_grassland","38"
"high_producing_grassland","manuka_kanuka","18"
"high_producing_grassland","shortrotation_cropland","26"
"high_producing_grassland","urban_build_up","10"
"high_producing_grassland","urban_parkland","8"
"indigenous_forest","broadleaved_indigenous_hardwood","41"
"indigenous_forest","deciduous_hardwood","16"
"indigenous_forest","grose_broom","11"
"indigenous_forest","harvested_forest","14"
"indigenous_forest","herbaceous_freshwater_vege","10"
"indigenous_forest","high_producing_grassland","22"
"indigenous_forest","indigenous_forest","140"
"indigenous_forest","lake_pond","12"
"indigenous_forest","low_producing_grassland","17"
"indigenous_forest","manuka_kanuka","34"
"indigenous_forest","shortrotation_cropland","3"
"indigenous_forest","urban_build_up","4"
"indigenous_forest","urban_parkland","10"
"lake_pond","broadleaved_indigenous_hardwood","5"
"lake_pond","deciduous_hardwood","27"
"lake_pond","grose_broom","11"
"lake_pond","harvested_forest","17"
"lake_pond","herbaceous_freshwater_vege","25"
"lake_pond","high_producing_grassland","21"
"lake_pond","indigenous_forest","8"
"lake_pond","lake_pond","146"
"lake_pond","low_producing_grassland","16"
"lake_pond","manuka_kanuka","9"
"lake_pond","shortrotation_cropland","19"
"lake_pond","urban_build_up","21"
"lake_pond","urban_parkland","9"
"low_producing_grassland","broadleaved_indigenous_hardwood","19"
"low_producing_grassland","deciduous_hardwood","13"
"low_producing_grassland","grose_broom","35"
"low_producing_grassland","harvested_forest","58"
"low_producing_grassland","herbaceous_freshwater_vege","26"
"low_producing_grassland","high_producing_grassland","43"
"low_producing_grassland","indigenous_forest","6"
"low_producing_grassland","lake_pond","20"
"low_producing_grassland","low_producing_grassland","58"
"low_producing_grassland","manuka_kanuka","34"
"low_producing_grassland","shortrotation_cropland","10"
"low_producing_grassland","urban_build_up","3"
"low_producing_grassland","urban_parkland","9"
"manuka_kanuka","broadleaved_indigenous_hardwood","36"
"manuka_kanuka","deciduous_hardwood","15"
"manuka_kanuka","grose_broom","28"
"manuka_kanuka","harvested_forest","27"
"manuka_kanuka","herbaceous_freshwater_vege","22"
"manuka_kanuka","high_producing_grassland","22"
"manuka_kanuka","indigenous_forest","60"
"manuka_kanuka","lake_pond","8"
"manuka_kanuka","low_producing_grassland","37"
"manuka_kanuka","manuka_kanuka","71"
"manuka_kanuka","shortrotation_cropland","3"
"manuka_kanuka","urban_build_up","3"
"manuka_kanuka","urban_parkland","2"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","14"
"shortrotation_cropland","grose_broom","4"
"shortrotation_cropland","harvested_forest","13"
"shortrotation_cropland","herbaceous_freshwater_vege","4"
