"epoch","different-valley-1 - _step","different-valley-1 - _step__MIN","different-valley-1 - _step__MAX","different-valley-1 - loss/train","different-valley-1 - loss/train__MIN","different-valley-1 - loss/train__MAX","different-valley-1 - loss/val","different-valley-1 - loss/val__MIN","different-valley-1 - loss/val__MAX"
"0","0","0","0","2.123174134326248","2.123174134326248","2.123174134326248","2.118437073737012","2.118437073737012","2.118437073737012"
"1","1","1","1","1.8307347330969193","1.8307347330969193","1.8307347330969193","2.0250938783203716","2.0250938783203716","2.0250938783203716"
"2","2","2","2","1.7484353151827778","1.7484353151827778","1.7484353151827778","1.9871934428845393","1.9871934428845393","1.9871934428845393"
"3","3","3","3","1.7334999234276998","1.7334999234276998","1.7334999234276998","1.9603078116584296","1.9603078116584296","1.9603078116584296"
"4","4","4","4","1.717660305105074","1.717660305105074","1.717660305105074","1.9465040683965977","1.9465040683965977","1.9465040683965977"
"5","5","5","5","1.706867889296755","1.706867889296755","1.706867889296755","1.9376074823021943","1.9376074823021943","1.9376074823021943"
"6","6","6","6","1.6818926338298836","1.6818926338298836","1.6818926338298836","1.921053116028345","1.921053116028345","1.921053116028345"
"7","7","7","7","1.6664270727960337","1.6664270727960337","1.6664270727960337","1.9270095570962695","1.9270095570962695","1.9270095570962695"
"8","8","8","8","1.6544655302876723","1.6544655302876723","1.6544655302876723","1.9123436085697914","1.9123436085697914","1.9123436085697914"
"9","9","9","9","1.6366003595902419","1.6366003595902419","1.6366003595902419","1.9096390361996742","1.9096390361996742","1.9096390361996742"
"10","10","10","10","1.6327645567955393","1.6327645567955393","1.6327645567955393","1.9110680207411082","1.9110680207411082","1.9110680207411082"
"11","11","11","11","1.617043929911987","1.617043929911987","1.617043929911987","1.9062188722086852","1.9062188722086852","1.9062188722086852"
"12","12","12","12","1.5820365333699147","1.5820365333699147","1.5820365333699147","1.9097031402675746","1.9097031402675746","1.9097031402675746"
"13","13","13","13","1.5826289358111614","1.5826289358111614","1.5826289358111614","1.911988662882699","1.911988662882699","1.911988662882699"
"14","14","14","14","1.5986135468243499","1.5986135468243499","1.5986135468243499","1.909449410295772","1.909449410295772","1.909449410295772"
"15","15","15","15","1.580924502385768","1.580924502385768","1.580924502385768","1.9198380753171438","1.9198380753171438","1.9198380753171438"
"16","16","16","16","1.5730617456738802","1.5730617456738802","1.5730617456738802","1.9268909381425419","1.9268909381425419","1.9268909381425419"
"17","17","17","17","1.5488660941810055","1.5488660941810055","1.5488660941810055","1.923208889462661","1.923208889462661","1.923208889462661"
"18","18","18","18","1.5483423905339808","1.5483423905339808","1.5483423905339808","1.9260904276662025","1.9260904276662025","1.9260904276662025"
"19","19","19","19","1.5521851682535637","1.5521851682535637","1.5521851682535637","1.9305404549312724","1.9305404549312724","1.9305404549312724"
"20","20","20","20","1.5375717900256498","1.5375717900256498","1.5375717900256498","1.9404434872244647","1.9404434872244647","1.9404434872244647"
"21","21","21","21","1.5492937335784864","1.5492937335784864","1.5492937335784864","1.9511033676561262","1.9511033676561262","1.9511033676561262"
"22","22","22","22","1.5113471993874068","1.5113471993874068","1.5113471993874068","1.9566124322940435","1.9566124322940435","1.9566124322940435"
"23","23","23","23","1.5179871881694975","1.5179871881694975","1.5179871881694975","1.9546470419155844","1.9546470419155844","1.9546470419155844"
