"epoch","twilight-microwave-1 - _step","twilight-microwave-1 - _step__MIN","twilight-microwave-1 - _step__MAX","twilight-microwave-1 - loss/train","twilight-microwave-1 - loss/train__MIN","twilight-microwave-1 - loss/train__MAX","twilight-microwave-1 - loss/val","twilight-microwave-1 - loss/val__MIN","twilight-microwave-1 - loss/val__MAX"
"0","0","0","0","2.1183114719547578","2.1183114719547578","2.1183114719547578","2.1316494020873202","2.1316494020873202","2.1316494020873202"
"1","1","1","1","1.7754055183134836","1.7754055183134836","1.7754055183134836","2.0505104225278177","2.0505104225278177","2.0505104225278177"
"2","2","2","2","1.689302157655418","1.689302157655418","1.689302157655418","2.010483898747522","2.010483898747522","2.010483898747522"
"3","3","3","3","1.6470602271345542","1.6470602271345542","1.6470602271345542","1.9926985883866517","1.9926985883866517","1.9926985883866517"
"4","4","4","4","1.6255661048376917","1.6255661048376917","1.6255661048376917","1.9839365257199928","1.9839365257199928","1.9839365257199928"
"5","5","5","5","1.5966941344734333","1.5966941344734333","1.5966941344734333","1.963414319096376","1.963414319096376","1.963414319096376"
"6","6","6","6","1.6083488834826158","1.6083488834826158","1.6083488834826158","1.9591113509038032","1.9591113509038032","1.9591113509038032"
"7","7","7","7","1.5836864278352492","1.5836864278352492","1.5836864278352492","1.9681793714876497","1.9681793714876497","1.9681793714876497"
"8","8","8","8","1.5820710606137696","1.5820710606137696","1.5820710606137696","1.953979808742799","1.953979808742799","1.953979808742799"
"9","9","9","9","1.5589429871360416","1.5589429871360416","1.5589429871360416","1.946301629278639","1.946301629278639","1.946301629278639"
"10","10","10","10","1.558389311945021","1.558389311945021","1.558389311945021","1.9410821482202854","1.9410821482202854","1.9410821482202854"
"11","11","11","11","1.5470178158753116","1.5470178158753116","1.5470178158753116","1.9280140481199444","1.9280140481199444","1.9280140481199444"
"12","12","12","12","1.576337262616212","1.576337262616212","1.576337262616212","1.9395136574565512","1.9395136574565512","1.9395136574565512"
"13","13","13","13","1.5738588368805746","1.5738588368805746","1.5738588368805746","1.9283493211443992","1.9283493211443992","1.9283493211443992"
"14","14","14","14","1.5489084939025224","1.5489084939025224","1.5489084939025224","1.9290318166204774","1.9290318166204774","1.9290318166204774"
"15","15","15","15","1.5594459677104944","1.5594459677104944","1.5594459677104944","1.9479303593352224","1.9479303593352224","1.9479303593352224"
"16","16","16","16","1.5201358576997221","1.5201358576997221","1.5201358576997221","1.934794418716255","1.934794418716255","1.934794418716255"
"17","17","17","17","1.5558065768689777","1.5558065768689777","1.5558065768689777","1.9235444475790697","1.9235444475790697","1.9235444475790697"
"18","18","18","18","1.548253246507961","1.548253246507961","1.548253246507961","1.9189553458478692","1.9189553458478692","1.9189553458478692"
"19","19","19","19","1.5440003777769689","1.5440003777769689","1.5440003777769689","1.9204017516930825","1.9204017516930825","1.9204017516930825"
"20","20","20","20","1.5128753165193831","1.5128753165193831","1.5128753165193831","1.9171994892697575","1.9171994892697575","1.9171994892697575"
"21","21","21","21","1.5311379895093225","1.5311379895093225","1.5311379895093225","1.9180013900635595","1.9180013900635595","1.9180013900635595"
"22","22","22","22","1.5575569431015608","1.5575569431015608","1.5575569431015608","1.911790418218545","1.911790418218545","1.911790418218545"
"23","23","23","23","1.5338370549405786","1.5338370549405786","1.5338370549405786","1.9301479202105338","1.9301479202105338","1.9301479202105338"
"24","24","24","24","1.5357805574357761","1.5357805574357761","1.5357805574357761","1.9103966408311799","1.9103966408311799","1.9103966408311799"
"25","25","25","25","1.499025640209022","1.499025640209022","1.499025640209022","1.9187331761373787","1.9187331761373787","1.9187331761373787"
"26","26","26","26","1.527211891095276","1.527211891095276","1.527211891095276","1.91268002970435","1.91268002970435","1.91268002970435"
"27","27","27","27","1.5243712837867232","1.5243712837867232","1.5243712837867232","1.9155670828887363","1.9155670828887363","1.9155670828887363"
"28","28","28","28","1.541717715285159","1.541717715285159","1.541717715285159","1.9057848378844329","1.9057848378844329","1.9057848378844329"
"29","29","29","29","1.5340190382724648","1.5340190382724648","1.5340190382724648","1.9144355143231218","1.9144355143231218","1.9144355143231218"
"30","30","30","30","1.531161653630675","1.531161653630675","1.531161653630675","1.9274518211993794","1.9274518211993794","1.9274518211993794"
"31","31","31","31","1.5290537274837543","1.5290537274837543","1.5290537274837543","1.9092571226916848","1.9092571226916848","1.9092571226916848"
"32","32","32","32","1.5201450204339937","1.5201450204339937","1.5201450204339937","1.9157313605927477","1.9157313605927477","1.9157313605927477"
"33","33","33","33","1.4950760242397123","1.4950760242397123","1.4950760242397123","1.9167900615329294","1.9167900615329294","1.9167900615329294"
"34","34","34","34","1.5371125760087734","1.5371125760087734","1.5371125760087734","1.908672149749134","1.908672149749134","1.908672149749134"
