"epoch","misunderstood-moon-1 - _step","misunderstood-moon-1 - _step__MIN","misunderstood-moon-1 - _step__MAX","misunderstood-moon-1 - loss/train","misunderstood-moon-1 - loss/train__MIN","misunderstood-moon-1 - loss/train__MAX","misunderstood-moon-1 - loss/val","misunderstood-moon-1 - loss/val__MIN","misunderstood-moon-1 - loss/val__MAX"
"0","0","0","0","2.3678483980647207","2.3678483980647207","2.3678483980647207","2.186230378785698","2.186230378785698","2.186230378785698"
"1","1","1","1","2.152385310661158","2.152385310661158","2.152385310661158","2.0497228759930795","2.0497228759930795","2.0497228759930795"
"2","2","2","2","2.0769722384108595","2.0769722384108595","2.0769722384108595","1.986511877032262","1.986511877032262","1.986511877032262"
"3","3","3","3","2.014316742942178","2.014316742942178","2.014316742942178","1.9470347398879175","1.9470347398879175","1.9470347398879175"
"4","4","4","4","1.9772889885676683","1.9772889885676683","1.9772889885676683","1.9224650462834532","1.9224650462834532","1.9224650462834532"
"5","5","5","5","1.9464874066544708","1.9464874066544708","1.9464874066544708","1.907127587436147","1.907127587436147","1.907127587436147"
"6","6","6","6","1.93185156548517","1.93185156548517","1.93185156548517","1.8878540643510155","1.8878540643510155","1.8878540643510155"
"7","7","7","7","1.9639386926176985","1.9639386926176985","1.9639386926176985","1.896522771263386","1.896522771263386","1.896522771263386"
"8","8","8","8","1.9140431256689263","1.9140431256689263","1.9140431256689263","1.8782847972028214","1.8782847972028214","1.8782847972028214"
"9","9","9","9","1.9287438470231006","1.9287438470231006","1.9287438470231006","1.8875554850001535","1.8875554850001535","1.8875554850001535"
"10","10","10","10","1.9042630301424737","1.9042630301424737","1.9042630301424737","1.864588034422043","1.864588034422043","1.864588034422043"
"11","11","11","11","1.9104309297172275","1.9104309297172275","1.9104309297172275","1.8755124980323823","1.8755124980323823","1.8755124980323823"
"12","12","12","12","1.932475387344699","1.932475387344699","1.932475387344699","1.8635495476654629","1.8635495476654629","1.8635495476654629"
"13","13","13","13","1.8916844073131944","1.8916844073131944","1.8916844073131944","1.85904841525167","1.85904841525167","1.85904841525167"
"14","14","14","14","1.8965388652841015","1.8965388652841015","1.8965388652841015","1.8691043263478853","1.8691043263478853","1.8691043263478853"
"15","15","15","15","1.8891419204029105","1.8891419204029105","1.8891419204029105","1.8515945551638118","1.8515945551638118","1.8515945551638118"
"16","16","16","16","1.8919629250052412","1.8919629250052412","1.8919629250052412","1.851915221563521","1.851915221563521","1.851915221563521"
"17","17","17","17","1.913832643681024","1.913832643681024","1.913832643681024","1.8577992169882285","1.8577992169882285","1.8577992169882285"
"18","18","18","18","1.890946313121615","1.890946313121615","1.890946313121615","1.8551649572881121","1.8551649572881121","1.8551649572881121"
"19","19","19","19","1.877340632430195","1.877340632430195","1.877340632430195","1.8506550590654827","1.8506550590654827","1.8506550590654827"
"20","20","20","20","1.8757758278113146","1.8757758278113146","1.8757758278113146","1.8433193452673429","1.8433193452673429","1.8433193452673429"
"21","21","21","21","1.9034196409953417","1.9034196409953417","1.9034196409953417","1.849247236836072","1.849247236836072","1.849247236836072"
"22","22","22","22","1.8675729039858078","1.8675729039858078","1.8675729039858078","1.8353408012781094","1.8353408012781094","1.8353408012781094"
"23","23","23","23","1.8784445686453193","1.8784445686453193","1.8784445686453193","1.8427699937187874","1.8427699937187874","1.8427699937187874"
"24","24","24","24","1.859779516973439","1.859779516973439","1.859779516973439","1.8377962927288967","1.8377962927288967","1.8377962927288967"
"25","25","25","25","1.8544335460521766","1.8544335460521766","1.8544335460521766","1.8420374801992436","1.8420374801992436","1.8420374801992436"
"26","26","26","26","1.842261984856171","1.842261984856171","1.842261984856171","1.8370582089891965","1.8370582089891965","1.8370582089891965"
"27","27","27","27","1.856710276660129","1.856710276660129","1.856710276660129","1.8423410096183892","1.8423410096183892","1.8423410096183892"
"28","28","28","28","1.8382725708583403","1.8382725708583403","1.8382725708583403","1.8437912134133634","1.8437912134133634","1.8437912134133634"
"29","29","29","29","1.8426285788152346","1.8426285788152346","1.8426285788152346","1.8387656131135544","1.8387656131135544","1.8387656131135544"
"30","30","30","30","1.862176925120269","1.862176925120269","1.862176925120269","1.8444335198742845","1.8444335198742845","1.8444335198742845"
