"epoch","eager-mountain-1 - _step","eager-mountain-1 - _step__MIN","eager-mountain-1 - _step__MAX","eager-mountain-1 - loss/train","eager-mountain-1 - loss/train__MIN","eager-mountain-1 - loss/train__MAX","eager-mountain-1 - loss/val","eager-mountain-1 - loss/val__MIN","eager-mountain-1 - loss/val__MAX"
"0","0","0","0","2.3194018814867947","2.3194018814867947","2.3194018814867947","2.1562716752249544","2.1562716752249544","2.1562716752249544"
"1","1","1","1","2.04858352296795","2.04858352296795","2.04858352296795","2.0400039572037074","2.0400039572037074","2.0400039572037074"
"2","2","2","2","1.9735981621679464","1.9735981621679464","1.9735981621679464","1.9913334242488205","1.9913334242488205","1.9913334242488205"
"3","3","3","3","1.918786127278883","1.918786127278883","1.918786127278883","1.9736908462837182","1.9736908462837182","1.9736908462837182"
"4","4","4","4","1.9085210527697767","1.9085210527697767","1.9085210527697767","1.9496363807196773","1.9496363807196773","1.9496363807196773"
"5","5","5","5","1.8583363436235332","1.8583363436235332","1.8583363436235332","1.9315662835392189","1.9315662835392189","1.9315662835392189"
"6","6","6","6","1.8219593038659563","1.8219593038659563","1.8219593038659563","1.9185398415671358","1.9185398415671358","1.9185398415671358"
"7","7","7","7","1.8210339714732338","1.8210339714732338","1.8210339714732338","1.9188943312828137","1.9188943312828137","1.9188943312828137"
"8","8","8","8","1.817699731263698","1.817699731263698","1.817699731263698","1.9094676107703568","1.9094676107703568","1.9094676107703568"
"9","9","9","9","1.7768106413023423","1.7768106413023423","1.7768106413023423","1.9070945388981957","1.9070945388981957","1.9070945388981957"
"10","10","10","10","1.7874885403440797","1.7874885403440797","1.7874885403440797","1.9013310930576264","1.9013310930576264","1.9013310930576264"
"11","11","11","11","1.7678587393350558","1.7678587393350558","1.7678587393350558","1.903676777597618","1.903676777597618","1.903676777597618"
"12","12","12","12","1.754399638680082","1.754399638680082","1.754399638680082","1.9002601488676558","1.9002601488676558","1.9002601488676558"
"13","13","13","13","1.7432022187986467","1.7432022187986467","1.7432022187986467","1.903363363746123","1.903363363746123","1.903363363746123"
"14","14","14","14","1.7262024657228963","1.7262024657228963","1.7262024657228963","1.9041461903946788","1.9041461903946788","1.9041461903946788"
"15","15","15","15","1.6935247706147956","1.6935247706147956","1.6935247706147956","1.9032424251805906","1.9032424251805906","1.9032424251805906"
"16","16","16","16","1.7306534757310859","1.7306534757310859","1.7306534757310859","1.9088561943410893","1.9088561943410893","1.9088561943410893"
"17","17","17","17","1.6602733642645389","1.6602733642645389","1.6602733642645389","1.910648355062301","1.910648355062301","1.910648355062301"
"18","18","18","18","1.7064738737900722","1.7064738737900722","1.7064738737900722","1.9217960138246246","1.9217960138246246","1.9217960138246246"
"19","19","19","19","1.6648363488058464","1.6648363488058464","1.6648363488058464","1.9096175590345574","1.9096175590345574","1.9096175590345574"
"20","20","20","20","1.6687290521437974","1.6687290521437974","1.6687290521437974","1.913104989132207","1.913104989132207","1.913104989132207"
"21","21","21","21","1.675879807296724","1.675879807296724","1.675879807296724","1.9243309243051536","1.9243309243051536","1.9243309243051536"
"22","22","22","22","1.6377721446357387","1.6377721446357387","1.6377721446357387","1.9343936112222448","1.9343936112222448","1.9343936112222448"
"23","23","23","23","1.6579150978059594","1.6579150978059594","1.6579150978059594","1.9305942803140832","1.9305942803140832","1.9305942803140832"
"24","24","24","24","1.6308973572532675","1.6308973572532675","1.6308973572532675","1.927704342550421","1.927704342550421","1.927704342550421"
"25","25","25","25","1.6277567265793202","1.6277567265793202","1.6277567265793202","1.9324272642043372","1.9324272642043372","1.9324272642043372"
"26","26","26","26","1.6103803552747407","1.6103803552747407","1.6103803552747407","1.9417102681717417","1.9417102681717417","1.9417102681717417"
"27","27","27","27","1.6433207906494058","1.6433207906494058","1.6433207906494058","1.9323130701061548","1.9323130701061548","1.9323130701061548"
"28","28","28","28","1.602517840006229","1.602517840006229","1.602517840006229","1.946933706802797","1.946933706802797","1.946933706802797"
"29","29","29","29","1.632455397204805","1.632455397204805","1.632455397204805","1.9384758065011523","1.9384758065011523","1.9384758065011523"
"30","30","30","30","1.6021595537465154","1.6021595537465154","1.6021595537465154","1.9481049762349807","1.9481049762349807","1.9481049762349807"
