"epoch","crimson-mountain-1 - _step","crimson-mountain-1 - _step__MIN","crimson-mountain-1 - _step__MAX","crimson-mountain-1 - loss/train","crimson-mountain-1 - loss/train__MIN","crimson-mountain-1 - loss/train__MAX","crimson-mountain-1 - loss/val","crimson-mountain-1 - loss/val__MIN","crimson-mountain-1 - loss/val__MAX"
"0","0","0","0","2.466621580293919","2.466621580293919","2.466621580293919","2.3710862966464554","2.3710862966464554","2.3710862966464554"
"1","1","1","1","2.226814092823128","2.226814092823128","2.226814092823128","2.229130859915313","2.229130859915313","2.229130859915313"
"2","2","2","2","2.052014140879687","2.052014140879687","2.052014140879687","2.1411755576983733","2.1411755576983733","2.1411755576983733"
"3","3","3","3","1.9490744462143907","1.9490744462143907","1.9490744462143907","2.076285705759689","2.076285705759689","2.076285705759689"
"4","4","4","4","1.918036711117583","1.918036711117583","1.918036711117583","2.0357448095991995","2.0357448095991995","2.0357448095991995"
"5","5","5","5","1.8908939123074975","1.8908939123074975","1.8908939123074975","2.010191012944345","2.010191012944345","2.010191012944345"
"6","6","6","6","1.8739384856937191","1.8739384856937191","1.8739384856937191","1.9929346601186617","1.9929346601186617","1.9929346601186617"
"7","7","7","7","1.8592660332639133","1.8592660332639133","1.8592660332639133","1.9756734075221198","1.9756734075221198","1.9756734075221198"
"8","8","8","8","1.826916241968532","1.826916241968532","1.826916241968532","1.9641629901694462","1.9641629901694462","1.9641629901694462"
"9","9","9","9","1.8205111851508013","1.8205111851508013","1.8205111851508013","1.946757431350947","1.946757431350947","1.946757431350947"
"10","10","10","10","1.8080668938360658","1.8080668938360658","1.8080668938360658","1.944207019709267","1.944207019709267","1.944207019709267"
"11","11","11","11","1.7913645616652902","1.7913645616652902","1.7913645616652902","1.937462352542271","1.937462352542271","1.937462352542271"
"12","12","12","12","1.7849008651407845","1.7849008651407845","1.7849008651407845","1.9290301786595805","1.9290301786595805","1.9290301786595805"
"13","13","13","13","1.7729161148694688","1.7729161148694688","1.7729161148694688","1.923574118392361","1.923574118392361","1.923574118392361"
"14","14","14","14","1.7696277866036083","1.7696277866036083","1.7696277866036083","1.9155301790751382","1.9155301790751382","1.9155301790751382"
"15","15","15","15","1.7338887926374342","1.7338887926374342","1.7338887926374342","1.9117274441954069","1.9117274441954069","1.9117274441954069"
"16","16","16","16","1.7411031226822156","1.7411031226822156","1.7411031226822156","1.9086388646046284","1.9086388646046284","1.9086388646046284"
"17","17","17","17","1.7395895100458496","1.7395895100458496","1.7395895100458496","1.903408115770014","1.903408115770014","1.903408115770014"
"18","18","18","18","1.7511637030201959","1.7511637030201959","1.7511637030201959","1.8937171191896836","1.8937171191896836","1.8937171191896836"
"19","19","19","19","1.728192161325182","1.728192161325182","1.728192161325182","1.8960327991193915","1.8960327991193915","1.8960327991193915"
"20","20","20","20","1.7258582260947921","1.7258582260947921","1.7258582260947921","1.8944711774134626","1.8944711774134626","1.8944711774134626"
"21","21","21","21","1.7085446424081248","1.7085446424081248","1.7085446424081248","1.895172344600479","1.895172344600479","1.895172344600479"
"22","22","22","22","1.7077774591751325","1.7077774591751325","1.7077774591751325","1.8848582783474563","1.8848582783474563","1.8848582783474563"
"23","23","23","23","1.7059354772659054","1.7059354772659054","1.7059354772659054","1.8811875369240205","1.8811875369240205","1.8811875369240205"
"24","24","24","24","1.696892393788476","1.696892393788476","1.696892393788476","1.8893337921852453","1.8893337921852453","1.8893337921852453"
