"epoch","visionary-waterfall-1 - _step","visionary-waterfall-1 - _step__MIN","visionary-waterfall-1 - _step__MAX","visionary-waterfall-1 - loss/train","visionary-waterfall-1 - loss/train__MIN","visionary-waterfall-1 - loss/train__MAX","visionary-waterfall-1 - loss/val","visionary-waterfall-1 - loss/val__MIN","visionary-waterfall-1 - loss/val__MAX"
"0","0","0","0","2.2542034966672517","2.2542034966672517","2.2542034966672517","2.1425121007345616","2.1425121007345616","2.1425121007345616"
"1","1","1","1","1.9510005775400026","1.9510005775400026","1.9510005775400026","2.0299405749082458","2.0299405749082458","2.0299405749082458"
"2","2","2","2","1.889580261215356","1.889580261215356","1.889580261215356","1.986357156772429","1.986357156772429","1.986357156772429"
"3","3","3","3","1.8396068924761872","1.8396068924761872","1.8396068924761872","1.9676462958233525","1.9676462958233525","1.9676462958233525"
"4","4","4","4","1.80584878022618","1.80584878022618","1.80584878022618","1.9430119914977795","1.9430119914977795","1.9430119914977795"
"5","5","5","5","1.8018202547115554","1.8018202547115554","1.8018202547115554","1.9309992378398275","1.9309992378398275","1.9309992378398275"
"6","6","6","6","1.7572789254382168","1.7572789254382168","1.7572789254382168","1.9203121384845139","1.9203121384845139","1.9203121384845139"
"7","7","7","7","1.7581293815510153","1.7581293815510153","1.7581293815510153","1.908066986124398","1.908066986124398","1.908066986124398"
"8","8","8","8","1.7506148994539625","1.7506148994539625","1.7506148994539625","1.9106005505997155","1.9106005505997155","1.9106005505997155"
"9","9","9","9","1.72321057805294","1.72321057805294","1.72321057805294","1.9081395530085694","1.9081395530085694","1.9081395530085694"
"10","10","10","10","1.735338282868507","1.735338282868507","1.735338282868507","1.904947324482212","1.904947324482212","1.904947324482212"
"11","11","11","11","1.665150623102714","1.665150623102714","1.665150623102714","1.899411390312033","1.899411390312033","1.899411390312033"
"12","12","12","12","1.6909051722762372","1.6909051722762372","1.6909051722762372","1.8999622142682806","1.8999622142682806","1.8999622142682806"
"13","13","13","13","1.6882841974644427","1.6882841974644427","1.6882841974644427","1.902297056473548","1.902297056473548","1.902297056473548"
"14","14","14","14","1.6617232102456758","1.6617232102456758","1.6617232102456758","1.9049745436255034","1.9049745436255034","1.9049745436255034"
"15","15","15","15","1.6632574921120271","1.6632574921120271","1.6632574921120271","1.9033454120131694","1.9033454120131694","1.9033454120131694"
"16","16","16","16","1.6408148742973627","1.6408148742973627","1.6408148742973627","1.9286613390776266","1.9286613390776266","1.9286613390776266"
"17","17","17","17","1.610946462618002","1.610946462618002","1.610946462618002","1.9184033945374421","1.9184033945374421","1.9184033945374421"
"18","18","18","18","1.631124831772984","1.631124831772984","1.631124831772984","1.923134019110182","1.923134019110182","1.923134019110182"
"19","19","19","19","1.6027009412769282","1.6027009412769282","1.6027009412769282","1.9225517147315476","1.9225517147315476","1.9225517147315476"
"20","20","20","20","1.6366646558390705","1.6366646558390705","1.6366646558390705","1.9235114282531598","1.9235114282531598","1.9235114282531598"
"21","21","21","21","1.6118271862645872","1.6118271862645872","1.6118271862645872","1.9226081196694043","1.9226081196694043","1.9226081196694043"
"22","22","22","22","1.5858281945033057","1.5858281945033057","1.5858281945033057","1.9332683795830556","1.9332683795830556","1.9332683795830556"
"23","23","23","23","1.5936535921770576","1.5936535921770576","1.5936535921770576","1.942115654323794","1.942115654323794","1.942115654323794"
"24","24","24","24","1.5992115640608775","1.5992115640608775","1.5992115640608775","1.9416474236260357","1.9416474236260357","1.9416474236260357"
"25","25","25","25","1.5762895049966967","1.5762895049966967","1.5762895049966967","1.9390590925032178","1.9390590925032178","1.9390590925032178"
"26","26","26","26","1.5658569982713817","1.5658569982713817","1.5658569982713817","1.9542180042780801","1.9542180042780801","1.9542180042780801"
"27","27","27","27","1.5326576409461121","1.5326576409461121","1.5326576409461121","1.9571130399822585","1.9571130399822585","1.9571130399822585"
"28","28","28","28","1.5920368310444108","1.5920368310444108","1.5920368310444108","1.9482557161894332","1.9482557161894332","1.9482557161894332"
"29","29","29","29","1.5563698455735613","1.5563698455735613","1.5563698455735613","1.9451276071057348","1.9451276071057348","1.9451276071057348"
