"epoch","crimson-smoke-1 - _step","crimson-smoke-1 - _step__MIN","crimson-smoke-1 - _step__MAX","crimson-smoke-1 - loss/train","crimson-smoke-1 - loss/train__MIN","crimson-smoke-1 - loss/train__MAX","crimson-smoke-1 - loss/val","crimson-smoke-1 - loss/val__MIN","crimson-smoke-1 - loss/val__MAX"
"0","0","0","0","2.2275391837872855","2.2275391837872855","2.2275391837872855","2.1451972672490136","2.1451972672490136","2.1451972672490136"
"1","1","1","1","1.9249452160702716","1.9249452160702716","1.9249452160702716","2.04940488051841","2.04940488051841","2.04940488051841"
"2","2","2","2","1.8423073068866245","1.8423073068866245","1.8423073068866245","2.0047198015662833","2.0047198015662833","2.0047198015662833"
"3","3","3","3","1.7934073792939613","1.7934073792939613","1.7934073792939613","1.969666490407651","1.969666490407651","1.969666490407651"
"4","4","4","4","1.7859214054707766","1.7859214054707766","1.7859214054707766","1.9529214523070313","1.9529214523070313","1.9529214523070313"
"5","5","5","5","1.7273672634007002","1.7273672634007002","1.7273672634007002","1.9490260048321126","1.9490260048321126","1.9490260048321126"
"6","6","6","6","1.7569250376478758","1.7569250376478758","1.7569250376478758","1.9366463687989857","1.9366463687989857","1.9366463687989857"
"7","7","7","7","1.731043383058993","1.731043383058993","1.731043383058993","1.938078361576683","1.938078361576683","1.938078361576683"
"8","8","8","8","1.7242369240288216","1.7242369240288216","1.7242369240288216","1.9414892474499126","1.9414892474499126","1.9414892474499126"
"9","9","9","9","1.718373250614971","1.718373250614971","1.718373250614971","1.9190415724912913","1.9190415724912913","1.9190415724912913"
"10","10","10","10","1.7093852082429133","1.7093852082429133","1.7093852082429133","1.9096079880276455","1.9096079880276455","1.9096079880276455"
"11","11","11","11","1.6905553396246384","1.6905553396246384","1.6905553396246384","1.918714916030694","1.918714916030694","1.918714916030694"
"12","12","12","12","1.686744830477706","1.686744830477706","1.686744830477706","1.8969716213091021","1.8969716213091021","1.8969716213091021"
"13","13","13","13","1.7057867524095713","1.7057867524095713","1.7057867524095713","1.9077959345651079","1.9077959345651079","1.9077959345651079"
"14","14","14","14","1.6858388727511775","1.6858388727511775","1.6858388727511775","1.9054298188377778","1.9054298188377778","1.9054298188377778"
"15","15","15","15","1.6867178330212074","1.6867178330212074","1.6867178330212074","1.9145840150537934","1.9145840150537934","1.9145840150537934"
"16","16","16","16","1.6662516152831186","1.6662516152831186","1.6662516152831186","1.9031368550041863","1.9031368550041863","1.9031368550041863"
"17","17","17","17","1.664231857563962","1.664231857563962","1.664231857563962","1.896775929349076","1.896775929349076","1.896775929349076"
"18","18","18","18","1.6536100752245833","1.6536100752245833","1.6536100752245833","1.895974259945392","1.895974259945392","1.895974259945392"
"19","19","19","19","1.6621535962940088","1.6621535962940088","1.6621535962940088","1.8835558900631062","1.8835558900631062","1.8835558900631062"
"20","20","20","20","1.693365910242949","1.693365910242949","1.693365910242949","1.8963457976876728","1.8963457976876728","1.8963457976876728"
"21","21","21","21","1.656585971220526","1.656585971220526","1.656585971220526","1.8966430934658252","1.8966430934658252","1.8966430934658252"
"22","22","22","22","1.6530402781586317","1.6530402781586317","1.6530402781586317","1.8957926129372313","1.8957926129372313","1.8957926129372313"
"23","23","23","23","1.6569116582410806","1.6569116582410806","1.6569116582410806","1.8830508547189433","1.8830508547189433","1.8830508547189433"
"24","24","24","24","1.6804819295649562","1.6804819295649562","1.6804819295649562","1.8893835084990718","1.8893835084990718","1.8893835084990718"
"25","25","25","25","1.6613264083547457","1.6613264083547457","1.6613264083547457","1.8958412286928863","1.8958412286928863","1.8958412286928863"
"26","26","26","26","1.6677354874096124","1.6677354874096124","1.6677354874096124","1.8817780229255714","1.8817780229255714","1.8817780229255714"
"27","27","27","27","1.6391549170548547","1.6391549170548547","1.6391549170548547","1.8837006329282096","1.8837006329282096","1.8837006329282096"
"28","28","28","28","1.6291269564872608","1.6291269564872608","1.6291269564872608","1.8827501436028817","1.8827501436028817","1.8827501436028817"
"29","29","29","29","1.6538234371444738","1.6538234371444738","1.6538234371444738","1.88197089784544","1.88197089784544","1.88197089784544"
"30","30","30","30","1.6705712753461508","1.6705712753461508","1.6705712753461508","1.891106653575906","1.891106653575906","1.891106653575906"
"31","31","31","31","1.6681035985408266","1.6681035985408266","1.6681035985408266","1.886682639633769","1.886682639633769","1.886682639633769"
"32","32","32","32","1.654003839329077","1.654003839329077","1.654003839329077","1.8903383284546385","1.8903383284546385","1.8903383284546385"
"33","33","33","33","1.6700291990092502","1.6700291990092502","1.6700291990092502","1.8791079982971057","1.8791079982971057","1.8791079982971057"
"34","34","34","34","1.63660138456213","1.63660138456213","1.63660138456213","1.8831328012491908","1.8831328012491908","1.8831328012491908"
"35","35","35","35","1.6527387418932709","1.6527387418932709","1.6527387418932709","1.8752142874011792","1.8752142874011792","1.8752142874011792"
