"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","65"
"broadleaved_indigenous_hardwood","deciduous_hardwood","35"
"broadleaved_indigenous_hardwood","grose_broom","23"
"broadleaved_indigenous_hardwood","harvested_forest","20"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","10"
"broadleaved_indigenous_hardwood","high_producing_grassland","10"
"broadleaved_indigenous_hardwood","indigenous_forest","74"
"broadleaved_indigenous_hardwood","lake_pond","9"
"broadleaved_indigenous_hardwood","low_producing_grassland","21"
"broadleaved_indigenous_hardwood","manuka_kanuka","59"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","17"
"deciduous_hardwood","deciduous_hardwood","183"
"deciduous_hardwood","grose_broom","8"
"deciduous_hardwood","harvested_forest","6"
"deciduous_hardwood","herbaceous_freshwater_vege","22"
"deciduous_hardwood","high_producing_grassland","13"
"deciduous_hardwood","indigenous_forest","19"
"deciduous_hardwood","lake_pond","23"
"deciduous_hardwood","low_producing_grassland","12"
"deciduous_hardwood","manuka_kanuka","10"
"deciduous_hardwood","shortrotation_cropland","11"
"deciduous_hardwood","urban_build_up","4"
"deciduous_hardwood","urban_parkland","6"
"grose_broom","broadleaved_indigenous_hardwood","34"
"grose_broom","deciduous_hardwood","16"
"grose_broom","grose_broom","105"
"grose_broom","harvested_forest","12"
"grose_broom","herbaceous_freshwater_vege","28"
"grose_broom","high_producing_grassland","25"
"grose_broom","indigenous_forest","15"
"grose_broom","lake_pond","11"
"grose_broom","low_producing_grassland","35"
"grose_broom","manuka_kanuka","44"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","0"
"harvested_forest","broadleaved_indigenous_hardwood","1"
"harvested_forest","deciduous_hardwood","1"
"harvested_forest","grose_broom","3"
"harvested_forest","harvested_forest","292"
"harvested_forest","herbaceous_freshwater_vege","3"
"harvested_forest","high_producing_grassland","11"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","17"
"harvested_forest","manuka_kanuka","1"
"harvested_forest","shortrotation_cropland","0"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","10"
"herbaceous_freshwater_vege","deciduous_hardwood","30"
"herbaceous_freshwater_vege","grose_broom","15"
"herbaceous_freshwater_vege","harvested_forest","15"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","160"
"herbaceous_freshwater_vege","high_producing_grassland","14"
"herbaceous_freshwater_vege","indigenous_forest","8"
"herbaceous_freshwater_vege","lake_pond","45"
"herbaceous_freshwater_vege","low_producing_grassland","11"
"herbaceous_freshwater_vege","manuka_kanuka","18"
"herbaceous_freshwater_vege","shortrotation_cropland","8"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","0"
"high_producing_grassland","broadleaved_indigenous_hardwood","10"
"high_producing_grassland","deciduous_hardwood","21"
"high_producing_grassland","grose_broom","16"
"high_producing_grassland","harvested_forest","34"
"high_producing_grassland","herbaceous_freshwater_vege","12"
"high_producing_grassland","high_producing_grassland","115"
"high_producing_grassland","indigenous_forest","11"
"high_producing_grassland","lake_pond","8"
"high_producing_grassland","low_producing_grassland","27"
"high_producing_grassland","manuka_kanuka","18"
"high_producing_grassland","shortrotation_cropland","46"
"high_producing_grassland","urban_build_up","12"
"high_producing_grassland","urban_parkland","4"
"indigenous_forest","broadleaved_indigenous_hardwood","30"
"indigenous_forest","deciduous_hardwood","27"
"indigenous_forest","grose_broom","8"
"indigenous_forest","harvested_forest","9"
