"epoch","neat-deluge-1 - _step","neat-deluge-1 - _step__MIN","neat-deluge-1 - _step__MAX","neat-deluge-1 - loss/train","neat-deluge-1 - loss/train__MIN","neat-deluge-1 - loss/train__MAX","neat-deluge-1 - loss/val","neat-deluge-1 - loss/val__MIN","neat-deluge-1 - loss/val__MAX"
"0","0","0","0","2.4408589465206725","2.4408589465206725","2.4408589465206725","2.225049788146895","2.225049788146895","2.225049788146895"
"1","1","1","1","2.2606832749244936","2.2606832749244936","2.2606832749244936","2.085591615921119","2.085591615921119","2.085591615921119"
"2","2","2","2","2.1578784994617513","2.1578784994617513","2.1578784994617513","2.0079418224763455","2.0079418224763455","2.0079418224763455"
"3","3","3","3","2.1248823905767704","2.1248823905767704","2.1248823905767704","1.972093494846655","1.972093494846655","1.972093494846655"
"4","4","4","4","2.080375844321424","2.080375844321424","2.080375844321424","1.9516505723941826","1.9516505723941826","1.9516505723941826"
"5","5","5","5","2.0623854417728205","2.0623854417728205","2.0623854417728205","1.939153828087187","1.939153828087187","1.939153828087187"
"6","6","6","6","2.03020470311444","2.03020470311444","2.03020470311444","1.9217454096733948","1.9217454096733948","1.9217454096733948"
"7","7","7","7","2.023299350615158","2.023299350615158","2.023299350615158","1.9111401093604652","1.9111401093604652","1.9111401093604652"
"8","8","8","8","1.9781738728677243","1.9781738728677243","1.9781738728677243","1.9073073697057203","1.9073073697057203","1.9073073697057203"
"9","9","9","9","1.9930224580559892","1.9930224580559892","1.9930224580559892","1.8984740067604553","1.8984740067604553","1.8984740067604553"
"10","10","10","10","1.944130717455088","1.944130717455088","1.944130717455088","1.895988056869454","1.895988056869454","1.895988056869454"
"11","11","11","11","1.9445308041258644","1.9445308041258644","1.9445308041258644","1.9012985331624512","1.9012985331624512","1.9012985331624512"
"12","12","12","12","1.9663182049817591","1.9663182049817591","1.9663182049817591","1.8904669932756815","1.8904669932756815","1.8904669932756815"
"13","13","13","13","1.8974578264377","1.8974578264377","1.8974578264377","1.891766445585134","1.891766445585134","1.891766445585134"
"14","14","14","14","1.9106734471718745","1.9106734471718745","1.9106734471718745","1.9047428629245697","1.9047428629245697","1.9047428629245697"
"15","15","15","15","1.8951022119383307","1.8951022119383307","1.8951022119383307","1.8969409911657797","1.8969409911657797","1.8969409911657797"
"16","16","16","16","1.8993029142257716","1.8993029142257716","1.8993029142257716","1.9029764042972475","1.9029764042972475","1.9029764042972475"
"17","17","17","17","1.866491849633391","1.866491849633391","1.866491849633391","1.9013110117558674","1.9013110117558674","1.9013110117558674"
"18","18","18","18","1.8411044510772856","1.8411044510772856","1.8411044510772856","1.8989253326365059","1.8989253326365059","1.8989253326365059"
"19","19","19","19","1.8336978268199275","1.8336978268199275","1.8336978268199275","1.9060547093211753","1.9060547093211753","1.9060547093211753"
"20","20","20","20","1.8419673416404698","1.8419673416404698","1.8419673416404698","1.9020381328533564","1.9020381328533564","1.9020381328533564"
"21","21","21","21","1.8108779961365038","1.8108779961365038","1.8108779961365038","1.899635297919352","1.899635297919352","1.899635297919352"
"22","22","22","22","1.787768069963638","1.787768069963638","1.787768069963638","1.9086323053482104","1.9086323053482104","1.9086323053482104"
