"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","75"
"broadleaved_indigenous_hardwood","deciduous_hardwood","22"
"broadleaved_indigenous_hardwood","grose_broom","35"
"broadleaved_indigenous_hardwood","harvested_forest","40"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","20"
"broadleaved_indigenous_hardwood","high_producing_grassland","11"
"broadleaved_indigenous_hardwood","indigenous_forest","49"
"broadleaved_indigenous_hardwood","lake_pond","12"
"broadleaved_indigenous_hardwood","low_producing_grassland","23"
"broadleaved_indigenous_hardwood","manuka_kanuka","34"
"broadleaved_indigenous_hardwood","shortrotation_cropland","4"
"broadleaved_indigenous_hardwood","urban_build_up","9"
"broadleaved_indigenous_hardwood","urban_parkland","0"
"deciduous_hardwood","broadleaved_indigenous_hardwood","11"
"deciduous_hardwood","deciduous_hardwood","112"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","16"
"deciduous_hardwood","herbaceous_freshwater_vege","24"
"deciduous_hardwood","high_producing_grassland","27"
"deciduous_hardwood","indigenous_forest","39"
"deciduous_hardwood","lake_pond","33"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","13"
"deciduous_hardwood","shortrotation_cropland","26"
"deciduous_hardwood","urban_build_up","10"
"deciduous_hardwood","urban_parkland","7"
"grose_broom","broadleaved_indigenous_hardwood","28"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","95"
"grose_broom","harvested_forest","27"
"grose_broom","herbaceous_freshwater_vege","37"
"grose_broom","high_producing_grassland","22"
"grose_broom","indigenous_forest","20"
"grose_broom","lake_pond","15"
"grose_broom","low_producing_grassland","25"
"grose_broom","manuka_kanuka","28"
"grose_broom","shortrotation_cropland","8"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","3"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","13"
"harvested_forest","harvested_forest","260"
"harvested_forest","herbaceous_freshwater_vege","9"
"harvested_forest","high_producing_grassland","7"
"harvested_forest","indigenous_forest","3"
"harvested_forest","lake_pond","9"
"harvested_forest","low_producing_grassland","14"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","7"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","14"
"herbaceous_freshwater_vege","deciduous_hardwood","18"
"herbaceous_freshwater_vege","grose_broom","20"
"herbaceous_freshwater_vege","harvested_forest","40"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","110"
"herbaceous_freshwater_vege","high_producing_grassland","16"
"herbaceous_freshwater_vege","indigenous_forest","11"
"herbaceous_freshwater_vege","lake_pond","51"
"herbaceous_freshwater_vege","low_producing_grassland","13"
"herbaceous_freshwater_vege","manuka_kanuka","11"
