"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","105"
"broadleaved_indigenous_hardwood","deciduous_hardwood","23"
"broadleaved_indigenous_hardwood","grose_broom","13"
"broadleaved_indigenous_hardwood","harvested_forest","20"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","13"
"broadleaved_indigenous_hardwood","high_producing_grassland","12"
"broadleaved_indigenous_hardwood","indigenous_forest","63"
"broadleaved_indigenous_hardwood","lake_pond","7"
"broadleaved_indigenous_hardwood","low_producing_grassland","28"
"broadleaved_indigenous_hardwood","manuka_kanuka","35"
"broadleaved_indigenous_hardwood","shortrotation_cropland","4"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","5"
"deciduous_hardwood","broadleaved_indigenous_hardwood","16"
"deciduous_hardwood","deciduous_hardwood","174"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","26"
"deciduous_hardwood","high_producing_grassland","15"
"deciduous_hardwood","indigenous_forest","29"
"deciduous_hardwood","lake_pond","14"
"deciduous_hardwood","low_producing_grassland","16"
"deciduous_hardwood","manuka_kanuka","7"
"deciduous_hardwood","shortrotation_cropland","12"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","41"
"grose_broom","deciduous_hardwood","19"
"grose_broom","grose_broom","77"
"grose_broom","harvested_forest","12"
"grose_broom","herbaceous_freshwater_vege","30"
"grose_broom","high_producing_grassland","25"
"grose_broom","indigenous_forest","28"
"grose_broom","lake_pond","13"
"grose_broom","low_producing_grassland","44"
"grose_broom","manuka_kanuka","31"
"grose_broom","shortrotation_cropland","6"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","2"
"harvested_forest","broadleaved_indigenous_hardwood","2"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","4"
"harvested_forest","harvested_forest","286"
"harvested_forest","herbaceous_freshwater_vege","5"
"harvested_forest","high_producing_grassland","11"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","15"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","1"
"harvested_forest","urban_build_up","1"
