"epoch","dashing-vortex-1 - _step","dashing-vortex-1 - _step__MIN","dashing-vortex-1 - _step__MAX","dashing-vortex-1 - loss/train","dashing-vortex-1 - loss/train__MIN","dashing-vortex-1 - loss/train__MAX","dashing-vortex-1 - loss/val","dashing-vortex-1 - loss/val__MIN","dashing-vortex-1 - loss/val__MAX"
"0","0","0","0","2.456838290777843","2.456838290777843","2.456838290777843","2.3534353315857683","2.3534353315857683","2.3534353315857683"
"1","1","1","1","2.025523390332665","2.025523390332665","2.025523390332665","2.2068527130858793","2.2068527130858793","2.2068527130858793"
"2","2","2","2","1.7690708181769392","1.7690708181769392","1.7690708181769392","2.0495928989912935","2.0495928989912935","2.0495928989912935"
"3","3","3","3","1.5973986628204826","1.5973986628204826","1.5973986628204826","1.9414424463550597","1.9414424463550597","1.9414424463550597"
"4","4","4","4","1.521830814048307","1.521830814048307","1.521830814048307","1.8796429330442754","1.8796429330442754","1.8796429330442754"
"5","5","5","5","1.466381675625927","1.466381675625927","1.466381675625927","1.8405206804174479","1.8405206804174479","1.8405206804174479"
"6","6","6","6","1.43121688375299","1.43121688375299","1.43121688375299","1.791217234814458","1.791217234814458","1.791217234814458"
"7","7","7","7","1.4081547134438628","1.4081547134438628","1.4081547134438628","1.778144457877259","1.778144457877259","1.778144457877259"
"8","8","8","8","1.381866222855455","1.381866222855455","1.381866222855455","1.748955595388988","1.748955595388988","1.748955595388988"
"9","9","9","9","1.394509277847133","1.394509277847133","1.394509277847133","1.7299673710479981","1.7299673710479981","1.7299673710479981"
"10","10","10","10","1.328669456748275","1.328669456748275","1.328669456748275","1.7019652567498424","1.7019652567498424","1.7019652567498424"
"11","11","11","11","1.3262597740756692","1.3262597740756692","1.3262597740756692","1.7003359570584502","1.7003359570584502","1.7003359570584502"
"12","12","12","12","1.3248667503014588","1.3248667503014588","1.3248667503014588","1.6749055702419449","1.6749055702419449","1.6749055702419449"
"13","13","13","13","1.2731982612477684","1.2731982612477684","1.2731982612477684","1.6750602034696618","1.6750602034696618","1.6750602034696618"
"14","14","14","14","1.2955467673145504","1.2955467673145504","1.2955467673145504","1.6721113550119386","1.6721113550119386","1.6721113550119386"
"15","15","15","15","1.264124131692863","1.264124131692863","1.264124131692863","1.6670489894909992","1.6670489894909992","1.6670489894909992"
"16","16","16","16","1.263243651219344","1.263243651219344","1.263243651219344","1.644063271063915","1.644063271063915","1.644063271063915"
"17","17","17","17","1.273190735669135","1.273190735669135","1.273190735669135","1.6492482556664192","1.6492482556664192","1.6492482556664192"
"18","18","18","18","1.2066926926436394","1.2066926926436394","1.2066926926436394","1.6504709287921935","1.6504709287921935","1.6504709287921935"
"19","19","19","19","1.24126071689255","1.24126071689255","1.24126071689255","1.6170696447874093","1.6170696447874093","1.6170696447874093"
"20","20","20","20","1.2121771771463352","1.2121771771463352","1.2121771771463352","1.6224822727890402","1.6224822727890402","1.6224822727890402"
"21","21","21","21","1.2040703457479638","1.2040703457479638","1.2040703457479638","1.631541592742045","1.631541592742045","1.631541592742045"
"22","22","22","22","1.1836606752902759","1.1836606752902759","1.1836606752902759","1.6161567079257657","1.6161567079257657","1.6161567079257657"
"23","23","23","23","1.1921336796796467","1.1921336796796467","1.1921336796796467","1.6315742486745517","1.6315742486745517","1.6315742486745517"
"24","24","24","24","1.1571549564069896","1.1571549564069896","1.1571549564069896","1.616773811642995","1.616773811642995","1.616773811642995"
