"epoch","cosmic-meadow-1 - _step","cosmic-meadow-1 - _step__MIN","cosmic-meadow-1 - _step__MAX","cosmic-meadow-1 - loss/train","cosmic-meadow-1 - loss/train__MIN","cosmic-meadow-1 - loss/train__MAX","cosmic-meadow-1 - loss/val","cosmic-meadow-1 - loss/val__MIN","cosmic-meadow-1 - loss/val__MAX"
"0","0","0","0","2.230861212646033","2.230861212646033","2.230861212646033","2.244083796926821","2.244083796926821","2.244083796926821"
"1","1","1","1","2.027395555950472","2.027395555950472","2.027395555950472","2.177279251558558","2.177279251558558","2.177279251558558"
"2","2","2","2","1.9863516852607295","1.9863516852607295","1.9863516852607295","2.1780258023425874","2.1780258023425874","2.1780258023425874"
"3","3","3","3","1.9555265301505917","1.9555265301505917","1.9555265301505917","2.1486724053369257","2.1486724053369257","2.1486724053369257"
"4","4","4","4","1.9546237876933505","1.9546237876933505","1.9546237876933505","2.1877712582399744","2.1877712582399744","2.1877712582399744"
"5","5","5","5","1.9433835628925447","1.9433835628925447","1.9433835628925447","2.1538572594736207","2.1538572594736207","2.1538572594736207"
"6","6","6","6","1.9353219376174318","1.9353219376174318","1.9353219376174318","2.1395135427718337","2.1395135427718337","2.1395135427718337"
"7","7","7","7","1.9539028920816697","1.9539028920816697","1.9539028920816697","2.138635694019699","2.138635694019699","2.138635694019699"
"8","8","8","8","1.945717172552185","1.945717172552185","1.945717172552185","2.1211638540125617","2.1211638540125617","2.1211638540125617"
"9","9","9","9","1.9271092007853579","1.9271092007853579","1.9271092007853579","2.1131851485883626","2.1131851485883626","2.1131851485883626"
"10","10","10","10","1.9417751233609122","1.9417751233609122","1.9417751233609122","2.144641015783316","2.144641015783316","2.144641015783316"
"11","11","11","11","1.9427619368133933","1.9427619368133933","1.9427619368133933","2.1069784214945777","2.1069784214945777","2.1069784214945777"
"12","12","12","12","1.9354467254831653","1.9354467254831653","1.9354467254831653","2.119083016438179","2.119083016438179","2.119083016438179"
"13","13","13","13","1.9384699035225081","1.9384699035225081","1.9384699035225081","2.113826584124115","2.113826584124115","2.113826584124115"
"14","14","14","14","1.929449392510606","1.929449392510606","1.929449392510606","2.1209724707188338","2.1209724707188338","2.1209724707188338"
"15","15","15","15","1.9237830810718708","1.9237830810718708","1.9237830810718708","2.106970813514889","2.106970813514889","2.106970813514889"
"16","16","16","16","1.9188235011489596","1.9188235011489596","1.9188235011489596","2.113446642758384","2.113446642758384","2.113446642758384"
"17","17","17","17","1.9213923274520694","1.9213923274520694","1.9213923274520694","2.105998405494321","2.105998405494321","2.105998405494321"
"18","18","18","18","1.9159394561845124","1.9159394561845124","1.9159394561845124","2.114013131342413","2.114013131342413","2.114013131342413"
"19","19","19","19","1.9424354472703376","1.9424354472703376","1.9424354472703376","2.11064686159119","2.11064686159119","2.11064686159119"
"20","20","20","20","1.9272628258711528","1.9272628258711528","1.9272628258711528","2.114378162596644","2.114378162596644","2.114378162596644"
"21","21","21","21","1.919233280066448","1.919233280066448","1.919233280066448","2.1014096876378985","2.1014096876378985","2.1014096876378985"
"22","22","22","22","1.915664863740635","1.915664863740635","1.915664863740635","2.117787024218165","2.117787024218165","2.117787024218165"
"23","23","23","23","1.9133865990796246","1.9133865990796246","1.9133865990796246","2.108052558198276","2.108052558198276","2.108052558198276"
"24","24","24","24","1.9262825932175602","1.9262825932175602","1.9262825932175602","2.108993793840729","2.108993793840729","2.108993793840729"
"25","25","25","25","1.9110921823722327","1.9110921823722327","1.9110921823722327","2.093263100062247","2.093263100062247","2.093263100062247"
"26","26","26","26","1.9190472631538182","1.9190472631538182","1.9190472631538182","2.1085188334463707","2.1085188334463707","2.1085188334463707"
"27","27","27","27","1.9263730534892567","1.9263730534892567","1.9263730534892567","2.095905522386471","2.095905522386471","2.095905522386471"
"28","28","28","28","1.9237017223977635","1.9237017223977635","1.9237017223977635","2.1185575104814034","2.1185575104814034","2.1185575104814034"
"29","29","29","29","1.9160455016182212","1.9160455016182212","1.9160455016182212","2.117625528466916","2.117625528466916","2.117625528466916"
"30","30","30","30","1.9187007601912673","1.9187007601912673","1.9187007601912673","2.103093525606715","2.103093525606715","2.103093525606715"
"31","31","31","31","1.9320173279521482","1.9320173279521482","1.9320173279521482","2.111788579419372","2.111788579419372","2.111788579419372"
"32","32","32","32","1.9157537903733934","1.9157537903733934","1.9157537903733934","2.090235590001286","2.090235590001286","2.090235590001286"
