"epoch","visionary-plasma-1 - _step","visionary-plasma-1 - _step__MIN","visionary-plasma-1 - _step__MAX","visionary-plasma-1 - loss/train","visionary-plasma-1 - loss/train__MIN","visionary-plasma-1 - loss/train__MAX","visionary-plasma-1 - loss/val","visionary-plasma-1 - loss/val__MIN","visionary-plasma-1 - loss/val__MAX"
"0","0","0","0","2.4194403622225593","2.4194403622225593","2.4194403622225593","2.3336700904429755","2.3336700904429755","2.3336700904429755"
"1","1","1","1","1.914057796907655","1.914057796907655","1.914057796907655","2.176980516593174","2.176980516593174","2.176980516593174"
"2","2","2","2","1.6459856584868637","1.6459856584868637","1.6459856584868637","2.033141776912501","2.033141776912501","2.033141776912501"
"3","3","3","3","1.482998140969658","1.482998140969658","1.482998140969658","1.9457996950782097","1.9457996950782097","1.9457996950782097"
"4","4","4","4","1.4171543085098854","1.4171543085098854","1.4171543085098854","1.859276578537279","1.859276578537279","1.859276578537279"
"5","5","5","5","1.374700211518793","1.374700211518793","1.374700211518793","1.855904162012449","1.855904162012449","1.855904162012449"
"6","6","6","6","1.3344260101336969","1.3344260101336969","1.3344260101336969","1.7866313324058072","1.7866313324058072","1.7866313324058072"
"7","7","7","7","1.3512274160685818","1.3512274160685818","1.3512274160685818","1.7553275452402537","1.7553275452402537","1.7553275452402537"
"8","8","8","8","1.2994796670265507","1.2994796670265507","1.2994796670265507","1.7449975734150174","1.7449975734150174","1.7449975734150174"
"9","9","9","9","1.2883684810909437","1.2883684810909437","1.2883684810909437","1.7278226803437404","1.7278226803437404","1.7278226803437404"
"10","10","10","10","1.2636023946913701","1.2636023946913701","1.2636023946913701","1.7059684854012818","1.7059684854012818","1.7059684854012818"
"11","11","11","11","1.2602988839994236","1.2602988839994236","1.2602988839994236","1.6948048024065536","1.6948048024065536","1.6948048024065536"
"12","12","12","12","1.2042899605820676","1.2042899605820676","1.2042899605820676","1.7076090600072158","1.7076090600072158","1.7076090600072158"
"13","13","13","13","1.2177885181913388","1.2177885181913388","1.2177885181913388","1.6696809535200066","1.6696809535200066","1.6696809535200066"
"14","14","14","14","1.2384418749008579","1.2384418749008579","1.2384418749008579","1.6543614509631719","1.6543614509631719","1.6543614509631719"
"15","15","15","15","1.1902286719036896","1.1902286719036896","1.1902286719036896","1.6649397993790616","1.6649397993790616","1.6649397993790616"
"16","16","16","16","1.1813488298585384","1.1813488298585384","1.1813488298585384","1.6546744828617337","1.6546744828617337","1.6546744828617337"
"17","17","17","17","1.174984810704187","1.174984810704187","1.174984810704187","1.6452936483165297","1.6452936483165297","1.6452936483165297"
"18","18","18","18","1.162234208796124","1.162234208796124","1.162234208796124","1.6360346681233762","1.6360346681233762","1.6360346681233762"
"19","19","19","19","1.145733338784814","1.145733338784814","1.145733338784814","1.638201711530347","1.638201711530347","1.638201711530347"
"20","20","20","20","1.1346310690784522","1.1346310690784522","1.1346310690784522","1.6257931055532848","1.6257931055532848","1.6257931055532848"
"21","21","21","21","1.139827395515103","1.139827395515103","1.139827395515103","1.6012822210047444","1.6012822210047444","1.6012822210047444"
"22","22","22","22","1.1114324426900757","1.1114324426900757","1.1114324426900757","1.6224839112441258","1.6224839112441258","1.6224839112441258"
"23","23","23","23","1.1312237647116716","1.1312237647116716","1.1312237647116716","1.6113320836708986","1.6113320836708986","1.6113320836708986"
"24","24","24","24","1.0941862478458968","1.0941862478458968","1.0941862478458968","1.6092318612713246","1.6092318612713246","1.6092318612713246"
"25","25","25","25","1.0861453927247642","1.0861453927247642","1.0861453927247642","1.6053426691817008","1.6053426691817008","1.6053426691817008"
"26","26","26","26","1.0914207448750732","1.0914207448750732","1.0914207448750732","1.6262680733055632","1.6262680733055632","1.6262680733055632"
"27","27","27","27","1.0836867423374403","1.0836867423374403","1.0836867423374403","1.6140441361356583","1.6140441361356583","1.6140441361356583"
"28","28","28","28","1.0405833812248195","1.0405833812248195","1.0405833812248195","1.6163527659148678","1.6163527659148678","1.6163527659148678"
"29","29","29","29","1.0768707484034428","1.0768707484034428","1.0768707484034428","1.605279230401572","1.605279230401572","1.605279230401572"
"30","30","30","30","1.07892912871737","1.07892912871737","1.07892912871737","1.608624736266661","1.608624736266661","1.608624736266661"
"31","31","31","31","1.0548365316291088","1.0548365316291088","1.0548365316291088","1.608631043706496","1.608631043706496","1.608631043706496"
"32","32","32","32","1.0442654091535413","1.0442654091535413","1.0442654091535413","1.6147463470491492","1.6147463470491492","1.6147463470491492"
"33","33","33","33","1.0414924008089426","1.0414924008089426","1.0414924008089426","1.6409562871182695","1.6409562871182695","1.6409562871182695"
"34","34","34","34","1.0107958972258184","1.0107958972258184","1.0107958972258184","1.6191956824500788","1.6191956824500788","1.6191956824500788"
