"epoch","blooming-monkey-1 - _step","blooming-monkey-1 - _step__MIN","blooming-monkey-1 - _step__MAX","blooming-monkey-1 - loss/train","blooming-monkey-1 - loss/train__MIN","blooming-monkey-1 - loss/train__MAX","blooming-monkey-1 - loss/val","blooming-monkey-1 - loss/val__MIN","blooming-monkey-1 - loss/val__MAX"
"0","0","0","0","2.1829896337554797","2.1829896337554797","2.1829896337554797","2.2114239280424814","2.2114239280424814","2.2114239280424814"
"1","1","1","1","1.9856915073839438","1.9856915073839438","1.9856915073839438","2.17215111463205","2.17215111463205","2.17215111463205"
"2","2","2","2","1.9303356213186194","1.9303356213186194","1.9303356213186194","2.1540232723838773","2.1540232723838773","2.1540232723838773"
"3","3","3","3","1.9116663441369577","1.9116663441369577","1.9116663441369577","2.152921071858628","2.152921071858628","2.152921071858628"
"4","4","4","4","1.9217684072575016","1.9217684072575016","1.9217684072575016","2.1390446185626395","2.1390446185626395","2.1390446185626395"
"5","5","5","5","1.9058271756808323","1.9058271756808323","1.9058271756808323","2.133145162280613","2.133145162280613","2.133145162280613"
"6","6","6","6","1.9095699390469358","1.9095699390469358","1.9095699390469358","2.1470634105402113","2.1470634105402113","2.1470634105402113"
"7","7","7","7","1.9037660262515392","1.9037660262515392","1.9037660262515392","2.128726576342115","2.128726576342115","2.128726576342115"
"8","8","8","8","1.8887939104691562","1.8887939104691562","1.8887939104691562","2.134430372786379","2.134430372786379","2.134430372786379"
"9","9","9","9","1.9080716681404502","1.9080716681404502","1.9080716681404502","2.138539064045822","2.138539064045822","2.138539064045822"
"10","10","10","10","1.89855537832524","1.89855537832524","1.89855537832524","2.13188324189856","2.13188324189856","2.13188324189856"
"11","11","11","11","1.9033555164711302","1.9033555164711302","1.9033555164711302","2.1060647723972385","2.1060647723972385","2.1060647723972385"
"12","12","12","12","1.8976930600852218","1.8976930600852218","1.8976930600852218","2.1223735777478456","2.1223735777478456","2.1223735777478456"
"13","13","13","13","1.89348002668645","1.89348002668645","1.89348002668645","2.1139559149467577","2.1139559149467577","2.1139559149467577"
"14","14","14","14","1.882394766983854","1.882394766983854","1.882394766983854","2.1151839031815145","2.1151839031815145","2.1151839031815145"
"15","15","15","15","1.8746541911012842","1.8746541911012842","1.8746541911012842","2.1187037173529912","2.1187037173529912","2.1187037173529912"
"16","16","16","16","1.8857016371936295","1.8857016371936295","1.8857016371936295","2.1243342622970447","2.1243342622970447","2.1243342622970447"
"17","17","17","17","1.9053770611880434","1.9053770611880434","1.9053770611880434","2.1139162558665863","2.1139162558665863","2.1139162558665863"
"18","18","18","18","1.8728206896666837","1.8728206896666837","1.8728206896666837","2.1000311899602497","2.1000311899602497","2.1000311899602497"
"19","19","19","19","1.8805795182091654","1.8805795182091654","1.8805795182091654","2.1257616289745878","2.1257616289745878","2.1257616289745878"
"20","20","20","20","1.870166285346271","1.870166285346271","1.870166285346271","2.1076574808768225","2.1076574808768225","2.1076574808768225"
"21","21","21","21","1.8682387922779056","1.8682387922779056","1.8682387922779056","2.098997058543342","2.098997058543342","2.098997058543342"
"22","22","22","22","1.87263168891475","1.87263168891475","1.87263168891475","2.1130342911817355","2.1130342911817355","2.1130342911817355"
"23","23","23","23","1.8684609718142537","1.8684609718142537","1.8684609718142537","2.110190541114965","2.110190541114965","2.110190541114965"
"24","24","24","24","1.8801502605673102","1.8801502605673102","1.8801502605673102","2.1101933892890092","2.1101933892890092","2.1101933892890092"
"25","25","25","25","1.877901294410896","1.877901294410896","1.877901294410896","2.1017207988447333","2.1017207988447333","2.1017207988447333"
"26","26","26","26","1.875074050381674","1.875074050381674","1.875074050381674","2.103203791783516","2.103203791783516","2.103203791783516"
"27","27","27","27","1.8808753957392879","1.8808753957392879","1.8808753957392879","2.117297917233805","2.117297917233805","2.117297917233805"
"28","28","28","28","1.8878718916121309","1.8878718916121309","1.8878718916121309","2.1024581794088637","2.1024581794088637","2.1024581794088637"
