"epoch","fresh-moon-1 - _step","fresh-moon-1 - _step__MIN","fresh-moon-1 - _step__MAX","fresh-moon-1 - loss/train","fresh-moon-1 - loss/train__MIN","fresh-moon-1 - loss/train__MAX","fresh-moon-1 - loss/val","fresh-moon-1 - loss/val__MIN","fresh-moon-1 - loss/val__MAX"
"0","0","0","0","2.319533648306956","2.319533648306956","2.319533648306956","2.2596567399707164","2.2596567399707164","2.2596567399707164"
"1","1","1","1","1.6851097050537054","1.6851097050537054","1.6851097050537054","2.0442319048104447","2.0442319048104447","2.0442319048104447"
"2","2","2","2","1.3969760631573176","1.3969760631573176","1.3969760631573176","1.8567765147825475","1.8567765147825475","1.8567765147825475"
"3","3","3","3","1.3140987120701275","1.3140987120701275","1.3140987120701275","1.7790907371543838","1.7790907371543838","1.7790907371543838"
"4","4","4","4","1.2592674765198026","1.2592674765198026","1.2592674765198026","1.7191415803875039","1.7191415803875039","1.7191415803875039"
"5","5","5","5","1.2231922916629128","1.2231922916629128","1.2231922916629128","1.6708109720903077","1.6708109720903077","1.6708109720903077"
"6","6","6","6","1.1931200644963882","1.1931200644963882","1.1931200644963882","1.6488427434962556","1.6488427434962556","1.6488427434962556"
"7","7","7","7","1.1785695898695339","1.1785695898695339","1.1785695898695339","1.630778501847547","1.630778501847547","1.630778501847547"
"8","8","8","8","1.1312878523833427","1.1312878523833427","1.1312878523833427","1.612243058274057","1.612243058274057","1.612243058274057"
"9","9","9","9","1.1317679697383933","1.1317679697383933","1.1317679697383933","1.5953016625961802","1.5953016625961802","1.5953016625961802"
"10","10","10","10","1.1049534364836022","1.1049534364836022","1.1049534364836022","1.5690871969119353","1.5690871969119353","1.5690871969119353"
"11","11","11","11","1.0644419839817814","1.0644419839817814","1.0644419839817814","1.5654612609396767","1.5654612609396767","1.5654612609396767"
"12","12","12","12","1.055623678996949","1.055623678996949","1.055623678996949","1.547578550823709","1.547578550823709","1.547578550823709"
"13","13","13","13","1.0545915675455164","1.0545915675455164","1.0545915675455164","1.5607613237263254","1.5607613237263254","1.5607613237263254"
"14","14","14","14","1.0281622522613638","1.0281622522613638","1.0281622522613638","1.5575772098328649","1.5575772098328649","1.5575772098328649"
"15","15","15","15","1.017251606713434","1.017251606713434","1.017251606713434","1.5395543728485352","1.5395543728485352","1.5395543728485352"
"16","16","16","16","0.9809587275962627","0.9809587275962627","0.9809587275962627","1.5291065445477816","1.5291065445477816","1.5291065445477816"
"17","17","17","17","0.9932789167594513","0.9932789167594513","0.9932789167594513","1.5461767046531738","1.5461767046531738","1.5461767046531738"
"18","18","18","18","0.9559620847077479","0.9559620847077479","0.9559620847077479","1.5526037565962283","1.5526037565962283","1.5526037565962283"
"19","19","19","19","0.9577667082724656","0.9577667082724656","0.9577667082724656","1.5558825630243338","1.5558825630243338","1.5558825630243338"
"20","20","20","20","0.9387775175729506","0.9387775175729506","0.9387775175729506","1.5585300443030787","1.5585300443030787","1.5585300443030787"
"21","21","21","21","0.9629823556313148","0.9629823556313148","0.9629823556313148","1.548215397872556","1.548215397872556","1.548215397872556"
"22","22","22","22","0.8952779840888809","0.8952779840888809","0.8952779840888809","1.5669984707685178","1.5669984707685178","1.5669984707685178"
"23","23","23","23","0.8990696048923826","0.8990696048923826","0.8990696048923826","1.560371497269327","1.560371497269327","1.560371497269327"
"24","24","24","24","0.9281966574209534","0.9281966574209534","0.9281966574209534","1.5615201792042688","1.5615201792042688","1.5615201792042688"
"25","25","25","25","0.9189313419312961","0.9189313419312961","0.9189313419312961","1.5414807333039118","1.5414807333039118","1.5414807333039118"
"26","26","26","26","0.8811088228038454","0.8811088228038454","0.8811088228038454","1.563161566146559","1.563161566146559","1.563161566146559"
"27","27","27","27","0.8674254540897016","0.8674254540897016","0.8674254540897016","1.5633950250481528","1.5633950250481528","1.5633950250481528"
"28","28","28","28","0.8874740061954913","0.8874740061954913","0.8874740061954913","1.56010615106334","1.56010615106334","1.56010615106334"
"29","29","29","29","0.8914632812111393","0.8914632812111393","0.8914632812111393","1.5577488076791188","1.5577488076791188","1.5577488076791188"
"30","30","30","30","0.8801719057226765","0.8801719057226765","0.8801719057226765","1.5730334640043444","1.5730334640043444","1.5730334640043444"
"31","31","31","31","0.862175008958194","0.862175008958194","0.862175008958194","1.5769230635250728","1.5769230635250728","1.5769230635250728"
"32","32","32","32","0.902717500653821","0.902717500653821","0.902717500653821","1.5757775530184759","1.5757775530184759","1.5757775530184759"
