"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","72"
"broadleaved_indigenous_hardwood","deciduous_hardwood","25"
"broadleaved_indigenous_hardwood","grose_broom","10"
"broadleaved_indigenous_hardwood","harvested_forest","35"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","16"
"broadleaved_indigenous_hardwood","high_producing_grassland","7"
"broadleaved_indigenous_hardwood","indigenous_forest","66"
"broadleaved_indigenous_hardwood","lake_pond","13"
"broadleaved_indigenous_hardwood","low_producing_grassland","17"
"broadleaved_indigenous_hardwood","manuka_kanuka","57"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","8"
"deciduous_hardwood","broadleaved_indigenous_hardwood","23"
"deciduous_hardwood","deciduous_hardwood","110"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","9"
"deciduous_hardwood","herbaceous_freshwater_vege","23"
"deciduous_hardwood","high_producing_grassland","26"
"deciduous_hardwood","indigenous_forest","41"
"deciduous_hardwood","lake_pond","27"
"deciduous_hardwood","low_producing_grassland","9"
"deciduous_hardwood","manuka_kanuka","13"
"deciduous_hardwood","shortrotation_cropland","20"
"deciduous_hardwood","urban_build_up","10"
"deciduous_hardwood","urban_parkland","18"
"grose_broom","broadleaved_indigenous_hardwood","41"
"grose_broom","deciduous_hardwood","23"
"grose_broom","grose_broom","54"
"grose_broom","harvested_forest","30"
"grose_broom","herbaceous_freshwater_vege","37"
"grose_broom","high_producing_grassland","23"
"grose_broom","indigenous_forest","31"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","23"
"grose_broom","manuka_kanuka","44"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","7"
"grose_broom","urban_parkland","7"
"harvested_forest","broadleaved_indigenous_hardwood","12"
"harvested_forest","deciduous_hardwood","8"
"harvested_forest","grose_broom","6"
"harvested_forest","harvested_forest","267"
"harvested_forest","herbaceous_freshwater_vege","4"
"harvested_forest","high_producing_grassland","8"
"harvested_forest","indigenous_forest","7"
"harvested_forest","lake_pond","5"
"harvested_forest","low_producing_grassland","8"
"harvested_forest","manuka_kanuka","3"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","4"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","15"
"herbaceous_freshwater_vege","deciduous_hardwood","24"
"herbaceous_freshwater_vege","grose_broom","9"
"herbaceous_freshwater_vege","harvested_forest","32"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","100"
