"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","88"
"broadleaved_indigenous_hardwood","deciduous_hardwood","19"
"broadleaved_indigenous_hardwood","grose_broom","22"
"broadleaved_indigenous_hardwood","harvested_forest","25"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","14"
"broadleaved_indigenous_hardwood","high_producing_grassland","20"
"broadleaved_indigenous_hardwood","indigenous_forest","54"
"broadleaved_indigenous_hardwood","lake_pond","9"
"broadleaved_indigenous_hardwood","low_producing_grassland","30"
"broadleaved_indigenous_hardwood","manuka_kanuka","41"
"broadleaved_indigenous_hardwood","shortrotation_cropland","3"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","4"
"deciduous_hardwood","broadleaved_indigenous_hardwood","13"
"deciduous_hardwood","deciduous_hardwood","151"
"deciduous_hardwood","grose_broom","6"
"deciduous_hardwood","harvested_forest","7"
"deciduous_hardwood","herbaceous_freshwater_vege","30"
"deciduous_hardwood","high_producing_grassland","26"
"deciduous_hardwood","indigenous_forest","27"
"deciduous_hardwood","lake_pond","21"
"deciduous_hardwood","low_producing_grassland","16"
"deciduous_hardwood","manuka_kanuka","8"
"deciduous_hardwood","shortrotation_cropland","14"
"deciduous_hardwood","urban_build_up","7"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","39"
"grose_broom","deciduous_hardwood","16"
"grose_broom","grose_broom","99"
"grose_broom","harvested_forest","11"
"grose_broom","herbaceous_freshwater_vege","28"
"grose_broom","high_producing_grassland","30"
"grose_broom","indigenous_forest","18"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","43"
"grose_broom","manuka_kanuka","29"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","2"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","3"
"harvested_forest","harvested_forest","282"
"harvested_forest","herbaceous_freshwater_vege","6"
"harvested_forest","high_producing_grassland","8"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","20"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","3"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","13"
"herbaceous_freshwater_vege","deciduous_hardwood","35"
"herbaceous_freshwater_vege","grose_broom","20"
"herbaceous_freshwater_vege","harvested_forest","22"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","123"
"herbaceous_freshwater_vege","high_producing_grassland","20"
"herbaceous_freshwater_vege","indigenous_forest","10"
"herbaceous_freshwater_vege","lake_pond","48"
"herbaceous_freshwater_vege","low_producing_grassland","13"
"herbaceous_freshwater_vege","manuka_kanuka","17"
"herbaceous_freshwater_vege","shortrotation_cropland","10"
"herbaceous_freshwater_vege","urban_build_up","2"
"herbaceous_freshwater_vege","urban_parkland","1"
"high_producing_grassland","broadleaved_indigenous_hardwood","12"
"high_producing_grassland","deciduous_hardwood","19"
"high_producing_grassland","grose_broom","15"
"high_producing_grassland","harvested_forest","49"
"high_producing_grassland","herbaceous_freshwater_vege","10"
"high_producing_grassland","high_producing_grassland","112"
"high_producing_grassland","indigenous_forest","8"
"high_producing_grassland","lake_pond","12"
"high_producing_grassland","low_producing_grassland","23"
"high_producing_grassland","manuka_kanuka","16"
"high_producing_grassland","shortrotation_cropland","39"
"high_producing_grassland","urban_build_up","11"
"high_producing_grassland","urban_parkland","8"
"indigenous_forest","broadleaved_indigenous_hardwood","40"
"indigenous_forest","deciduous_hardwood","26"
"indigenous_forest","grose_broom","10"
"indigenous_forest","harvested_forest","11"
"indigenous_forest","herbaceous_freshwater_vege","5"
"indigenous_forest","high_producing_grassland","13"
"indigenous_forest","indigenous_forest","168"
"indigenous_forest","lake_pond","8"
"indigenous_forest","low_producing_grassland","14"
"indigenous_forest","manuka_kanuka","27"
"indigenous_forest","shortrotation_cropland","3"
"indigenous_forest","urban_build_up","2"
"indigenous_forest","urban_parkland","7"
"lake_pond","broadleaved_indigenous_hardwood","5"
"lake_pond","deciduous_hardwood","23"
"lake_pond","grose_broom","2"
"lake_pond","harvested_forest","10"
"lake_pond","herbaceous_freshwater_vege","16"
"lake_pond","high_producing_grassland","5"
"lake_pond","indigenous_forest","5"
"lake_pond","lake_pond","241"
"lake_pond","low_producing_grassland","3"
"lake_pond","manuka_kanuka","3"
"lake_pond","shortrotation_cropland","10"
"lake_pond","urban_build_up","6"
"lake_pond","urban_parkland","5"
"low_producing_grassland","broadleaved_indigenous_hardwood","16"
"low_producing_grassland","deciduous_hardwood","9"
"low_producing_grassland","grose_broom","46"
"low_producing_grassland","harvested_forest","66"
"low_producing_grassland","herbaceous_freshwater_vege","27"
"low_producing_grassland","high_producing_grassland","47"
"low_producing_grassland","indigenous_forest","4"
"low_producing_grassland","lake_pond","8"
"low_producing_grassland","low_producing_grassland","61"
"low_producing_grassland","manuka_kanuka","21"
"low_producing_grassland","shortrotation_cropland","12"
"low_producing_grassland","urban_build_up","9"
"low_producing_grassland","urban_parkland","8"
"manuka_kanuka","broadleaved_indigenous_hardwood","63"
"manuka_kanuka","deciduous_hardwood","20"
"manuka_kanuka","grose_broom","27"
"manuka_kanuka","harvested_forest","15"
"manuka_kanuka","herbaceous_freshwater_vege","16"
"manuka_kanuka","high_producing_grassland","19"
"manuka_kanuka","indigenous_forest","45"
"manuka_kanuka","lake_pond","7"
"manuka_kanuka","low_producing_grassland","31"
"manuka_kanuka","manuka_kanuka","85"
"manuka_kanuka","shortrotation_cropland","4"
"manuka_kanuka","urban_build_up","2"
"manuka_kanuka","urban_parkland","0"
"shortrotation_cropland","broadleaved_indigenous_hardwood","0"
"shortrotation_cropland","deciduous_hardwood","9"
"shortrotation_cropland","grose_broom","2"
"shortrotation_cropland","harvested_forest","9"
"shortrotation_cropland","herbaceous_freshwater_vege","2"
"shortrotation_cropland","high_producing_grassland","23"
"shortrotation_cropland","indigenous_forest","4"
"shortrotation_cropland","lake_pond","9"
"shortrotation_cropland","low_producing_grassland","1"
"shortrotation_cropland","manuka_kanuka","1"
"shortrotation_cropland","shortrotation_cropland","256"
"shortrotation_cropland","urban_build_up","10"
"shortrotation_cropland","urban_parkland","8"
"urban_build_up","broadleaved_indigenous_hardwood","1"
"urban_build_up","deciduous_hardwood","1"
"urban_build_up","grose_broom","0"
"urban_build_up","harvested_forest","2"
"urban_build_up","herbaceous_freshwater_vege","0"
"urban_build_up","high_producing_grassland","2"
"urban_build_up","indigenous_forest","0"
"urban_build_up","lake_pond","2"
"urban_build_up","low_producing_grassland","4"
"urban_build_up","manuka_kanuka","1"
"urban_build_up","shortrotation_cropland","19"
"urban_build_up","urban_build_up","259"
"urban_build_up","urban_parkland","43"
"urban_parkland","broadleaved_indigenous_hardwood","1"
"urban_parkland","deciduous_hardwood","7"
"urban_parkland","grose_broom","5"
"urban_parkland","harvested_forest","1"
"urban_parkland","herbaceous_freshwater_vege","1"
"urban_parkland","high_producing_grassland","10"
"urban_parkland","indigenous_forest","4"
"urban_parkland","lake_pond","10"
"urban_parkland","low_producing_grassland","12"
"urban_parkland","manuka_kanuka","0"
"urban_parkland","shortrotation_cropland","28"
"urban_parkland","urban_build_up","76"
"urban_parkland","urban_parkland","179"
