"epoch","spring-jazz-1 - _step","spring-jazz-1 - _step__MIN","spring-jazz-1 - _step__MAX","spring-jazz-1 - loss/train","spring-jazz-1 - loss/train__MIN","spring-jazz-1 - loss/train__MAX","spring-jazz-1 - loss/val","spring-jazz-1 - loss/val__MIN","spring-jazz-1 - loss/val__MAX"
"0","0","0","0","2.3432944477077187","2.3432944477077187","2.3432944477077187","2.224508102013734","2.224508102013734","2.224508102013734"
"1","1","1","1","2.183169439316824","2.183169439316824","2.183169439316824","2.169902346420815","2.169902346420815","2.169902346420815"
"2","2","2","2","2.125738762520455","2.125738762520455","2.125738762520455","2.1443141770769185","2.1443141770769185","2.1443141770769185"
"3","3","3","3","2.0854525901781655","2.0854525901781655","2.0854525901781655","2.1203968902712647","2.1203968902712647","2.1203968902712647"
"4","4","4","4","2.07268895946493","2.07268895946493","2.07268895946493","2.1131599448013834","2.1131599448013834","2.1131599448013834"
"5","5","5","5","2.0632167434071875","2.0632167434071875","2.0632167434071875","2.113548814783663","2.113548814783663","2.113548814783663"
"6","6","6","6","2.0719062250279348","2.0719062250279348","2.0719062250279348","2.09304370780191","2.09304370780191","2.09304370780191"
"7","7","7","7","2.0482827353864836","2.0482827353864836","2.0482827353864836","2.0898131776218425","2.0898131776218425","2.0898131776218425"
"8","8","8","8","2.050305598509305","2.050305598509305","2.050305598509305","2.091700786107809","2.091700786107809","2.091700786107809"
"9","9","9","9","2.04909284492834","2.04909284492834","2.04909284492834","2.0893506503006325","2.0893506503006325","2.0893506503006325"
"10","10","10","10","2.0620877616829745","2.0620877616829745","2.0620877616829745","2.091337193985899","2.091337193985899","2.091337193985899"
"11","11","11","11","2.0473926329324508","2.0473926329324508","2.0473926329324508","2.086834239114105","2.086834239114105","2.086834239114105"
"12","12","12","12","2.0416339067477614","2.0416339067477614","2.0416339067477614","2.0842321878861085","2.0842321878861085","2.0842321878861085"
"13","13","13","13","2.0408268056455934","2.0408268056455934","2.0408268056455934","2.0941542971798595","2.0941542971798595","2.0941542971798595"
"14","14","14","14","2.056553741888186","2.056553741888186","2.056553741888186","2.096859492612072","2.096859492612072","2.096859492612072"
"15","15","15","15","2.038926398000514","2.038926398000514","2.038926398000514","2.084697249516646","2.084697249516646","2.084697249516646"
"16","16","16","16","2.0342775861486473","2.0342775861486473","2.0342775861486473","2.0972631967106157","2.0972631967106157","2.0972631967106157"
"17","17","17","17","2.0438748811421608","2.0438748811421608","2.0438748811421608","2.0829430675243024","2.0829430675243024","2.0829430675243024"
"18","18","18","18","2.0486473794657942","2.0486473794657942","2.0486473794657942","2.083694741287741","2.083694741287741","2.083694741287741"
"19","19","19","19","2.042775462826084","2.042775462826084","2.042775462826084","2.0879827077242705","2.0879827077242705","2.0879827077242705"
"20","20","20","20","2.02935276569758","2.02935276569758","2.02935276569758","2.084224260166349","2.084224260166349","2.084224260166349"
"21","21","21","21","2.031595393298193","2.031595393298193","2.031595393298193","2.089810311107908","2.089810311107908","2.089810311107908"
"22","22","22","22","2.021290230881381","2.021290230881381","2.021290230881381","2.0809835767702043","2.0809835767702043","2.0809835767702043"
"23","23","23","23","2.02920706771286","2.02920706771286","2.02920706771286","2.0809585920735363","2.0809585920735363","2.0809585920735363"
"24","24","24","24","2.017542321366031","2.017542321366031","2.017542321366031","2.0728878527948353","2.0728878527948353","2.0728878527948353"
"25","25","25","25","2.0303033669349033","2.0303033669349033","2.0303033669349033","2.0834522566889793","2.0834522566889793","2.0834522566889793"
"26","26","26","26","2.04970018733518","2.04970018733518","2.04970018733518","2.0807208459204873","2.0807208459204873","2.0807208459204873"
"27","27","27","27","2.0131183065203824","2.0131183065203824","2.0131183065203824","2.085080548015842","2.085080548015842","2.085080548015842"
"28","28","28","28","2.0248017986679754","2.0248017986679754","2.0248017986679754","2.067668502971029","2.067668502971029","2.067668502971029"
"29","29","29","29","2.0244273708352614","2.0244273708352614","2.0244273708352614","2.0760179677903516","2.0760179677903516","2.0760179677903516"
"30","30","30","30","2.0059856669937868","2.0059856669937868","2.0059856669937868","2.0688616636984363","2.0688616636984363","2.0688616636984363"
