"epoch","distinctive-smoke-1 - _step","distinctive-smoke-1 - _step__MIN","distinctive-smoke-1 - _step__MAX","distinctive-smoke-1 - loss/train","distinctive-smoke-1 - loss/train__MIN","distinctive-smoke-1 - loss/train__MAX","distinctive-smoke-1 - loss/val","distinctive-smoke-1 - loss/val__MIN","distinctive-smoke-1 - loss/val__MAX"
"0","0","0","0","2.466123306920482","2.466123306920482","2.466123306920482","2.34565117045077","2.34565117045077","2.34565117045077"
"1","1","1","1","2.1064804339023184","2.1064804339023184","2.1064804339023184","2.1361036329212304","2.1361036329212304","2.1361036329212304"
"2","2","2","2","1.7915364096683415","1.7915364096683415","1.7915364096683415","1.9668268160795848","1.9668268160795848","1.9668268160795848"
"3","3","3","3","1.612937166510576","1.612937166510576","1.612937166510576","1.8493856904365016","1.8493856904365016","1.8493856904365016"
"4","4","4","4","1.5276827362906857","1.5276827362906857","1.5276827362906857","1.770454853210291","1.770454853210291","1.770454853210291"
"5","5","5","5","1.4946318230089004","1.4946318230089004","1.4946318230089004","1.7184361864047795","1.7184361864047795","1.7184361864047795"
"6","6","6","6","1.417869731292901","1.417869731292901","1.417869731292901","1.7006572335066197","1.7006572335066197","1.7006572335066197"
"7","7","7","7","1.4060586853324875","1.4060586853324875","1.4060586853324875","1.656822229024728","1.656822229024728","1.656822229024728"
"8","8","8","8","1.4002618966932225","1.4002618966932225","1.4002618966932225","1.6406010503540496","1.6406010503540496","1.6406010503540496"
"9","9","9","9","1.349018358743478","1.349018358743478","1.349018358743478","1.6109199347665155","1.6109199347665155","1.6109199347665155"
"10","10","10","10","1.3544375185684703","1.3544375185684703","1.3544375185684703","1.601421821562171","1.601421821562171","1.601421821562171"
"11","11","11","11","1.3177797847472625","1.3177797847472625","1.3177797847472625","1.5741428164280489","1.5741428164280489","1.5741428164280489"
"12","12","12","12","1.26958237608182","1.26958237608182","1.26958237608182","1.559964292612783","1.559964292612783","1.559964292612783"
"13","13","13","13","1.2555111901049332","1.2555111901049332","1.2555111901049332","1.5482718045126178","1.5482718045126178","1.5482718045126178"
"14","14","14","14","1.2468165750745972","1.2468165750745972","1.2468165750745972","1.554178523665911","1.554178523665911","1.554178523665911"
"15","15","15","15","1.2356011465226278","1.2356011465226278","1.2356011465226278","1.5609339035803795","1.5609339035803795","1.5609339035803795"
"16","16","16","16","1.2085707110829698","1.2085707110829698","1.2085707110829698","1.5543728465036772","1.5543728465036772","1.5543728465036772"
"17","17","17","17","1.189897234788544","1.189897234788544","1.189897234788544","1.5508896200297781","1.5508896200297781","1.5508896200297781"
"18","18","18","18","1.174248283032971","1.174248283032971","1.174248283032971","1.5448625461674133","1.5448625461674133","1.5448625461674133"
"19","19","19","19","1.1533134697687117","1.1533134697687117","1.1533134697687117","1.5506251951012948","1.5506251951012948","1.5506251951012948"
"20","20","20","20","1.1783889081620587","1.1783889081620587","1.1783889081620587","1.538460624596865","1.538460624596865","1.538460624596865"
"21","21","21","21","1.096960979989355","1.096960979989355","1.096960979989355","1.5606230356241908","1.5606230356241908","1.5606230356241908"
"22","22","22","22","1.1386329108946942","1.1386329108946942","1.1386329108946942","1.5525018842689235","1.5525018842689235","1.5525018842689235"
"23","23","23","23","1.1040580220724656","1.1040580220724656","1.1040580220724656","1.548609940372047","1.548609940372047","1.548609940372047"
"24","24","24","24","1.0799232613886887","1.0799232613886887","1.0799232613886887","1.5943250757711156","1.5943250757711156","1.5943250757711156"
"25","25","25","25","1.0400439782991153","1.0400439782991153","1.0400439782991153","1.5745852598118266","1.5745852598118266","1.5745852598118266"
"26","26","26","26","1.0305083879231225","1.0305083879231225","1.0305083879231225","1.5704892323567317","1.5704892323567317","1.5704892323567317"
"27","27","27","27","1.0353775694066047","1.0353775694066047","1.0353775694066047","1.5628645415681675","1.5628645415681675","1.5628645415681675"
"28","28","28","28","1.0431357408601012","1.0431357408601012","1.0431357408601012","1.5768746280384636","1.5768746280384636","1.5768746280384636"
"29","29","29","29","1.0138428400042192","1.0138428400042192","1.0138428400042192","1.5779550726212757","1.5779550726212757","1.5779550726212757"
"30","30","30","30","1.0450745639528682","1.0450745639528682","1.0450745639528682","1.5779356707191203","1.5779356707191203","1.5779356707191203"
