"epoch","stoic-sun-1 - _step","stoic-sun-1 - _step__MIN","stoic-sun-1 - _step__MAX","stoic-sun-1 - loss/train","stoic-sun-1 - loss/train__MIN","stoic-sun-1 - loss/train__MAX","stoic-sun-1 - loss/val","stoic-sun-1 - loss/val__MIN","stoic-sun-1 - loss/val__MAX"
"0","0","0","0","2.4885119267208973","2.4885119267208973","2.4885119267208973","2.40702751653637","2.40702751653637","2.40702751653637"
"1","1","1","1","2.170532275899167","2.170532275899167","2.170532275899167","2.208212902940182","2.208212902940182","2.208212902940182"
"2","2","2","2","1.9066537594000237","1.9066537594000237","1.9066537594000237","2.063139445712521","2.063139445712521","2.063139445712521"
"3","3","3","3","1.760688555575157","1.760688555575157","1.760688555575157","1.9725822577658803","1.9725822577658803","1.9725822577658803"
"4","4","4","4","1.6489310232158068","1.6489310232158068","1.6489310232158068","1.900868208822376","1.900868208822376","1.900868208822376"
"5","5","5","5","1.5876888755210834","1.5876888755210834","1.5876888755210834","1.844317665686535","1.844317665686535","1.844317665686535"
"6","6","6","6","1.5465956792220616","1.5465956792220616","1.5465956792220616","1.7984030051255544","1.7984030051255544","1.7984030051255544"
"7","7","7","7","1.5354336528268022","1.5354336528268022","1.5354336528268022","1.7758561551213978","1.7758561551213978","1.7758561551213978"
"8","8","8","8","1.4879771860647848","1.4879771860647848","1.4879771860647848","1.7464157833804848","1.7464157833804848","1.7464157833804848"
"9","9","9","9","1.4574670760534745","1.4574670760534745","1.4574670760534745","1.7375937381794462","1.7375937381794462","1.7375937381794462"
"10","10","10","10","1.411275940486093","1.411275940486093","1.411275940486093","1.7255315959096669","1.7255315959096669","1.7255315959096669"
"11","11","11","11","1.4184362005187796","1.4184362005187796","1.4184362005187796","1.6934722363811547","1.6934722363811547","1.6934722363811547"
"12","12","12","12","1.3878326115335873","1.3878326115335873","1.3878326115335873","1.6945039513252782","1.6945039513252782","1.6945039513252782"
"13","13","13","13","1.39643445221179","1.39643445221179","1.39643445221179","1.680026886980416","1.680026886980416","1.680026886980416"
"14","14","14","14","1.3452590992679765","1.3452590992679765","1.3452590992679765","1.6559385461007763","1.6559385461007763","1.6559385461007763"
"15","15","15","15","1.3695834697768727","1.3695834697768727","1.3695834697768727","1.6691110796337576","1.6691110796337576","1.6691110796337576"
"16","16","16","16","1.3186883870112538","1.3186883870112538","1.3186883870112538","1.6509210908539227","1.6509210908539227","1.6509210908539227"
"17","17","17","17","1.3442126592183987","1.3442126592183987","1.3442126592183987","1.6343177662418493","1.6343177662418493","1.6343177662418493"
"18","18","18","18","1.331118057001617","1.331118057001617","1.331118057001617","1.6367792842136666","1.6367792842136666","1.6367792842136666"
"19","19","19","19","1.3356568471005585","1.3356568471005585","1.3356568471005585","1.6396880746711404","1.6396880746711404","1.6396880746711404"
"20","20","20","20","1.284866226179917","1.284866226179917","1.284866226179917","1.6155742470540522","1.6155742470540522","1.6155742470540522"
"21","21","21","21","1.2935289177653733","1.2935289177653733","1.2935289177653733","1.6175779443026577","1.6175779443026577","1.6175779443026577"
"22","22","22","22","1.2894652076427124","1.2894652076427124","1.2894652076427124","1.6396634398600518","1.6396634398600518","1.6396634398600518"
"23","23","23","23","1.2637661309319386","1.2637661309319386","1.2637661309319386","1.6140198663103587","1.6140198663103587","1.6140198663103587"
"24","24","24","24","1.2351619163296252","1.2351619163296252","1.2351619163296252","1.6143817784653343","1.6143817784653343","1.6143817784653343"
"25","25","25","25","1.2397470223230669","1.2397470223230669","1.2397470223230669","1.6070411996542722","1.6070411996542722","1.6070411996542722"
"26","26","26","26","1.256017999249191","1.256017999249191","1.256017999249191","1.6128705140908486","1.6128705140908486","1.6128705140908486"
"27","27","27","27","1.226068140233299","1.226068140233299","1.226068140233299","1.6122937465471807","1.6122937465471807","1.6122937465471807"
"28","28","28","28","1.2402532931797259","1.2402532931797259","1.2402532931797259","1.6064559691845135","1.6064559691845135","1.6064559691845135"
"29","29","29","29","1.1902967282827634","1.1902967282827634","1.1902967282827634","1.596889795437764","1.596889795437764","1.596889795437764"
"30","30","30","30","1.1971714803431837","1.1971714803431837","1.1971714803431837","1.6294097503392393","1.6294097503392393","1.6294097503392393"
"31","31","31","31","1.1848822580465352","1.1848822580465352","1.1848822580465352","1.6005992254646404","1.6005992254646404","1.6005992254646404"
"32","32","32","32","1.1761236792785101","1.1761236792785101","1.1761236792785101","1.5994575077462778","1.5994575077462778","1.5994575077462778"
"33","33","33","33","1.1647758931994006","1.1647758931994006","1.1647758931994006","1.6113133921924137","1.6113133921924137","1.6113133921924137"
"34","34","34","34","1.1408675015661416","1.1408675015661416","1.1408675015661416","1.610764017307171","1.610764017307171","1.610764017307171"
"35","35","35","35","1.1410315092737897","1.1410315092737897","1.1410315092737897","1.6124684823267694","1.6124684823267694","1.6124684823267694"
"36","36","36","36","1.1095877192838233","1.1095877192838233","1.1095877192838233","1.6202617082547504","1.6202617082547504","1.6202617082547504"
"37","37","37","37","1.119993770622349","1.119993770622349","1.119993770622349","1.6007633060422815","1.6007633060422815","1.6007633060422815"
"38","38","38","38","1.1419706338268178","1.1419706338268178","1.1419706338268178","1.6077730741329537","1.6077730741329537","1.6077730741329537"
"39","39","39","39","1.106609992573229","1.106609992573229","1.106609992573229","1.623485258568931","1.623485258568931","1.623485258568931"
"40","40","40","40","1.0807522820418878","1.0807522820418878","1.0807522820418878","1.6330201087158323","1.6330201087158323","1.6330201087158323"
"41","41","41","41","1.1075882978272462","1.1075882978272462","1.1075882978272462","1.6235137596376368","1.6235137596376368","1.6235137596376368"
"42","42","42","42","1.0495811304269982","1.0495811304269982","1.0495811304269982","1.6245900652255951","1.6245900652255951","1.6245900652255951"
"43","43","43","43","1.081379974439381","1.081379974439381","1.081379974439381","1.6388909985864288","1.6388909985864288","1.6388909985864288"
"44","44","44","44","1.0237776415070199","1.0237776415070199","1.0237776415070199","1.6303407131170469","1.6303407131170469","1.6303407131170469"
"45","45","45","45","1.0691588568821249","1.0691588568821249","1.0691588568821249","1.6526258655650887","1.6526258655650887","1.6526258655650887"
"46","46","46","46","1.0302052400654478","1.0302052400654478","1.0302052400654478","1.654802360495133","1.654802360495133","1.654802360495133"
"47","47","47","47","1.0914325438147137","1.0914325438147137","1.0914325438147137","1.6455216528028456","1.6455216528028456","1.6455216528028456"
"48","48","48","48","1.047981824698563","1.047981824698563","1.047981824698563","1.67343316535036","1.67343316535036","1.67343316535036"
"49","49","49","49","1.0406421859967272","1.0406421859967272","1.0406421859967272","1.6544047329954044","1.6544047329954044","1.6544047329954044"
