"epoch","young-waterfall-1 - _step","young-waterfall-1 - _step__MIN","young-waterfall-1 - _step__MAX","young-waterfall-1 - loss/train","young-waterfall-1 - loss/train__MIN","young-waterfall-1 - loss/train__MAX","young-waterfall-1 - loss/val","young-waterfall-1 - loss/val__MIN","young-waterfall-1 - loss/val__MAX"
"0","0","0","0","2.2811120726874106","2.2811120726874106","2.2811120726874106","2.229511987114216","2.229511987114216","2.229511987114216"
"1","1","1","1","2.103229791498609","2.103229791498609","2.103229791498609","2.186603032405999","2.186603032405999","2.186603032405999"
"2","2","2","2","2.041871434967681","2.041871434967681","2.041871434967681","2.1602858465863286","2.1602858465863286","2.1602858465863286"
"3","3","3","3","2.0186121364283696","2.0186121364283696","2.0186121364283696","2.1344717528511445","2.1344717528511445","2.1344717528511445"
"4","4","4","4","2.0043841766264228","2.0043841766264228","2.0043841766264228","2.133728524277914","2.133728524277914","2.133728524277914"
"5","5","5","5","2.01254384375201","2.01254384375201","2.01254384375201","2.125978267341097","2.125978267341097","2.125978267341097"
"6","6","6","6","1.9978948228388347","1.9978948228388347","1.9978948228388347","2.1269543156103294","2.1269543156103294","2.1269543156103294"
"7","7","7","7","1.9863348005470485","1.9863348005470485","1.9863348005470485","2.1112797785222615","2.1112797785222615","2.1112797785222615"
"8","8","8","8","2.003812979408206","2.003812979408206","2.003812979408206","2.1121621632674827","2.1121621632674827","2.1121621632674827"
"9","9","9","9","1.9950175682047722","1.9950175682047722","1.9950175682047722","2.116142441742105","2.116142441742105","2.116142441742105"
"10","10","10","10","1.9788304829369208","1.9788304829369208","1.9788304829369208","2.110713059316852","2.110713059316852","2.110713059316852"
"11","11","11","11","1.9842626872335027","1.9842626872335027","1.9842626872335027","2.106451790325107","2.106451790325107","2.106451790325107"
"12","12","12","12","1.9952637216839393","1.9952637216839393","1.9952637216839393","2.0968635423784154","2.0968635423784154","2.0968635423784154"
"13","13","13","13","1.978498474919548","1.978498474919548","1.978498474919548","2.093806663014163","2.093806663014163","2.093806663014163"
"14","14","14","14","1.9799898270373693","1.9799898270373693","1.9799898270373693","2.115756823686014","2.115756823686014","2.115756823686014"
"15","15","15","15","1.9874570296597032","1.9874570296597032","1.9874570296597032","2.0908872080200664","2.0908872080200664","2.0908872080200664"
"16","16","16","16","1.977271878502872","1.977271878502872","1.977271878502872","2.093563154731023","2.093563154731023","2.093563154731023"
"17","17","17","17","1.9678641397908168","1.9678641397908168","1.9678641397908168","2.095077361999048","2.095077361999048","2.095077361999048"
"18","18","18","18","1.9632798809310947","1.9632798809310947","1.9632798809310947","2.097792794329952","2.097792794329952","2.097792794329952"
"19","19","19","19","1.9640756703792683","1.9640756703792683","1.9640756703792683","2.09134168017575","2.09134168017575","2.09134168017575"
"20","20","20","20","1.96173393727136","1.96173393727136","1.96173393727136","2.105787267777185","2.105787267777185","2.105787267777185"
"21","21","21","21","1.9687604980604134","1.9687604980604134","1.9687604980604134","2.1018336586884123","2.1018336586884123","2.1018336586884123"
"22","22","22","22","1.9730437136593728","1.9730437136593728","1.9730437136593728","2.106910070149594","2.106910070149594","2.106910070149594"
"23","23","23","23","1.96054345885296","1.96054345885296","1.96054345885296","2.0894304068612373","2.0894304068612373","2.0894304068612373"
"24","24","24","24","1.9615791751276586","1.9615791751276586","1.9615791751276586","2.0916680762538267","2.0916680762538267","2.0916680762538267"
"25","25","25","25","1.961746188412802","1.961746188412802","1.961746188412802","2.088195263268705","2.088195263268705","2.088195263268705"
"26","26","26","26","1.9439978246603833","1.9439978246603833","1.9439978246603833","2.100521331446229","2.100521331446229","2.100521331446229"
"27","27","27","27","1.964124671379384","1.964124671379384","1.964124671379384","2.094086412898081","2.094086412898081","2.094086412898081"
"28","28","28","28","1.9626430262429913","1.9626430262429913","1.9626430262429913","2.1091520796718273","2.1091520796718273","2.1091520796718273"
