"epoch","jolly-monkey-1 - _step","jolly-monkey-1 - _step__MIN","jolly-monkey-1 - _step__MAX","jolly-monkey-1 - loss/train","jolly-monkey-1 - loss/train__MIN","jolly-monkey-1 - loss/train__MAX","jolly-monkey-1 - loss/val","jolly-monkey-1 - loss/val__MIN","jolly-monkey-1 - loss/val__MAX"
"0","0","0","0","2.5551325583133004","2.5551325583133004","2.5551325583133004","2.5120086602931857","2.5120086602931857","2.5120086602931857"
"1","1","1","1","2.4869357081202","2.4869357081202","2.4869357081202","2.4017544835462705","2.4017544835462705","2.4017544835462705"
"2","2","2","2","2.380624405642144","2.380624405642144","2.380624405642144","2.2798137199708473","2.2798137199708473","2.2798137199708473"
"3","3","3","3","2.296079215730247","2.296079215730247","2.296079215730247","2.166817516129668","2.166817516129668","2.166817516129668"
"4","4","4","4","2.2320700770136006","2.2320700770136006","2.2320700770136006","2.0857776444060416","2.0857776444060416","2.0857776444060416"
"5","5","5","5","2.1524196764866015","2.1524196764866015","2.1524196764866015","1.997614202824456","1.997614202824456","1.997614202824456"
"6","6","6","6","2.088661642761918","2.088661642761918","2.088661642761918","1.9114421630773277","1.9114421630773277","1.9114421630773277"
"7","7","7","7","2.0397680504654154","2.0397680504654154","2.0397680504654154","1.8609236985074382","1.8609236985074382","1.8609236985074382"
"8","8","8","8","1.9823952268083642","1.9823952268083642","1.9823952268083642","1.812418797278613","1.812418797278613","1.812418797278613"
"9","9","9","9","1.9431269542535916","1.9431269542535916","1.9431269542535916","1.7806742873844164","1.7806742873844164","1.7806742873844164"
"10","10","10","10","1.9264491159829458","1.9264491159829458","1.9264491159829458","1.764661547391989","1.764661547391989","1.764661547391989"
"11","11","11","11","1.8928419582891696","1.8928419582891696","1.8928419582891696","1.723822092526742","1.723822092526742","1.723822092526742"
"12","12","12","12","1.8542132743871578","1.8542132743871578","1.8542132743871578","1.7174655432417776","1.7174655432417776","1.7174655432417776"
"13","13","13","13","1.8690051789866444","1.8690051789866444","1.8690051789866444","1.691325613509011","1.691325613509011","1.691325613509011"
"14","14","14","14","1.834807644046793","1.834807644046793","1.834807644046793","1.6919205736751548","1.6919205736751548","1.6919205736751548"
"15","15","15","15","1.833569290236475","1.833569290236475","1.833569290236475","1.6709130855267742","1.6709130855267742","1.6709130855267742"
"16","16","16","16","1.7965904639758037","1.7965904639758037","1.7965904639758037","1.6613302433452317","1.6613302433452317","1.6613302433452317"
"17","17","17","17","1.742190233056775","1.742190233056775","1.742190233056775","1.6584660484185696","1.6584660484185696","1.6584660484185696"
"18","18","18","18","1.7778247831930158","1.7778247831930158","1.7778247831930158","1.6406582285324476","1.6406582285324476","1.6406582285324476"
"19","19","19","19","1.7109041432911376","1.7109041432911376","1.7109041432911376","1.6342585177972864","1.6342585177972864","1.6342585177972864"
"20","20","20","20","1.7434396997118249","1.7434396997118249","1.7434396997118249","1.636708238881505","1.636708238881505","1.636708238881505"
"21","21","21","21","1.691913412773298","1.691913412773298","1.691913412773298","1.6307339116429909","1.6307339116429909","1.6307339116429909"
"22","22","22","22","1.6656427267215135","1.6656427267215135","1.6656427267215135","1.6202671047950439","1.6202671047950439","1.6202671047950439"
"23","23","23","23","1.6645443147862857","1.6645443147862857","1.6645443147862857","1.6294209601856058","1.6294209601856058","1.6294209601856058"
"24","24","24","24","1.6428676901471673","1.6428676901471673","1.6428676901471673","1.6066704191188557","1.6066704191188557","1.6066704191188557"
"25","25","25","25","1.6656195880579712","1.6656195880579712","1.6656195880579712","1.597779476494352","1.597779476494352","1.597779476494352"
"26","26","26","26","1.6291131640064382","1.6291131640064382","1.6291131640064382","1.591334201948042","1.591334201948042","1.591334201948042"
"27","27","27","27","1.5812192634556965","1.5812192634556965","1.5812192634556965","1.603525705295793","1.603525705295793","1.603525705295793"
"28","28","28","28","1.588155870791202","1.588155870791202","1.588155870791202","1.6081069023144623","1.6081069023144623","1.6081069023144623"
"29","29","29","29","1.5768675348394654","1.5768675348394654","1.5768675348394654","1.5976547198271434","1.5976547198271434","1.5976547198271434"
"30","30","30","30","1.6340752621119996","1.6340752621119996","1.6340752621119996","1.6107615521293475","1.6107615521293475","1.6107615521293475"
"31","31","31","31","1.5645026554822317","1.5645026554822317","1.5645026554822317","1.5965676108904556","1.5965676108904556","1.5965676108904556"
"32","32","32","32","1.5258919437368352","1.5258919437368352","1.5258919437368352","1.5927367120336027","1.5927367120336027","1.5927367120336027"
"33","33","33","33","1.565622448287844","1.565622448287844","1.565622448287844","1.606722317275667","1.606722317275667","1.606722317275667"
"34","34","34","34","1.5629237046773783","1.5629237046773783","1.5629237046773783","1.6048539635334516","1.6048539635334516","1.6048539635334516"
"35","35","35","35","1.5002749276012493","1.5002749276012493","1.5002749276012493","1.5952762030940186","1.5952762030940186","1.5952762030940186"
"36","36","36","36","1.5198696586545442","1.5198696586545442","1.5198696586545442","1.593566065337569","1.593566065337569","1.593566065337569"
"37","37","37","37","1.5695779084002732","1.5695779084002732","1.5695779084002732","1.591382446018906","1.591382446018906","1.591382446018906"
"38","38","38","38","1.540943078037552","1.540943078037552","1.540943078037552","1.591517793259166","1.591517793259166","1.591517793259166"
"39","39","39","39","1.54504436383927","1.54504436383927","1.54504436383927","1.5940354037317797","1.5940354037317797","1.5940354037317797"
"40","40","40","40","1.541464708396099","1.541464708396099","1.541464708396099","1.5819662632562224","1.5819662632562224","1.5819662632562224"
"41","41","41","41","1.547503638058233","1.547503638058233","1.547503638058233","1.597344988559809","1.597344988559809","1.597344988559809"
"42","42","42","42","1.520605100966348","1.520605100966348","1.520605100966348","1.5990961961952677","1.5990961961952677","1.5990961961952677"
