"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","93"
"broadleaved_indigenous_hardwood","deciduous_hardwood","16"
"broadleaved_indigenous_hardwood","grose_broom","22"
"broadleaved_indigenous_hardwood","harvested_forest","18"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","11"
"broadleaved_indigenous_hardwood","high_producing_grassland","25"
"broadleaved_indigenous_hardwood","indigenous_forest","55"
"broadleaved_indigenous_hardwood","lake_pond","7"
"broadleaved_indigenous_hardwood","low_producing_grassland","35"
"broadleaved_indigenous_hardwood","manuka_kanuka","41"
"broadleaved_indigenous_hardwood","shortrotation_cropland","1"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","4"
"deciduous_hardwood","broadleaved_indigenous_hardwood","15"
"deciduous_hardwood","deciduous_hardwood","157"
"deciduous_hardwood","grose_broom","11"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","26"
"deciduous_hardwood","high_producing_grassland","30"
"deciduous_hardwood","indigenous_forest","24"
"deciduous_hardwood","lake_pond","14"
"deciduous_hardwood","low_producing_grassland","16"
"deciduous_hardwood","manuka_kanuka","10"
"deciduous_hardwood","shortrotation_cropland","11"
"deciduous_hardwood","urban_build_up","8"
"deciduous_hardwood","urban_parkland","10"
"grose_broom","broadleaved_indigenous_hardwood","35"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","100"
"grose_broom","harvested_forest","8"
"grose_broom","herbaceous_freshwater_vege","23"
"grose_broom","high_producing_grassland","34"
"grose_broom","indigenous_forest","17"
"grose_broom","lake_pond","6"
"grose_broom","low_producing_grassland","44"
"grose_broom","manuka_kanuka","34"
"grose_broom","shortrotation_cropland","4"
"grose_broom","urban_build_up","7"
"grose_broom","urban_parkland","1"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","6"
"harvested_forest","grose_broom","5"
"harvested_forest","harvested_forest","268"
"harvested_forest","herbaceous_freshwater_vege","4"
"harvested_forest","high_producing_grassland","11"
"harvested_forest","indigenous_forest","0"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","25"
"harvested_forest","manuka_kanuka","6"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","12"
"herbaceous_freshwater_vege","deciduous_hardwood","40"
"herbaceous_freshwater_vege","grose_broom","23"
"herbaceous_freshwater_vege","harvested_forest","21"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","128"
"herbaceous_freshwater_vege","high_producing_grassland","19"
"herbaceous_freshwater_vege","indigenous_forest","4"
"herbaceous_freshwater_vege","lake_pond","35"
"herbaceous_freshwater_vege","low_producing_grassland","19"
"herbaceous_freshwater_vege","manuka_kanuka","18"
"herbaceous_freshwater_vege","shortrotation_cropland","9"
"herbaceous_freshwater_vege","urban_build_up","3"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","14"
"high_producing_grassland","deciduous_hardwood","15"
"high_producing_grassland","grose_broom","17"
"high_producing_grassland","harvested_forest","38"
"high_producing_grassland","herbaceous_freshwater_vege","9"
"high_producing_grassland","high_producing_grassland","112"
"high_producing_grassland","indigenous_forest","11"
"high_producing_grassland","lake_pond","6"
"high_producing_grassland","low_producing_grassland","32"
"high_producing_grassland","manuka_kanuka","13"
"high_producing_grassland","shortrotation_cropland","41"
"high_producing_grassland","urban_build_up","16"
"high_producing_grassland","urban_parkland","10"
"indigenous_forest","broadleaved_indigenous_hardwood","44"
"indigenous_forest","deciduous_hardwood","29"
"indigenous_forest","grose_broom","9"
"indigenous_forest","harvested_forest","8"
"indigenous_forest","herbaceous_freshwater_vege","6"
"indigenous_forest","high_producing_grassland","17"
"indigenous_forest","indigenous_forest","154"
"indigenous_forest","lake_pond","7"
"indigenous_forest","low_producing_grassland","21"
"indigenous_forest","manuka_kanuka","28"
"indigenous_forest","shortrotation_cropland","1"
"indigenous_forest","urban_build_up","3"
"indigenous_forest","urban_parkland","7"
"lake_pond","broadleaved_indigenous_hardwood","3"
"lake_pond","deciduous_hardwood","27"
"lake_pond","grose_broom","6"
