"epoch","revived-sweep-1 - _step","revived-sweep-1 - _step__MIN","revived-sweep-1 - _step__MAX","revived-sweep-1 - loss/train","revived-sweep-1 - loss/train__MIN","revived-sweep-1 - loss/train__MAX","revived-sweep-1 - loss/val","revived-sweep-1 - loss/val__MIN","revived-sweep-1 - loss/val__MAX"
"0","0","0","0","2.427909510934388","2.427909510934388","2.427909510934388","2.2808068654110003","2.2808068654110003","2.2808068654110003"
"1","1","1","1","2.3044333622805357","2.3044333622805357","2.3044333622805357","2.1909700682063304","2.1909700682063304","2.1909700682063304"
"2","2","2","2","2.2628729530821934","2.2628729530821934","2.2628729530821934","2.17245510732562","2.17245510732562","2.17245510732562"
"3","3","3","3","2.237353461086374","2.237353461086374","2.237353461086374","2.1408221320807246","2.1408221320807246","2.1408221320807246"
"4","4","4","4","2.215961868796042","2.215961868796042","2.215961868796042","2.1238929283119248","2.1238929283119248","2.1238929283119248"
"5","5","5","5","2.200765840743659","2.200765840743659","2.200765840743659","2.115477820356449","2.115477820356449","2.115477820356449"
"6","6","6","6","2.1940320870013434","2.1940320870013434","2.1940320870013434","2.1072018823004273","2.1072018823004273","2.1072018823004273"
"7","7","7","7","2.175710128705609","2.175710128705609","2.175710128705609","2.1021320176860363","2.1021320176860363","2.1021320176860363"
"8","8","8","8","2.1997842025035266","2.1997842025035266","2.1997842025035266","2.1069517494181453","2.1069517494181453","2.1069517494181453"
"9","9","9","9","2.1780436258448326","2.1780436258448326","2.1780436258448326","2.0874384334152167","2.0874384334152167","2.0874384334152167"
"10","10","10","10","2.172228535968449","2.172228535968449","2.172228535968449","2.091351185839937","2.091351185839937","2.091351185839937"
"11","11","11","11","2.1695753404602076","2.1695753404602076","2.1695753404602076","2.0988054395216174","2.0988054395216174","2.0988054395216174"
"12","12","12","12","2.1555385944371266","2.1555385944371266","2.1555385944371266","2.079151303029071","2.079151303029071","2.079151303029071"
"13","13","13","13","2.18135724753179","2.18135724753179","2.18135724753179","2.081864561643649","2.081864561643649","2.081864561643649"
"14","14","14","14","2.1727617587698465","2.1727617587698465","2.1727617587698465","2.0676302114756413","2.0676302114756413","2.0676302114756413"
"15","15","15","15","2.168809019852807","2.168809019852807","2.168809019852807","2.08555850692742","2.08555850692742","2.08555850692742"
"16","16","16","16","2.1648470336221357","2.1648470336221357","2.1648470336221357","2.078177792089208","2.078177792089208","2.078177792089208"
"17","17","17","17","2.1561772958628014","2.1561772958628014","2.1561772958628014","2.079419908024978","2.079419908024978","2.079419908024978"
"18","18","18","18","2.1556566741698027","2.1556566741698027","2.1556566741698027","2.0835437098168823","2.0835437098168823","2.0835437098168823"
"19","19","19","19","2.1658687186672085","2.1658687186672085","2.1658687186672085","2.074592766427928","2.074592766427928","2.074592766427928"
"20","20","20","20","2.1592482498284395","2.1592482498284395","2.1592482498284395","2.0671226232077107","2.0671226232077107","2.0671226232077107"
"21","21","21","21","2.1569070322967567","2.1569070322967567","2.1569070322967567","2.07096628338881","2.07096628338881","2.07096628338881"
"22","22","22","22","2.1604862039757657","2.1604862039757657","2.1604862039757657","2.0703613967293695","2.0703613967293695","2.0703613967293695"
"23","23","23","23","2.1663293662117327","2.1663293662117327","2.1663293662117327","2.065840277623493","2.065840277623493","2.065840277623493"
"24","24","24","24","2.1687807115800943","2.1687807115800943","2.1687807115800943","2.077823381828087","2.077823381828087","2.077823381828087"
"25","25","25","25","2.1540587442469428","2.1540587442469428","2.1540587442469428","2.0709721936656824","2.0709721936656824","2.0709721936656824"
"26","26","26","26","2.150409366464154","2.150409366464154","2.150409366464154","2.077934403784096","2.077934403784096","2.077934403784096"
"27","27","27","27","2.15513022690573","2.15513022690573","2.15513022690573","2.072482670523065","2.072482670523065","2.072482670523065"
"28","28","28","28","2.130631780764695","2.130631780764695","2.130631780764695","2.0585775101366046","2.0585775101366046","2.0585775101366046"
"29","29","29","29","2.138586669371077","2.138586669371077","2.138586669371077","2.06453050610548","2.06453050610548","2.06453050610548"
"30","30","30","30","2.1281993076449535","2.1281993076449535","2.1281993076449535","2.0760318265978173","2.0760318265978173","2.0760318265978173"
"31","31","31","31","2.1365425785132044","2.1365425785132044","2.1365425785132044","2.0620072616623712","2.0620072616623712","2.0620072616623712"
"32","32","32","32","2.136356641686028","2.136356641686028","2.136356641686028","2.0520432398430164","2.0520432398430164","2.0520432398430164"
"33","33","33","33","2.1315811078254794","2.1315811078254794","2.1315811078254794","2.056802100764063","2.056802100764063","2.056802100764063"
"34","34","34","34","2.1527692045971043","2.1527692045971043","2.1527692045971043","2.056777590159061","2.056777590159061","2.056777590159061"
"35","35","35","35","2.1497306291572986","2.1497306291572986","2.1497306291572986","2.0630853952542254","2.0630853952542254","2.0630853952542254"
"36","36","36","36","2.155809154426315","2.155809154426315","2.155809154426315","2.072936782085747","2.072936782085747","2.072936782085747"
"37","37","37","37","2.1102071971941414","2.1102071971941414","2.1102071971941414","2.0522792818138864","2.0522792818138864","2.0522792818138864"
"38","38","38","38","2.147014978704657","2.147014978704657","2.147014978704657","2.0573546290123095","2.0573546290123095","2.0573546290123095"
"39","39","39","39","2.1281696527432175","2.1281696527432175","2.1281696527432175","2.060635403299705","2.060635403299705","2.060635403299705"
"40","40","40","40","2.131386348408478","2.131386348408478","2.131386348408478","2.0495312977693754","2.0495312977693754","2.0495312977693754"
"41","41","41","41","2.132562802388118","2.132562802388118","2.132562802388118","2.058699461953643","2.058699461953643","2.058699461953643"
"42","42","42","42","2.1191606138773755","2.1191606138773755","2.1191606138773755","2.0581484379058934","2.0581484379058934","2.0581484379058934"
