"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","79"
"broadleaved_indigenous_hardwood","deciduous_hardwood","13"
"broadleaved_indigenous_hardwood","grose_broom","16"
"broadleaved_indigenous_hardwood","harvested_forest","25"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","11"
"broadleaved_indigenous_hardwood","high_producing_grassland","16"
"broadleaved_indigenous_hardwood","indigenous_forest","64"
"broadleaved_indigenous_hardwood","lake_pond","18"
"broadleaved_indigenous_hardwood","low_producing_grassland","33"
"broadleaved_indigenous_hardwood","manuka_kanuka","43"
"broadleaved_indigenous_hardwood","shortrotation_cropland","7"
"broadleaved_indigenous_hardwood","urban_build_up","8"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","14"
"deciduous_hardwood","deciduous_hardwood","136"
"deciduous_hardwood","grose_broom","4"
"deciduous_hardwood","harvested_forest","5"
"deciduous_hardwood","herbaceous_freshwater_vege","13"
"deciduous_hardwood","high_producing_grassland","33"
"deciduous_hardwood","indigenous_forest","34"
"deciduous_hardwood","lake_pond","38"
"deciduous_hardwood","low_producing_grassland","10"
"deciduous_hardwood","manuka_kanuka","11"
"deciduous_hardwood","shortrotation_cropland","19"
"deciduous_hardwood","urban_build_up","9"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","34"
"grose_broom","deciduous_hardwood","18"
"grose_broom","grose_broom","91"
"grose_broom","harvested_forest","13"
"grose_broom","herbaceous_freshwater_vege","28"
"grose_broom","high_producing_grassland","25"
"grose_broom","indigenous_forest","28"
"grose_broom","lake_pond","17"
"grose_broom","low_producing_grassland","31"
"grose_broom","manuka_kanuka","32"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","8"
"grose_broom","urban_parkland","4"
"harvested_forest","broadleaved_indigenous_hardwood","3"
"harvested_forest","deciduous_hardwood","9"
"harvested_forest","grose_broom","10"
"harvested_forest","harvested_forest","265"
"harvested_forest","herbaceous_freshwater_vege","4"
"harvested_forest","high_producing_grassland","9"
"harvested_forest","indigenous_forest","3"
"harvested_forest","lake_pond","7"
"harvested_forest","low_producing_grassland","14"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","3"
"harvested_forest","urban_build_up","0"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","12"
"herbaceous_freshwater_vege","deciduous_hardwood","28"
"herbaceous_freshwater_vege","grose_broom","18"
"herbaceous_freshwater_vege","harvested_forest","20"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","97"
"herbaceous_freshwater_vege","high_producing_grassland","21"
"herbaceous_freshwater_vege","indigenous_forest","17"
"herbaceous_freshwater_vege","lake_pond","67"
"herbaceous_freshwater_vege","low_producing_grassland","13"
"herbaceous_freshwater_vege","manuka_kanuka","21"
"herbaceous_freshwater_vege","shortrotation_cropland","14"
"herbaceous_freshwater_vege","urban_build_up","6"
"herbaceous_freshwater_vege","urban_parkland","0"
"high_producing_grassland","broadleaved_indigenous_hardwood","9"
"high_producing_grassland","deciduous_hardwood","20"
"high_producing_grassland","grose_broom","11"
"high_producing_grassland","harvested_forest","44"
"high_producing_grassland","herbaceous_freshwater_vege","5"
"high_producing_grassland","high_producing_grassland","92"
"high_producing_grassland","indigenous_forest","21"
"high_producing_grassland","lake_pond","24"
"high_producing_grassland","low_producing_grassland","16"
"high_producing_grassland","manuka_kanuka","22"
"high_producing_grassland","shortrotation_cropland","45"
"high_producing_grassland","urban_build_up","16"
"high_producing_grassland","urban_parkland","9"
"indigenous_forest","broadleaved_indigenous_hardwood","35"
"indigenous_forest","deciduous_hardwood","25"
"indigenous_forest","grose_broom","14"
"indigenous_forest","harvested_forest","6"
"indigenous_forest","herbaceous_freshwater_vege","3"
"indigenous_forest","high_producing_grassland","18"
"indigenous_forest","indigenous_forest","155"
"indigenous_forest","lake_pond","18"
"indigenous_forest","low_producing_grassland","21"
"indigenous_forest","manuka_kanuka","22"
"indigenous_forest","shortrotation_cropland","3"
"indigenous_forest","urban_build_up","6"
"indigenous_forest","urban_parkland","8"
"lake_pond","broadleaved_indigenous_hardwood","6"
"lake_pond","deciduous_hardwood","26"
"lake_pond","grose_broom","7"
"lake_pond","harvested_forest","15"
"lake_pond","herbaceous_freshwater_vege","9"
"lake_pond","high_producing_grassland","8"
"lake_pond","indigenous_forest","10"
"lake_pond","lake_pond","208"
"lake_pond","low_producing_grassland","8"
"lake_pond","manuka_kanuka","2"
"lake_pond","shortrotation_cropland","12"
"lake_pond","urban_build_up","15"
"lake_pond","urban_parkland","8"
"low_producing_grassland","broadleaved_indigenous_hardwood","13"
"low_producing_grassland","deciduous_hardwood","13"
"low_producing_grassland","grose_broom","42"
"low_producing_grassland","harvested_forest","62"
"low_producing_grassland","herbaceous_freshwater_vege","20"
"low_producing_grassland","high_producing_grassland","38"
"low_producing_grassland","indigenous_forest","19"
"low_producing_grassland","lake_pond","17"
"low_producing_grassland","low_producing_grassland","50"
"low_producing_grassland","manuka_kanuka","29"
"low_producing_grassland","shortrotation_cropland","16"
"low_producing_grassland","urban_build_up","10"
"low_producing_grassland","urban_parkland","5"
"manuka_kanuka","broadleaved_indigenous_hardwood","47"
"manuka_kanuka","deciduous_hardwood","23"
"manuka_kanuka","grose_broom","29"
"manuka_kanuka","harvested_forest","14"
"manuka_kanuka","herbaceous_freshwater_vege","15"
"manuka_kanuka","high_producing_grassland","19"
"manuka_kanuka","indigenous_forest","58"
"manuka_kanuka","lake_pond","16"
"manuka_kanuka","low_producing_grassland","26"
"manuka_kanuka","manuka_kanuka","80"
"manuka_kanuka","shortrotation_cropland","3"
"manuka_kanuka","urban_build_up","3"
"manuka_kanuka","urban_parkland","1"
"shortrotation_cropland","broadleaved_indigenous_hardwood","1"
"shortrotation_cropland","deciduous_hardwood","8"
"shortrotation_cropland","grose_broom","0"
"shortrotation_cropland","harvested_forest","8"
"shortrotation_cropland","herbaceous_freshwater_vege","0"
"shortrotation_cropland","high_producing_grassland","22"
"shortrotation_cropland","indigenous_forest","4"
"shortrotation_cropland","lake_pond","18"
"shortrotation_cropland","low_producing_grassland","1"
"shortrotation_cropland","manuka_kanuka","0"
"shortrotation_cropland","shortrotation_cropland","254"
"shortrotation_cropland","urban_build_up","10"
"shortrotation_cropland","urban_parkland","8"
"urban_build_up","broadleaved_indigenous_hardwood","0"
"urban_build_up","deciduous_hardwood","0"
"urban_build_up","grose_broom","2"
"urban_build_up","harvested_forest","4"
"urban_build_up","herbaceous_freshwater_vege","1"
"urban_build_up","high_producing_grassland","0"
"urban_build_up","indigenous_forest","0"
"urban_build_up","lake_pond","4"
"urban_build_up","low_producing_grassland","2"
"urban_build_up","manuka_kanuka","2"
"urban_build_up","shortrotation_cropland","20"
"urban_build_up","urban_build_up","267"
"urban_build_up","urban_parkland","32"
"urban_parkland","broadleaved_indigenous_hardwood","0"
"urban_parkland","deciduous_hardwood","11"
"urban_parkland","grose_broom","2"
"urban_parkland","harvested_forest","1"
"urban_parkland","herbaceous_freshwater_vege","3"
"urban_parkland","high_producing_grassland","8"
"urban_parkland","indigenous_forest","7"
"urban_parkland","lake_pond","20"
"urban_parkland","low_producing_grassland","7"
"urban_parkland","manuka_kanuka","0"
"urban_parkland","shortrotation_cropland","24"
"urban_parkland","urban_build_up","113"
"urban_parkland","urban_parkland","138"
