"epoch","spring-sweep-1 - _step","spring-sweep-1 - _step__MIN","spring-sweep-1 - _step__MAX","spring-sweep-1 - loss/train","spring-sweep-1 - loss/train__MIN","spring-sweep-1 - loss/train__MAX","spring-sweep-1 - loss/val","spring-sweep-1 - loss/val__MIN","spring-sweep-1 - loss/val__MAX"
"0","0","0","0","2.5274921563955455","2.5274921563955455","2.5274921563955455","2.4591008783320247","2.4591008783320247","2.4591008783320247"
"1","1","1","1","2.3807097602878096","2.3807097602878096","2.3807097602878096","2.2535693901906306","2.2535693901906306","2.2535693901906306"
"2","2","2","2","2.210884345706398","2.210884345706398","2.210884345706398","2.0776874554536136","2.0776874554536136","2.0776874554536136"
"3","3","3","3","2.051418309381022","2.051418309381022","2.051418309381022","1.9442873010433308","1.9442873010433308","1.9442873010433308"
"4","4","4","4","1.9131567668632643","1.9131567668632643","1.9131567668632643","1.833846601183543","1.833846601183543","1.833846601183543"
"5","5","5","5","1.8143042692771325","1.8143042692771325","1.8143042692771325","1.7541374602333184","1.7541374602333184","1.7541374602333184"
"6","6","6","6","1.7371776223888058","1.7371776223888058","1.7371776223888058","1.7095258214516553","1.7095258214516553","1.7095258214516553"
"7","7","7","7","1.7299016863989407","1.7299016863989407","1.7299016863989407","1.669182230228106","1.669182230228106","1.669182230228106"
"8","8","8","8","1.6573756562887565","1.6573756562887565","1.6573756562887565","1.628342697226139","1.628342697226139","1.628342697226139"
"9","9","9","9","1.6452187708849033","1.6452187708849033","1.6452187708849033","1.6199564818466166","1.6199564818466166","1.6199564818466166"
"10","10","10","10","1.5900207066677026","1.5900207066677026","1.5900207066677026","1.5965330739660453","1.5965330739660453","1.5965330739660453"
"11","11","11","11","1.5837949498517978","1.5837949498517978","1.5837949498517978","1.5953534694928169","1.5953534694928169","1.5953534694928169"
"12","12","12","12","1.5853241514524765","1.5853241514524765","1.5853241514524765","1.569672639388634","1.569672639388634","1.569672639388634"
"13","13","13","13","1.5177727119457087","1.5177727119457087","1.5177727119457087","1.558591887677446","1.558591887677446","1.558591887677446"
"14","14","14","14","1.4993932190731432","1.4993932190731432","1.4993932190731432","1.556692595143628","1.556692595143628","1.556692595143628"
"15","15","15","15","1.4658784092178005","1.4658784092178005","1.4658784092178005","1.5345732866482271","1.5345732866482271","1.5345732866482271"
"16","16","16","16","1.4678019509160307","1.4678019509160307","1.4678019509160307","1.5462273816697776","1.5462273816697776","1.5462273816697776"
"17","17","17","17","1.4661732388318642","1.4661732388318642","1.4661732388318642","1.5448024863199614","1.5448024863199614","1.5448024863199614"
"18","18","18","18","1.4230114886393914","1.4230114886393914","1.4230114886393914","1.5387476986314448","1.5387476986314448","1.5387476986314448"
"19","19","19","19","1.397470155587563","1.397470155587563","1.397470155587563","1.5432650138023865","1.5432650138023865","1.5432650138023865"
"20","20","20","20","1.380693256061458","1.380693256061458","1.380693256061458","1.5353518992950705","1.5353518992950705","1.5353518992950705"
"21","21","21","21","1.4050273268356832","1.4050273268356832","1.4050273268356832","1.5494431083732791","1.5494431083732791","1.5494431083732791"
"22","22","22","22","1.3139653983553485","1.3139653983553485","1.3139653983553485","1.5386575045315476","1.5386575045315476","1.5386575045315476"
"23","23","23","23","1.3243030979788515","1.3243030979788515","1.3243030979788515","1.543674843094965","1.543674843094965","1.543674843094965"
"24","24","24","24","1.287707322271618","1.287707322271618","1.287707322271618","1.5339626295123985","1.5339626295123985","1.5339626295123985"
"25","25","25","25","1.2516847808332838","1.2516847808332838","1.2516847808332838","1.5492767621053083","1.5492767621053083","1.5492767621053083"
"26","26","26","26","1.2050896389244576","1.2050896389244576","1.2050896389244576","1.5608663394779503","1.5608663394779503","1.5608663394779503"
"27","27","27","27","1.2219451834287869","1.2219451834287869","1.2219451834287869","1.5608413430305736","1.5608413430305736","1.5608413430305736"
"28","28","28","28","1.1688217309981408","1.1688217309981408","1.1688217309981408","1.5689599686973603","1.5689599686973603","1.5689599686973603"
"29","29","29","29","1.1479712902794224","1.1479712902794224","1.1479712902794224","1.5705508229261387","1.5705508229261387","1.5705508229261387"
"30","30","30","30","1.184602592735601","1.184602592735601","1.184602592735601","1.5843396867710784","1.5843396867710784","1.5843396867710784"
"31","31","31","31","1.1821359307808283","1.1821359307808283","1.1821359307808283","1.5834521972216093","1.5834521972216093","1.5834521972216093"
"32","32","32","32","1.133570585554168","1.133570585554168","1.133570585554168","1.5882053945208408","1.5882053945208408","1.5882053945208408"
"33","33","33","33","1.0531137067185352","1.0531137067185352","1.0531137067185352","1.6005869059450668","1.6005869059450668","1.6005869059450668"
"34","34","34","34","1.0993084859477698","1.0993084859477698","1.0993084859477698","1.603834359286733","1.603834359286733","1.603834359286733"
"35","35","35","35","1.093177937191619","1.093177937191619","1.093177937191619","1.6043854670720077","1.6043854670720077","1.6043854670720077"
"36","36","36","36","1.0445475525404575","1.0445475525404575","1.0445475525404575","1.5924046751762084","1.5924046751762084","1.5924046751762084"
"37","37","37","37","1.061524728831102","1.061524728831102","1.061524728831102","1.6052125083966389","1.6052125083966389","1.6052125083966389"
"38","38","38","38","1.0549542497645115","1.0549542497645115","1.0549542497645115","1.6124999098160584","1.6124999098160584","1.6124999098160584"
"39","39","39","39","1.059558299959764","1.059558299959764","1.059558299959764","1.6118637927936992","1.6118637927936992","1.6118637927936992"
