"epoch","ancient-sweep-1 - _step","ancient-sweep-1 - _step__MIN","ancient-sweep-1 - _step__MAX","ancient-sweep-1 - loss/train","ancient-sweep-1 - loss/train__MIN","ancient-sweep-1 - loss/train__MAX","ancient-sweep-1 - loss/val","ancient-sweep-1 - loss/val__MIN","ancient-sweep-1 - loss/val__MAX"
"0","0","0","0","2.524568033641612","2.524568033641612","2.524568033641612","2.461852661644133","2.461852661644133","2.461852661644133"
"1","1","1","1","2.3929731182798126","2.3929731182798126","2.3929731182798126","2.2794436572170214","2.2794436572170214","2.2794436572170214"
"2","2","2","2","2.2607901699444244","2.2607901699444244","2.2607901699444244","2.1546290895456766","2.1546290895456766","2.1546290895456766"
"3","3","3","3","2.1291688049333337","2.1291688049333337","2.1291688049333337","2.05177775949226","2.05177775949226","2.05177775949226"
"4","4","4","4","2.0119630680281735","2.0119630680281735","2.0119630680281735","1.946277874727394","1.946277874727394","1.946277874727394"
"5","5","5","5","1.9245627540103076","1.9245627540103076","1.9245627540103076","1.87584134918487","1.87584134918487","1.87584134918487"
"6","6","6","6","1.855994301787495","1.855994301787495","1.855994301787495","1.8281581902602806","1.8281581902602806","1.8281581902602806"
"7","7","7","7","1.8491503998372683","1.8491503998372683","1.8491503998372683","1.7806934855710193","1.7806934855710193","1.7806934855710193"
"8","8","8","8","1.7805412841971808","1.7805412841971808","1.7805412841971808","1.7508075247157944","1.7508075247157944","1.7508075247157944"
"9","9","9","9","1.7739285174206163","1.7739285174206163","1.7739285174206163","1.7388127572741832","1.7388127572741832","1.7388127572741832"
"10","10","10","10","1.7195049838201535","1.7195049838201535","1.7195049838201535","1.7126952313652022","1.7126952313652022","1.7126952313652022"
"11","11","11","11","1.71691104399382","1.71691104399382","1.71691104399382","1.7007014950207993","1.7007014950207993","1.7007014950207993"
"12","12","12","12","1.7181887637228654","1.7181887637228654","1.7181887637228654","1.6800925039245698","1.6800925039245698","1.6800925039245698"
"13","13","13","13","1.6578006749675118","1.6578006749675118","1.6578006749675118","1.669388704067109","1.669388704067109","1.669388704067109"
"14","14","14","14","1.6493483691878572","1.6493483691878572","1.6493483691878572","1.6622234268816645","1.6622234268816645","1.6622234268816645"
"15","15","15","15","1.6174852580008423","1.6174852580008423","1.6174852580008423","1.6404786788610093","1.6404786788610093","1.6404786788610093"
"16","16","16","16","1.620883450529279","1.620883450529279","1.620883450529279","1.649069769873371","1.649069769873371","1.649069769873371"
