"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","109"
"broadleaved_indigenous_hardwood","deciduous_hardwood","28"
"broadleaved_indigenous_hardwood","grose_broom","18"
"broadleaved_indigenous_hardwood","harvested_forest","9"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","6"
"broadleaved_indigenous_hardwood","high_producing_grassland","15"
"broadleaved_indigenous_hardwood","indigenous_forest","50"
"broadleaved_indigenous_hardwood","lake_pond","14"
"broadleaved_indigenous_hardwood","low_producing_grassland","16"
"broadleaved_indigenous_hardwood","manuka_kanuka","61"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","19"
"deciduous_hardwood","deciduous_hardwood","199"
"deciduous_hardwood","grose_broom","2"
"deciduous_hardwood","harvested_forest","1"
"deciduous_hardwood","herbaceous_freshwater_vege","20"
"deciduous_hardwood","high_producing_grassland","20"
"deciduous_hardwood","indigenous_forest","15"
"deciduous_hardwood","lake_pond","18"
"deciduous_hardwood","low_producing_grassland","8"
"deciduous_hardwood","manuka_kanuka","16"
"deciduous_hardwood","shortrotation_cropland","6"
"deciduous_hardwood","urban_build_up","2"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","48"
"grose_broom","deciduous_hardwood","25"
"grose_broom","grose_broom","93"
"grose_broom","harvested_forest","3"
"grose_broom","herbaceous_freshwater_vege","24"
"grose_broom","high_producing_grassland","23"
"grose_broom","indigenous_forest","5"
"grose_broom","lake_pond","11"
"grose_broom","low_producing_grassland","33"
"grose_broom","manuka_kanuka","62"
"grose_broom","shortrotation_cropland","2"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","2"
"harvested_forest","broadleaved_indigenous_hardwood","9"
"harvested_forest","deciduous_hardwood","4"
"harvested_forest","grose_broom","9"
"harvested_forest","harvested_forest","252"
"harvested_forest","herbaceous_freshwater_vege","7"
"harvested_forest","high_producing_grassland","18"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","1"
"harvested_forest","low_producing_grassland","23"
"harvested_forest","manuka_kanuka","6"
"harvested_forest","shortrotation_cropland","3"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","8"
"herbaceous_freshwater_vege","deciduous_hardwood","47"
"herbaceous_freshwater_vege","grose_broom","18"
"herbaceous_freshwater_vege","harvested_forest","8"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","129"
"herbaceous_freshwater_vege","high_producing_grassland","18"
"herbaceous_freshwater_vege","indigenous_forest","10"
"herbaceous_freshwater_vege","lake_pond","48"
"herbaceous_freshwater_vege","low_producing_grassland","12"
"herbaceous_freshwater_vege","manuka_kanuka","25"
"herbaceous_freshwater_vege","shortrotation_cropland","7"
"herbaceous_freshwater_vege","urban_build_up","1"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","14"
"high_producing_grassland","deciduous_hardwood","23"
"high_producing_grassland","grose_broom","18"
"high_producing_grassland","harvested_forest","24"
"high_producing_grassland","herbaceous_freshwater_vege","9"
"high_producing_grassland","high_producing_grassland","134"
"high_producing_grassland","indigenous_forest","6"
"high_producing_grassland","lake_pond","4"
"high_producing_grassland","low_producing_grassland","34"
"high_producing_grassland","manuka_kanuka","19"
"high_producing_grassland","shortrotation_cropland","31"
"high_producing_grassland","urban_build_up","12"
"high_producing_grassland","urban_parkland","6"
"indigenous_forest","broadleaved_indigenous_hardwood","53"
"indigenous_forest","deciduous_hardwood","26"
"indigenous_forest","grose_broom","5"
"indigenous_forest","harvested_forest","4"
"indigenous_forest","herbaceous_freshwater_vege","5"
"indigenous_forest","high_producing_grassland","12"
