"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","75"
"broadleaved_indigenous_hardwood","deciduous_hardwood","23"
"broadleaved_indigenous_hardwood","grose_broom","24"
"broadleaved_indigenous_hardwood","harvested_forest","26"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","20"
"broadleaved_indigenous_hardwood","high_producing_grassland","12"
"broadleaved_indigenous_hardwood","indigenous_forest","60"
"broadleaved_indigenous_hardwood","lake_pond","12"
"broadleaved_indigenous_hardwood","low_producing_grassland","26"
"broadleaved_indigenous_hardwood","manuka_kanuka","42"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","7"
"broadleaved_indigenous_hardwood","urban_parkland","5"
"deciduous_hardwood","broadleaved_indigenous_hardwood","12"
"deciduous_hardwood","deciduous_hardwood","129"
"deciduous_hardwood","grose_broom","3"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","18"
"deciduous_hardwood","high_producing_grassland","43"
"deciduous_hardwood","indigenous_forest","34"
"deciduous_hardwood","lake_pond","29"
"deciduous_hardwood","low_producing_grassland","14"
"deciduous_hardwood","manuka_kanuka","15"
"deciduous_hardwood","shortrotation_cropland","14"
"deciduous_hardwood","urban_build_up","13"
"deciduous_hardwood","urban_parkland","8"
"grose_broom","broadleaved_indigenous_hardwood","31"
"grose_broom","deciduous_hardwood","26"
"grose_broom","grose_broom","82"
"grose_broom","harvested_forest","10"
"grose_broom","herbaceous_freshwater_vege","35"
"grose_broom","high_producing_grassland","27"
"grose_broom","indigenous_forest","21"
"grose_broom","lake_pond","18"
"grose_broom","low_producing_grassland","32"
"grose_broom","manuka_kanuka","39"
"grose_broom","shortrotation_cropland","4"
"grose_broom","urban_build_up","5"
"grose_broom","urban_parkland","4"
"harvested_forest","broadleaved_indigenous_hardwood","9"
"harvested_forest","deciduous_hardwood","6"
"harvested_forest","grose_broom","8"
"harvested_forest","harvested_forest","252"
"harvested_forest","herbaceous_freshwater_vege","10"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","4"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","22"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","2"
"harvested_forest","urban_parkland","2"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","11"
"herbaceous_freshwater_vege","deciduous_hardwood","25"
"herbaceous_freshwater_vege","grose_broom","19"
"herbaceous_freshwater_vege","harvested_forest","25"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","108"
"herbaceous_freshwater_vege","high_producing_grassland","34"
"herbaceous_freshwater_vege","indigenous_forest","12"
"herbaceous_freshwater_vege","lake_pond","51"
"herbaceous_freshwater_vege","low_producing_grassland","10"
"herbaceous_freshwater_vege","manuka_kanuka","21"
"herbaceous_freshwater_vege","shortrotation_cropland","12"
"herbaceous_freshwater_vege","urban_build_up","2"
"herbaceous_freshwater_vege","urban_parkland","4"
"high_producing_grassland","broadleaved_indigenous_hardwood","13"
"high_producing_grassland","deciduous_hardwood","21"
"high_producing_grassland","grose_broom","20"
"high_producing_grassland","harvested_forest","38"
"high_producing_grassland","herbaceous_freshwater_vege","6"
"high_producing_grassland","high_producing_grassland","102"
"high_producing_grassland","indigenous_forest","12"
"high_producing_grassland","lake_pond","19"
"high_producing_grassland","low_producing_grassland","32"
"high_producing_grassland","manuka_kanuka","20"
"high_producing_grassland","shortrotation_cropland","28"
