"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","58"
"broadleaved_indigenous_hardwood","deciduous_hardwood","41"
"broadleaved_indigenous_hardwood","grose_broom","36"
"broadleaved_indigenous_hardwood","harvested_forest","18"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","14"
"broadleaved_indigenous_hardwood","high_producing_grassland","16"
"broadleaved_indigenous_hardwood","indigenous_forest","86"
"broadleaved_indigenous_hardwood","lake_pond","9"
"broadleaved_indigenous_hardwood","low_producing_grassland","5"
"broadleaved_indigenous_hardwood","manuka_kanuka","43"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","3"
"deciduous_hardwood","broadleaved_indigenous_hardwood","4"
"deciduous_hardwood","deciduous_hardwood","198"
"deciduous_hardwood","grose_broom","10"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","22"
"deciduous_hardwood","high_producing_grassland","18"
"deciduous_hardwood","indigenous_forest","30"
"deciduous_hardwood","lake_pond","14"
"deciduous_hardwood","low_producing_grassland","4"
"deciduous_hardwood","manuka_kanuka","3"
"deciduous_hardwood","shortrotation_cropland","21"
"deciduous_hardwood","urban_build_up","2"
"deciduous_hardwood","urban_parkland","6"
"grose_broom","broadleaved_indigenous_hardwood","32"
"grose_broom","deciduous_hardwood","34"
"grose_broom","grose_broom","121"
"grose_broom","harvested_forest","17"
"grose_broom","herbaceous_freshwater_vege","27"
"grose_broom","high_producing_grassland","23"
"grose_broom","indigenous_forest","24"
"grose_broom","lake_pond","9"
"grose_broom","low_producing_grassland","13"
"grose_broom","manuka_kanuka","26"
"grose_broom","shortrotation_cropland","5"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","0"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","13"
"harvested_forest","harvested_forest","270"
"harvested_forest","herbaceous_freshwater_vege","15"
"harvested_forest","high_producing_grassland","13"
"harvested_forest","indigenous_forest","6"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","5"
"harvested_forest","manuka_kanuka","2"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","0"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","3"
"herbaceous_freshwater_vege","deciduous_hardwood","45"
"herbaceous_freshwater_vege","grose_broom","18"
"herbaceous_freshwater_vege","harvested_forest","16"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","155"
"herbaceous_freshwater_vege","high_producing_grassland","16"
"herbaceous_freshwater_vege","indigenous_forest","12"
"herbaceous_freshwater_vege","lake_pond","36"
"herbaceous_freshwater_vege","low_producing_grassland","5"
"herbaceous_freshwater_vege","manuka_kanuka","12"
"herbaceous_freshwater_vege","shortrotation_cropland","14"
"herbaceous_freshwater_vege","urban_build_up","0"
"herbaceous_freshwater_vege","urban_parkland","2"
"high_producing_grassland","broadleaved_indigenous_hardwood","12"
"high_producing_grassland","deciduous_hardwood","22"
"high_producing_grassland","grose_broom","31"
"high_producing_grassland","harvested_forest","33"
"high_producing_grassland","herbaceous_freshwater_vege","12"
"high_producing_grassland","high_producing_grassland","125"
"high_producing_grassland","indigenous_forest","18"
