"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","94"
"broadleaved_indigenous_hardwood","deciduous_hardwood","27"
"broadleaved_indigenous_hardwood","grose_broom","20"
"broadleaved_indigenous_hardwood","harvested_forest","10"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","7"
"broadleaved_indigenous_hardwood","high_producing_grassland","11"
"broadleaved_indigenous_hardwood","indigenous_forest","69"
"broadleaved_indigenous_hardwood","lake_pond","16"
"broadleaved_indigenous_hardwood","low_producing_grassland","30"
"broadleaved_indigenous_hardwood","manuka_kanuka","43"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","1"
"deciduous_hardwood","broadleaved_indigenous_hardwood","11"
"deciduous_hardwood","deciduous_hardwood","179"
"deciduous_hardwood","grose_broom","3"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","18"
"deciduous_hardwood","high_producing_grassland","29"
"deciduous_hardwood","indigenous_forest","25"
"deciduous_hardwood","lake_pond","20"
"deciduous_hardwood","low_producing_grassland","18"
"deciduous_hardwood","manuka_kanuka","8"
"deciduous_hardwood","shortrotation_cropland","7"
"deciduous_hardwood","urban_build_up","3"
"deciduous_hardwood","urban_parkland","11"
"grose_broom","broadleaved_indigenous_hardwood","44"
"grose_broom","deciduous_hardwood","28"
"grose_broom","grose_broom","85"
"grose_broom","harvested_forest","6"
"grose_broom","herbaceous_freshwater_vege","19"
"grose_broom","high_producing_grassland","24"
"grose_broom","indigenous_forest","15"
"grose_broom","lake_pond","11"
"grose_broom","low_producing_grassland","59"
"grose_broom","manuka_kanuka","35"
"grose_broom","shortrotation_cropland","0"
"grose_broom","urban_build_up","4"
"grose_broom","urban_parkland","4"
"harvested_forest","broadleaved_indigenous_hardwood","5"
"harvested_forest","deciduous_hardwood","2"
"harvested_forest","grose_broom","9"
"harvested_forest","harvested_forest","263"
"harvested_forest","herbaceous_freshwater_vege","7"
"harvested_forest","high_producing_grassland","10"
"harvested_forest","indigenous_forest","1"
"harvested_forest","lake_pond","0"
"harvested_forest","low_producing_grassland","31"
"harvested_forest","manuka_kanuka","4"
"harvested_forest","shortrotation_cropland","0"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","6"
"herbaceous_freshwater_vege","deciduous_hardwood","39"
"herbaceous_freshwater_vege","grose_broom","19"
"herbaceous_freshwater_vege","harvested_forest","12"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","136"
"herbaceous_freshwater_vege","high_producing_grassland","13"
"herbaceous_freshwater_vege","indigenous_forest","11"
"herbaceous_freshwater_vege","lake_pond","49"
"herbaceous_freshwater_vege","low_producing_grassland","24"
"herbaceous_freshwater_vege","manuka_kanuka","14"
"herbaceous_freshwater_vege","shortrotation_cropland","7"
"herbaceous_freshwater_vege","urban_build_up","1"
"herbaceous_freshwater_vege","urban_parkland","3"
"high_producing_grassland","broadleaved_indigenous_hardwood","6"
"high_producing_grassland","deciduous_hardwood","17"
"high_producing_grassland","grose_broom","16"
"high_producing_grassland","harvested_forest","29"
