"epoch","spring-sweep-1 - _step","spring-sweep-1 - _step__MIN","spring-sweep-1 - _step__MAX","spring-sweep-1 - loss/train","spring-sweep-1 - loss/train__MIN","spring-sweep-1 - loss/train__MAX","spring-sweep-1 - loss/val","spring-sweep-1 - loss/val__MIN","spring-sweep-1 - loss/val__MAX"
"0","0","0","0","2.1688089187328634","2.1688089187328634","2.1688089187328634","1.9849135228863843","1.9849135228863843","1.9849135228863843"
"1","1","1","1","2.0077045605231754","2.0077045605231754","2.0077045605231754","1.906679361660543","1.906679361660543","1.906679361660543"
"2","2","2","2","1.936228376118362","1.936228376118362","1.936228376118362","1.9121308186701067","1.9121308186701067","1.9121308186701067"
"3","3","3","3","1.86634868040161","1.86634868040161","1.86634868040161","1.9044276453393332","1.9044276453393332","1.9044276453393332"
"4","4","4","4","1.7888667879108624","1.7888667879108624","1.7888667879108624","1.9549317122713754","1.9549317122713754","1.9549317122713754"
"5","5","5","5","1.700484466031601","1.700484466031601","1.700484466031601","1.9740385306370198","1.9740385306370198","1.9740385306370198"
"6","6","6","6","1.6473420054133874","1.6473420054133874","1.6473420054133874","2.0123148334569945","2.0123148334569945","2.0123148334569945"
"7","7","7","7","1.5601998020892085","1.5601998020892085","1.5601998020892085","2.0699828564434326","2.0699828564434326","2.0699828564434326"
"8","8","8","8","1.5912785907912124","1.5912785907912124","1.5912785907912124","2.045859159164745","2.045859159164745","2.045859159164745"
"9","9","9","9","1.5130253754628211","1.5130253754628211","1.5130253754628211","2.049849928386307","2.049849928386307","2.049849928386307"
"10","10","10","10","1.4843101811138408","1.4843101811138408","1.4843101811138408","2.0632085118190533","2.0632085118190533","2.0632085118190533"
"11","11","11","11","1.484102576457437","1.484102576457437","1.484102576457437","2.084480652881624","2.084480652881624","2.084480652881624"
"12","12","12","12","1.4399119635097315","1.4399119635097315","1.4399119635097315","2.099381936689172","2.099381936689172","2.099381936689172"
"13","13","13","13","1.503522265603834","1.503522265603834","1.503522265603834","2.0827642277823455","2.0827642277823455","2.0827642277823455"
