"epoch","easy-sweep-1 - _step","easy-sweep-1 - _step__MIN","easy-sweep-1 - _step__MAX","easy-sweep-1 - loss/train","easy-sweep-1 - loss/train__MIN","easy-sweep-1 - loss/train__MAX","easy-sweep-1 - loss/val","easy-sweep-1 - loss/val__MIN","easy-sweep-1 - loss/val__MAX"
"0","0","0","0","1.7792117328560084","1.7792117328560084","1.7792117328560084","1.729121183206935","1.729121183206935","1.729121183206935"
"1","1","1","1","1.349865335216421","1.349865335216421","1.349865335216421","1.6109959319240759","1.6109959319240759","1.6109959319240759"
"2","2","2","2","1.2736015433278198","1.2736015433278198","1.2736015433278198","1.5437238283390167","1.5437238283390167","1.5437238283390167"
"3","3","3","3","1.1996427892564654","1.1996427892564654","1.1996427892564654","1.5124563447125547","1.5124563447125547","1.5124563447125547"
"4","4","4","4","1.1723211931491124","1.1723211931491124","1.1723211931491124","1.501674095313706","1.501674095313706","1.501674095313706"
"5","5","5","5","1.1372595043208809","1.1372595043208809","1.1372595043208809","1.5058792605481353","1.5058792605481353","1.5058792605481353"
"6","6","6","6","1.0902706777754818","1.0902706777754818","1.0902706777754818","1.4927823679999568","1.4927823679999568","1.4927823679999568"
"7","7","7","7","1.096702244680923","1.096702244680923","1.096702244680923","1.4759392830041738","1.4759392830041738","1.4759392830041738"
"8","8","8","8","1.054206156791234","1.054206156791234","1.054206156791234","1.5196731924077214","1.5196731924077214","1.5196731924077214"
"9","9","9","9","0.9922590754507981","0.9922590754507981","0.9922590754507981","1.518813081569575","1.518813081569575","1.518813081569575"
"10","10","10","10","0.983948785869319","0.983948785869319","0.983948785869319","1.5201944356577455","1.5201944356577455","1.5201944356577455"
"11","11","11","11","0.9703366701915209","0.9703366701915209","0.9703366701915209","1.5526983838979684","1.5526983838979684","1.5526983838979684"
"12","12","12","12","0.9183247197883238","0.9183247197883238","0.9183247197883238","1.5786825056616363","1.5786825056616363","1.5786825056616363"
"13","13","13","13","0.9181379596970598","0.9181379596970598","0.9181379596970598","1.5689374340783062","1.5689374340783062","1.5689374340783062"
"14","14","14","14","0.876734327487897","0.876734327487897","0.876734327487897","1.597216282391647","1.597216282391647","1.597216282391647"
"15","15","15","15","0.8286561468066671","0.8286561468066671","0.8286561468066671","1.6479611301246408","1.6479611301246408","1.6479611301246408"
"16","16","16","16","0.7613126754719436","0.7613126754719436","0.7613126754719436","1.684252472145664","1.684252472145664","1.684252472145664"
"17","17","17","17","0.7572433668324071","0.7572433668324071","0.7572433668324071","1.6977122309898682","1.6977122309898682","1.6977122309898682"
"18","18","18","18","0.7427420504072793","0.7427420504072793","0.7427420504072793","1.7060882379689122","1.7060882379689122","1.7060882379689122"
"19","19","19","19","0.8003898484515769","0.8003898484515769","0.8003898484515769","1.694238159965118","1.694238159965118","1.694238159965118"
