"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","85"
"broadleaved_indigenous_hardwood","deciduous_hardwood","16"
"broadleaved_indigenous_hardwood","grose_broom","44"
"broadleaved_indigenous_hardwood","harvested_forest","11"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","13"
"broadleaved_indigenous_hardwood","high_producing_grassland","2"
"broadleaved_indigenous_hardwood","indigenous_forest","75"
"broadleaved_indigenous_hardwood","lake_pond","13"
"broadleaved_indigenous_hardwood","low_producing_grassland","29"
"broadleaved_indigenous_hardwood","manuka_kanuka","41"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","5"
"broadleaved_indigenous_hardwood","urban_parkland","0"
"deciduous_hardwood","broadleaved_indigenous_hardwood","12"
"deciduous_hardwood","deciduous_hardwood","183"
"deciduous_hardwood","grose_broom","10"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","32"
"deciduous_hardwood","high_producing_grassland","8"
"deciduous_hardwood","indigenous_forest","27"
"deciduous_hardwood","lake_pond","23"
"deciduous_hardwood","low_producing_grassland","12"
"deciduous_hardwood","manuka_kanuka","15"
"deciduous_hardwood","shortrotation_cropland","6"
"deciduous_hardwood","urban_build_up","1"
"deciduous_hardwood","urban_parkland","3"
"grose_broom","broadleaved_indigenous_hardwood","32"
"grose_broom","deciduous_hardwood","21"
"grose_broom","grose_broom","127"
"grose_broom","harvested_forest","6"
"grose_broom","herbaceous_freshwater_vege","35"
"grose_broom","high_producing_grassland","8"
"grose_broom","indigenous_forest","23"
"grose_broom","lake_pond","12"
"grose_broom","low_producing_grassland","38"
"grose_broom","manuka_kanuka","28"
"grose_broom","shortrotation_cropland","1"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","0"
"harvested_forest","broadleaved_indigenous_hardwood","8"
"harvested_forest","deciduous_hardwood","5"
"harvested_forest","grose_broom","22"
"harvested_forest","harvested_forest","236"
"harvested_forest","herbaceous_freshwater_vege","11"
"harvested_forest","high_producing_grassland","2"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","40"
"harvested_forest","manuka_kanuka","2"
"harvested_forest","shortrotation_cropland","2"
"harvested_forest","urban_build_up","1"
"harvested_forest","urban_parkland","1"
"herbaceous_freshwater_vege","broadleaved_indigenous_hardwood","3"
"herbaceous_freshwater_vege","deciduous_hardwood","30"
"herbaceous_freshwater_vege","grose_broom","32"
"herbaceous_freshwater_vege","harvested_forest","7"
"herbaceous_freshwater_vege","herbaceous_freshwater_vege","156"
"herbaceous_freshwater_vege","high_producing_grassland","7"
