"epoch","woven-sweep-1 - _step","woven-sweep-1 - _step__MIN","woven-sweep-1 - _step__MAX","woven-sweep-1 - loss/train","woven-sweep-1 - loss/train__MIN","woven-sweep-1 - loss/train__MAX","woven-sweep-1 - loss/val","woven-sweep-1 - loss/val__MIN","woven-sweep-1 - loss/val__MAX"
"0","0","0","0","1.8444029156950776","1.8444029156950776","1.8444029156950776","1.9561224632799104","1.9561224632799104","1.9561224632799104"
"1","1","1","1","1.682191986221451","1.682191986221451","1.682191986221451","1.9368430458966734","1.9368430458966734","1.9368430458966734"
"2","2","2","2","1.6385744636343544","1.6385744636343544","1.6385744636343544","1.8893357054641422","1.8893357054641422","1.8893357054641422"
"3","3","3","3","1.5861109965776676","1.5861109965776676","1.5861109965776676","1.9087974831345222","1.9087974831345222","1.9087974831345222"
"4","4","4","4","1.5581185940259819","1.5581185940259819","1.5581185940259819","1.9393979055658566","1.9393979055658566","1.9393979055658566"
"5","5","5","5","1.5126908432944428","1.5126908432944428","1.5126908432944428","2.035993857517708","2.035993857517708","2.035993857517708"
"6","6","6","6","1.4671658035733457","1.4671658035733457","1.4671658035733457","2.0125569424174556","2.0125569424174556","2.0125569424174556"
"7","7","7","7","1.463128513842649","1.463128513842649","1.463128513842649","2.040627256564312","2.040627256564312","2.040627256564312"
"8","8","8","8","1.4278715407498634","1.4278715407498634","1.4278715407498634","2.068693138827162","2.068693138827162","2.068693138827162"
"9","9","9","9","1.385021308947722","1.385021308947722","1.385021308947722","2.1504471956008815","2.1504471956008815","2.1504471956008815"
"10","10","10","10","1.3917502422590513","1.3917502422590513","1.3917502422590513","2.1151359157043905","2.1151359157043905","2.1151359157043905"
"11","11","11","11","1.3921266731144126","1.3921266731144126","1.3921266731144126","2.1046177208670707","2.1046177208670707","2.1046177208670707"
"12","12","12","12","1.3647884783939777","1.3647884783939777","1.3647884783939777","2.1747791378358605","2.1747791378358605","2.1747791378358605"
