"epoch","devout-sweep-1 - _step","devout-sweep-1 - _step__MIN","devout-sweep-1 - _step__MAX","devout-sweep-1 - loss/train","devout-sweep-1 - loss/train__MIN","devout-sweep-1 - loss/train__MAX","devout-sweep-1 - loss/val","devout-sweep-1 - loss/val__MIN","devout-sweep-1 - loss/val__MAX"
"0","0","0","0","1.714676794842777","1.714676794842777","1.714676794842777","1.8501747302446756","1.8501747302446756","1.8501747302446756"
"1","1","1","1","1.490702070521273","1.490702070521273","1.490702070521273","1.7807464579841827","1.7807464579841827","1.7807464579841827"
"2","2","2","2","1.464105765465419","1.464105765465419","1.464105765465419","1.761525118587095","1.761525118587095","1.761525118587095"
"3","3","3","3","1.429924810695494","1.429924810695494","1.429924810695494","1.7549927850189104","1.7549927850189104","1.7549927850189104"
"4","4","4","4","1.433395100358618","1.433395100358618","1.433395100358618","1.741760175000792","1.741760175000792","1.741760175000792"
"5","5","5","5","1.4255083631659577","1.4255083631659577","1.4255083631659577","1.7316875360847783","1.7316875360847783","1.7316875360847783"
"6","6","6","6","1.4110217098551994","1.4110217098551994","1.4110217098551994","1.730572185336253","1.730572185336253","1.730572185336253"
"7","7","7","7","1.4445414856389478","1.4445414856389478","1.4445414856389478","1.7222474141913808","1.7222474141913808","1.7222474141913808"
"8","8","8","8","1.431256964042022","1.431256964042022","1.431256964042022","1.70725546592614","1.70725546592614","1.70725546592614"
"9","9","9","9","1.401167833493912","1.401167833493912","1.401167833493912","1.7103117945445732","1.7103117945445732","1.7103117945445732"
"10","10","10","10","1.417391692306076","1.417391692306076","1.417391692306076","1.723395304024247","1.723395304024247","1.723395304024247"
"11","11","11","11","1.4296370573147363","1.4296370573147363","1.4296370573147363","1.7046616573259064","1.7046616573259064","1.7046616573259064"
"12","12","12","12","1.4111202138900536","1.4111202138900536","1.4111202138900536","1.70781177976943","1.70781177976943","1.70781177976943"
"13","13","13","13","1.4166094235168867","1.4166094235168867","1.4166094235168867","1.6986521610956706","1.6986521610956706","1.6986521610956706"
"14","14","14","14","1.4074290003063883","1.4074290003063883","1.4074290003063883","1.697239890317113","1.697239890317113","1.697239890317113"
"15","15","15","15","1.3961949703131076","1.3961949703131076","1.3961949703131076","1.6946266882433862","1.6946266882433862","1.6946266882433862"
"16","16","16","16","1.3790187521491928","1.3790187521491928","1.3790187521491928","1.7172785652556875","1.7172785652556875","1.7172785652556875"
"17","17","17","17","1.3830067069405467","1.3830067069405467","1.3830067069405467","1.6918687060207664","1.6918687060207664","1.6918687060207664"
"18","18","18","18","1.3758260414544747","1.3758260414544747","1.3758260414544747","1.6994317158857615","1.6994317158857615","1.6994317158857615"
"19","19","19","19","1.4184997503078405","1.4184997503078405","1.4184997503078405","1.6949014158525646","1.6949014158525646","1.6949014158525646"
