"epoch","swift-sweep-1 - _step","swift-sweep-1 - _step__MIN","swift-sweep-1 - _step__MAX","swift-sweep-1 - loss/train","swift-sweep-1 - loss/train__MIN","swift-sweep-1 - loss/train__MAX","swift-sweep-1 - loss/val","swift-sweep-1 - loss/val__MIN","swift-sweep-1 - loss/val__MAX"
"0","0","0","0","1.676731392467268","1.676731392467268","1.676731392467268","1.7156379801070618","1.7156379801070618","1.7156379801070618"
"1","1","1","1","1.281769058537138","1.281769058537138","1.281769058537138","1.6446382866538323","1.6446382866538323","1.6446382866538323"
"2","2","2","2","1.1688620338171087","1.1688620338171087","1.1688620338171087","1.5567859418377905","1.5567859418377905","1.5567859418377905"
"3","3","3","3","1.116691726170074","1.116691726170074","1.116691726170074","1.514554580967858","1.514554580967858","1.514554580967858"
"4","4","4","4","1.115629292579969","1.115629292579969","1.115629292579969","1.5155515175489498","1.5155515175489498","1.5155515175489498"
"5","5","5","5","1.0600916715976798","1.0600916715976798","1.0600916715976798","1.5240518821653053","1.5240518821653053","1.5240518821653053"
"6","6","6","6","1.042316620031813","1.042316620031813","1.042316620031813","1.5107673933186436","1.5107673933186436","1.5107673933186436"
"7","7","7","7","1.0153222942702442","1.0153222942702442","1.0153222942702442","1.4819243444050034","1.4819243444050034","1.4819243444050034"
"8","8","8","8","0.9525845235190108","0.9525845235190108","0.9525845235190108","1.5276685668158125","1.5276685668158125","1.5276685668158125"
"9","9","9","9","0.9621800418334464","0.9621800418334464","0.9621800418334464","1.5420400505788532","1.5420400505788532","1.5420400505788532"
"10","10","10","10","0.915896013916255","0.915896013916255","0.915896013916255","1.5201765155803217","1.5201765155803217","1.5201765155803217"
"11","11","11","11","0.9015438755128838","0.9015438755128838","0.9015438755128838","1.5498519303171605","1.5498519303171605","1.5498519303171605"
"12","12","12","12","0.8684261808946807","0.8684261808946807","0.8684261808946807","1.5929667638886749","1.5929667638886749","1.5929667638886749"
"13","13","13","13","0.840684175163835","0.840684175163835","0.840684175163835","1.6069879736125003","1.6069879736125003","1.6069879736125003"
"14","14","14","14","0.7647577966621271","0.7647577966621271","0.7647577966621271","1.6307811335120428","1.6307811335120428","1.6307811335120428"
"15","15","15","15","0.7352378924206149","0.7352378924206149","0.7352378924206149","1.6530130864397714","1.6530130864397714","1.6530130864397714"
"16","16","16","16","0.7455404039376311","0.7455404039376311","0.7455404039376311","1.6973774101480479","1.6973774101480479","1.6973774101480479"
"17","17","17","17","0.7831855474329342","0.7831855474329342","0.7831855474329342","1.675895890295643","1.675895890295643","1.675895890295643"
