"epoch","apricot-sweep-1 - _step","apricot-sweep-1 - _step__MIN","apricot-sweep-1 - _step__MAX","apricot-sweep-1 - loss/train","apricot-sweep-1 - loss/train__MIN","apricot-sweep-1 - loss/train__MAX","apricot-sweep-1 - loss/val","apricot-sweep-1 - loss/val__MIN","apricot-sweep-1 - loss/val__MAX"
"0","0","0","0","1.635093267845204","1.635093267845204","1.635093267845204","1.8517068051237602","1.8517068051237602","1.8517068051237602"
"1","1","1","1","1.4410367841726457","1.4410367841726457","1.4410367841726457","1.8048633117381465","1.8048633117381465","1.8048633117381465"
"2","2","2","2","1.3729948258882334","1.3729948258882334","1.3729948258882334","1.772092922005111","1.772092922005111","1.772092922005111"
"3","3","3","3","1.3625605513308343","1.3625605513308343","1.3625605513308343","1.7614126835260342","1.7614126835260342","1.7614126835260342"
"4","4","4","4","1.3903452975801145","1.3903452975801145","1.3903452975801145","1.7552557022326665","1.7552557022326665","1.7552557022326665"
"5","5","5","5","1.360960014622792","1.360960014622792","1.360960014622792","1.768762761302282","1.768762761302282","1.768762761302282"
"6","6","6","6","1.3725664611223654","1.3725664611223654","1.3725664611223654","1.765698112413555","1.765698112413555","1.765698112413555"
"7","7","7","7","1.370770796706474","1.370770796706474","1.370770796706474","1.723832257273888","1.723832257273888","1.723832257273888"
"8","8","8","8","1.340680849604799","1.340680849604799","1.340680849604799","1.7432259393144676","1.7432259393144676","1.7432259393144676"
"9","9","9","9","1.3725932190106538","1.3725932190106538","1.3725932190106538","1.7215257599462512","1.7215257599462512","1.7215257599462512"
"10","10","10","10","1.3493264194165115","1.3493264194165115","1.3493264194165115","1.718571783841782","1.718571783841782","1.718571783841782"
"11","11","11","11","1.3613175868473835","1.3613175868473835","1.3613175868473835","1.7214586880282838","1.7214586880282838","1.7214586880282838"
"12","12","12","12","1.359073147105769","1.359073147105769","1.359073147105769","1.7183259094656476","1.7183259094656476","1.7183259094656476"
"13","13","13","13","1.35094561062151","1.35094561062151","1.35094561062151","1.7086554395608888","1.7086554395608888","1.7086554395608888"
"14","14","14","14","1.3298755741112038","1.3298755741112038","1.3298755741112038","1.7112768384950163","1.7112768384950163","1.7112768384950163"
"15","15","15","15","1.3133983884832754","1.3133983884832754","1.3133983884832754","1.7039078095715916","1.7039078095715916","1.7039078095715916"
"16","16","16","16","1.3247597623290106","1.3247597623290106","1.3247597623290106","1.7220199273402435","1.7220199273402435","1.7220199273402435"
"17","17","17","17","1.3623198370087792","1.3623198370087792","1.3623198370087792","1.7164627472303364","1.7164627472303364","1.7164627472303364"
"18","18","18","18","1.3168987947848712","1.3168987947848712","1.3168987947848712","1.7023367952059514","1.7023367952059514","1.7023367952059514"
"19","19","19","19","1.3254167796699396","1.3254167796699396","1.3254167796699396","1.7111005148323162","1.7111005148323162","1.7111005148323162"
"20","20","20","20","1.3155446646822495","1.3155446646822495","1.3155446646822495","1.7023987490589418","1.7023987490589418","1.7023987490589418"
"21","21","21","21","1.3167462965001606","1.3167462965001606","1.3167462965001606","1.700808568683872","1.700808568683872","1.700808568683872"
"22","22","22","22","1.3242647473885805","1.3242647473885805","1.3242647473885805","1.712131258366241","1.712131258366241","1.712131258366241"
"23","23","23","23","1.305821526316239","1.305821526316239","1.305821526316239","1.7054296735792542","1.7054296735792542","1.7054296735792542"
"24","24","24","24","1.3380804848864398","1.3380804848864398","1.3380804848864398","1.7029899620120288","1.7029899620120288","1.7029899620120288"
"25","25","25","25","1.3290447649358785","1.3290447649358785","1.3290447649358785","1.695585031434722","1.695585031434722","1.695585031434722"
"26","26","26","26","1.3219605050342118","1.3219605050342118","1.3219605050342118","1.6975016875620648","1.6975016875620648","1.6975016875620648"
"27","27","27","27","1.3318885387771486","1.3318885387771486","1.3318885387771486","1.696705492505935","1.696705492505935","1.696705492505935"
"28","28","28","28","1.35180216154132","1.35180216154132","1.35180216154132","1.6988879151192748","1.6988879151192748","1.6988879151192748"
"29","29","29","29","1.343391145415481","1.343391145415481","1.343391145415481","1.6978302897532818","1.6978302897532818","1.6978302897532818"
"30","30","30","30","1.31427785838986","1.31427785838986","1.31427785838986","1.6973353630933055","1.6973353630933055","1.6973353630933055"
"31","31","31","31","1.333217064096806","1.333217064096806","1.333217064096806","1.6987209581439258","1.6987209581439258","1.6987209581439258"
"32","32","32","32","1.3073232306510476","1.3073232306510476","1.3073232306510476","1.6930849540074373","1.6930849540074373","1.6930849540074373"
"33","33","33","33","1.3036225321259332","1.3036225321259332","1.3036225321259332","1.7008748784805432","1.7008748784805432","1.7008748784805432"
"34","34","34","34","1.3145554310807557","1.3145554310807557","1.3145554310807557","1.692635577705696","1.692635577705696","1.692635577705696"
"35","35","35","35","1.2993161332819072","1.2993161332819072","1.2993161332819072","1.6911841539236216","1.6911841539236216","1.6911841539236216"
"36","36","36","36","1.3529999083019177","1.3529999083019177","1.3529999083019177","1.6939060353617799","1.6939060353617799","1.6939060353617799"
