"epoch","efficient-sweep-1 - _step","efficient-sweep-1 - _step__MIN","efficient-sweep-1 - _step__MAX","efficient-sweep-1 - loss/train","efficient-sweep-1 - loss/train__MIN","efficient-sweep-1 - loss/train__MAX","efficient-sweep-1 - loss/val","efficient-sweep-1 - loss/val__MIN","efficient-sweep-1 - loss/val__MAX"
"0","0","0","0","1.5734358860180213","1.5734358860180213","1.5734358860180213","1.8580289197264592","1.8580289197264592","1.8580289197264592"
"1","1","1","1","1.3739729594402266","1.3739729594402266","1.3739729594402266","1.8115114058727826","1.8115114058727826","1.8115114058727826"
"2","2","2","2","1.327706004560448","1.327706004560448","1.327706004560448","1.7865655089456989","1.7865655089456989","1.7865655089456989"
"3","3","3","3","1.3265384782404293","1.3265384782404293","1.3265384782404293","1.7821549195290052","1.7821549195290052","1.7821549195290052"
"4","4","4","4","1.3218834457014141","1.3218834457014141","1.3218834457014141","1.750914480926693","1.750914480926693","1.750914480926693"
"5","5","5","5","1.30164012809801","1.30164012809801","1.30164012809801","1.7482339744192288","1.7482339744192288","1.7482339744192288"
"6","6","6","6","1.3363023326809451","1.3363023326809451","1.3363023326809451","1.742825884497259","1.742825884497259","1.742825884497259"
"7","7","7","7","1.2994395885257695","1.2994395885257695","1.2994395885257695","1.7301974486008815","1.7301974486008815","1.7301974486008815"
"8","8","8","8","1.3194302793241974","1.3194302793241974","1.3194302793241974","1.7335954936953086","1.7335954936953086","1.7335954936953086"
"9","9","9","9","1.3029654442176282","1.3029654442176282","1.3029654442176282","1.7477512718455026","1.7477512718455026","1.7477512718455026"
"10","10","10","10","1.3234283811089402","1.3234283811089402","1.3234283811089402","1.735503950299123","1.735503950299123","1.735503950299123"
"11","11","11","11","1.30508142641164","1.30508142641164","1.30508142641164","1.7242067883718624","1.7242067883718624","1.7242067883718624"
"12","12","12","12","1.2919821500833273","1.2919821500833273","1.2919821500833273","1.7306662497296414","1.7306662497296414","1.7306662497296414"
"13","13","13","13","1.2771239011385171","1.2771239011385171","1.2771239011385171","1.7420109598277518","1.7420109598277518","1.7420109598277518"
"14","14","14","14","1.2685269140817188","1.2685269140817188","1.2685269140817188","1.7317074923842584","1.7317074923842584","1.7317074923842584"
"15","15","15","15","1.3108671814003616","1.3108671814003616","1.3108671814003616","1.720794320216326","1.720794320216326","1.720794320216326"
"16","16","16","16","1.2728686810476066","1.2728686810476066","1.2728686810476066","1.715338927158723","1.715338927158723","1.715338927158723"
"17","17","17","17","1.2769047816263994","1.2769047816263994","1.2769047816263994","1.7212625465212963","1.7212625465212963","1.7212625465212963"
"18","18","18","18","1.264121041536937","1.264121041536937","1.264121041536937","1.7167846551692634","1.7167846551692634","1.7167846551692634"
"19","19","19","19","1.2746003228044587","1.2746003228044587","1.2746003228044587","1.713105630814233","1.713105630814233","1.713105630814233"
"20","20","20","20","1.2585570298598252","1.2585570298598252","1.2585570298598252","1.7093406316598183","1.7093406316598183","1.7093406316598183"
"21","21","21","21","1.284977590671503","1.284977590671503","1.284977590671503","1.7112146664851824","1.7112146664851824","1.7112146664851824"
"22","22","22","22","1.2880731639093217","1.2880731639093217","1.2880731639093217","1.7134128018822443","1.7134128018822443","1.7134128018822443"
"23","23","23","23","1.2834420611880948","1.2834420611880948","1.2834420611880948","1.7124245554442121","1.7124245554442121","1.7124245554442121"
"24","24","24","24","1.2889407587067914","1.2889407587067914","1.2889407587067914","1.7162815756042231","1.7162815756042231","1.7162815756042231"
"25","25","25","25","1.302706092911357","1.302706092911357","1.302706092911357","1.7182162578399145","1.7182162578399145","1.7182162578399145"
"26","26","26","26","1.2940555995538896","1.2940555995538896","1.2940555995538896","1.7178285748988238","1.7178285748988238","1.7178285748988238"
"27","27","27","27","1.2597848787982955","1.2597848787982955","1.2597848787982955","1.719294105708352","1.719294105708352","1.719294105708352"
"28","28","28","28","1.2871250800046614","1.2871250800046614","1.2871250800046614","1.7115092870004163","1.7115092870004163","1.7115092870004163"
"29","29","29","29","1.2506303515823092","1.2506303515823092","1.2506303515823092","1.7052959983989096","1.7052959983989096","1.7052959983989096"
