"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","79"
"broadleaved_indigenous_hardwood","deciduous_hardwood","25"
"broadleaved_indigenous_hardwood","grose_broom","24"
"broadleaved_indigenous_hardwood","harvested_forest","25"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","27"
"broadleaved_indigenous_hardwood","high_producing_grassland","20"
"broadleaved_indigenous_hardwood","indigenous_forest","49"
"broadleaved_indigenous_hardwood","lake_pond","15"
"broadleaved_indigenous_hardwood","low_producing_grassland","19"
"broadleaved_indigenous_hardwood","manuka_kanuka","36"
"broadleaved_indigenous_hardwood","shortrotation_cropland","2"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","7"
"deciduous_hardwood","broadleaved_indigenous_hardwood","18"
"deciduous_hardwood","deciduous_hardwood","121"
"deciduous_hardwood","grose_broom","3"
"deciduous_hardwood","harvested_forest","2"
"deciduous_hardwood","herbaceous_freshwater_vege","22"
"deciduous_hardwood","high_producing_grassland","49"
"deciduous_hardwood","indigenous_forest","26"
"deciduous_hardwood","lake_pond","32"
"deciduous_hardwood","low_producing_grassland","11"
"deciduous_hardwood","manuka_kanuka","12"
"deciduous_hardwood","shortrotation_cropland","14"
"deciduous_hardwood","urban_build_up","13"
"deciduous_hardwood","urban_parkland","11"
"grose_broom","broadleaved_indigenous_hardwood","42"
"grose_broom","deciduous_hardwood","27"
"grose_broom","grose_broom","75"
"grose_broom","harvested_forest","10"
"grose_broom","herbaceous_freshwater_vege","42"
"grose_broom","high_producing_grassland","36"
"grose_broom","indigenous_forest","19"
"grose_broom","lake_pond","17"
"grose_broom","low_producing_grassland","24"
"grose_broom","manuka_kanuka","30"
"grose_broom","shortrotation_cropland","1"
"grose_broom","urban_build_up","6"
"grose_broom","urban_parkland","5"
"harvested_forest","broadleaved_indigenous_hardwood","11"
"harvested_forest","deciduous_hardwood","7"
"harvested_forest","grose_broom","10"
"harvested_forest","harvested_forest","244"
"harvested_forest","herbaceous_freshwater_vege","10"
"harvested_forest","high_producing_grassland","16"
"harvested_forest","indigenous_forest","3"
"harvested_forest","lake_pond","2"
"harvested_forest","low_producing_grassland","21"
"harvested_forest","manuka_kanuka","5"
"harvested_forest","shortrotation_cropland","1"
"harvested_forest","urban_build_up","2"
"harvested_forest","urban_parkland","2"
