"epoch","volcanic-sweep-1 - _step","volcanic-sweep-1 - _step__MIN","volcanic-sweep-1 - _step__MAX","volcanic-sweep-1 - loss/train","volcanic-sweep-1 - loss/train__MIN","volcanic-sweep-1 - loss/train__MAX","volcanic-sweep-1 - loss/val","volcanic-sweep-1 - loss/val__MIN","volcanic-sweep-1 - loss/val__MAX"
"0","0","0","0","2.17244142258661","2.17244142258661","2.17244142258661","1.7569536785000976","1.7569536785000976","1.7569536785000976"
"1","1","1","1","1.7945501053121669","1.7945501053121669","1.7945501053121669","1.6317527489088912","1.6317527489088912","1.6317527489088912"
"2","2","2","2","1.6843593363931193","1.6843593363931193","1.6843593363931193","1.5459263757427186","1.5459263757427186","1.5459263757427186"
"3","3","3","3","1.5820772707815","1.5820772707815","1.5820772707815","1.511030558203289","1.511030558203289","1.511030558203289"
"4","4","4","4","1.5140041610192971","1.5140041610192971","1.5140041610192971","1.4982460368783284","1.4982460368783284","1.4982460368783284"
"5","5","5","5","1.4548566154474338","1.4548566154474338","1.4548566154474338","1.4770387874007609","1.4770387874007609","1.4770387874007609"
"6","6","6","6","1.4067700330675001","1.4067700330675001","1.4067700330675001","1.469276856848964","1.469276856848964","1.469276856848964"
"7","7","7","7","1.4286145322774289","1.4286145322774289","1.4286145322774289","1.4424396322268815","1.4424396322268815","1.4424396322268815"
"8","8","8","8","1.3375779963456667","1.3375779963456667","1.3375779963456667","1.4716348192868614","1.4716348192868614","1.4716348192868614"
"9","9","9","9","1.3285066562996815","1.3285066562996815","1.3285066562996815","1.4730246064850725","1.4730246064850725","1.4730246064850725"
"10","10","10","10","1.2533870597739192","1.2533870597739192","1.2533870597739192","1.4780645364443314","1.4780645364443314","1.4780645364443314"
"11","11","11","11","1.234487804611759","1.234487804611759","1.234487804611759","1.4957762114302127","1.4957762114302127","1.4957762114302127"
"12","12","12","12","1.259992144957802","1.259992144957802","1.259992144957802","1.5200114431385618","1.5200114431385618","1.5200114431385618"
"13","13","13","13","1.171356144565097","1.171356144565097","1.171356144565097","1.5475463966025234","1.5475463966025234","1.5475463966025234"
"14","14","14","14","1.1028428744282244","1.1028428744282244","1.1028428744282244","1.5312412662036075","1.5312412662036075","1.5312412662036075"
"15","15","15","15","1.0692971893668881","1.0692971893668881","1.0692971893668881","1.5404375833830268","1.5404375833830268","1.5404375833830268"
"16","16","16","16","1.0867781555335196","1.0867781555335196","1.0867781555335196","1.561169524777051","1.561169524777051","1.561169524777051"
"17","17","17","17","1.10915596086598","1.10915596086598","1.10915596086598","1.5567887711777548","1.5567887711777548","1.5567887711777548"
